ENSCHIP00000014294	ENSCHIG00000015393	Capra_hircus
ENSOARP00000022630	ENSOARG00000021058	Ovis_aries
ENSBIXP00000009629	ENSBIXG00000015278	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000040557	ENSBTAG00000037534	Bos_taurus
ENSBIXP00005032028	ENSBIXG00005012477	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000022449	ENSBMUG00000016894	Bos_mutus
ENSBBBP00000015790	ENSBBBG00000023583	Bison_bison_bison
ENSVPAP00000003463	ENSVPAG00000003733	Vicugna_pacos
ENSSARP00000011483	ENSSARG00000012718	Sorex_araneus
ENSEEUP00000013735	ENSEEUG00000015054	Erinaceus_europaeus
ENSPVAP00000012816	ENSPVAG00000013585	Pteropus_vampyrus
ENSMLUP00000016226	ENSMLUG00000017786	Myotis_lucifugus
ENSUAMP00000016260	ENSUAMG00000012957	Ursus_americanus
ENSUMAP00000022305	ENSUMAG00000016325	Ursus_maritimus
ENSAMEP00000004165	ENSAMEG00000003950	Ailuropoda_melanoleuca
ENSNVIP00000013406	ENSNVIG00000010544	Neovison_vison
ENSMPUP00000006127	ENSMPUG00000006179	Mustela_putorius_furo
ENSCAFP00020007630	ENSCAFG00020006152	Canis_lupus_dingo
ENSCAFP00000045445	ENSCAFG00000030153	Canis_lupus_familiaris
ENSVVUP00000006769	ENSVVUG00000005218	Vulpes_vulpes
ENSPTIP00000006650	ENSPTIG00000008513	Panthera_tigris_altaica
ENSPPRP00000022688	ENSPPRG00000013125	Panthera_pardus
ENSFCAP00000055500	ENSFCAG00000008833	Felis_catus
ENSECAP00000030815	ENSECAG00000035527	Equus_caballus
ENSEASP00005021678	ENSEASG00005014819	Equus_asinus_asinus
ENSPPAP00000035048	ENSPPAG00000040358	Pan_paniscus
ENSPTRP00000007966	ENSPTRG00000004660	Pan_troglodytes
ENSP00000483713	ENSG00000150045	Homo_sapiens
ENSGGOP00000025679	ENSGGOG00000026169	Gorilla_gorilla
ENSPPYP00000004857	ENSPPYG00000004258	Pongo_abelii
ENSNLEP00000003677	ENSNLEG00000003000	Nomascus_leucogenys
ENSRBIP00000022124	ENSRBIG00000035011	Rhinopithecus_bieti
ENSRROP00000019383	ENSRROG00000033709	Rhinopithecus_roxellana
ENSPTEP00000007733	ENSPTEG00000008791	Piliocolobus_tephrosceles
ENSCANP00000021862	ENSCANG00000034369	Colobus_angolensis_palliatus
ENSMFAP00000011005	ENSMFAG00000012038	Macaca_fascicularis
ENSMNEP00000007031	ENSMNEG00000028085	Macaca_nemestrina
ENSMMUP00000020063	ENSMMUG00000015299	Macaca_mulatta
ENSMLEP00000000035	ENSMLEG00000000056	Mandrillus_leucophaeus
ENSPANP00000005476	ENSPANG00000026388	Papio_anubis
ENSCATP00000044496	ENSCATG00000044727	Cercocebus_atys
ENSTGEP00000005081	ENSTGEG00000004242	Theropithecus_gelada
ENSCSAP00000005538	ENSCSAG00000009281	Chlorocebus_sabaeus
ENSCCAP00000000772	ENSCCAG00000004783	Cebus_capucinus_imitator
ENSSBOP00000032554	ENSSBOG00000032460	Saimiri_boliviensis_boliviensis
ENSCCAP00000031151	ENSCCAG00000033635	Cebus_capucinus_imitator
ENSCJAP00000034515	ENSCJAG00000018584	Callithrix_jacchus
ENSANAP00000010452	ENSANAG00000023222	Aotus_nancymaae
ENSTSYP00000011911	ENSTSYG00000013000	Carlito_syrichta
ENSMICP00000050055	ENSMICG00000004007	Microcebus_murinus
ENSPCOP00000003224	ENSPCOG00000009756	Propithecus_coquereli
ENSPSMP00000005550	ENSPSMG00000004227	Prolemur_simus
ENSTBEP00000007034	ENSTBEG00000008137	Tupaia_belangeri
ENSCHOP00000006641	ENSCHOG00000007508	Choloepus_hoffmanni
ENSDNOP00000005594	ENSDNOG00000007226	Dasypus_novemcinctus
ENSLAFP00000005502	ENSLAFG00000006555	Loxodonta_africana
ENSPCAP00000003923	ENSPCAG00000004213	Procavia_capensis
