ENSMLUP00000021929	ENSMLUG00000030634	Myotis_lucifugus
ENSOANP00000028565	ENSOANG00000022382	Ornithorhynchus_anatinus
ENSNSUP00000004537	ENSNSUG00000003628	Notechis_scutatus
ENSLACP00000023424	ENSLACG00000022266	Latimeria_chalumnae	ENSLACT00000025752
ENSLACP00000007061	ENSLACG00000006266	Latimeria_chalumnae	ENSLACT00000007120
ENSLACP00000007735	ENSLACG00000006849	Latimeria_chalumnae	ENSLACT00000007799
ENSLACP00000000420	ENSLACG00000000376	Latimeria_chalumnae	ENSLACT00000000422
ENSLACP00000005706	ENSLACG00000005070	Latimeria_chalumnae	ENSLACT00000005755
ENSLACP00000002649	ENSLACG00000002370	Latimeria_chalumnae	ENSLACT00000002670
ENSOANP00000022985	ENSOANG00000014592	Ornithorhynchus_anatinus
ENSCABP00000018861	ENSCABG00000013929	Chelonoidis_abingdonii
ENSCABP00000026725	ENSCABG00000019614	Chelonoidis_abingdonii
ENSGAGP00000009730	ENSGAGG00000007669	Gopherus_agassizii
ENSCPBP00000005273	ENSCPBG00000004223	Chrysemys_picta_bellii
ENSCABP00000025432	ENSCABG00000018710	Chelonoidis_abingdonii
ENSGAGP00000026696	ENSGAGG00000019440	Gopherus_agassizii
ENSCPBP00000013159	ENSCPBG00000009877	Chrysemys_picta_bellii
ENSCPBP00000015301	ENSCPBG00000011325	Chrysemys_picta_bellii
ENSGAGP00000015306	ENSGAGG00000011540	Gopherus_agassizii
ENSPSIP00000012133	ENSPSIG00000010825	Pelodiscus_sinensis
ENSCPBP00000005394	ENSCPBG00000004278	Chrysemys_picta_bellii
ENSCPBP00000015288	ENSCPBG00000011321	Chrysemys_picta_bellii
ENSCABP00000015912	ENSCABG00000011867	Chelonoidis_abingdonii
ENSGAGP00000029784	ENSGAGG00000021504	Gopherus_agassizii
ENSCABP00000015909	ENSCABG00000011862	Chelonoidis_abingdonii
ENSSPUP00000017661	ENSSPUG00000013600	Sphenodon_punctatus
ENSSPUP00000011879	ENSSPUG00000009113	Sphenodon_punctatus
ENSNSUP00000003466	ENSNSUG00000002812	Notechis_scutatus
ENSNSUP00000000227	ENSNSUG00000000249	Notechis_scutatus
ENSNSUP00000000709	ENSNSUG00000000686	Notechis_scutatus
ENSNSUP00000012531	ENSNSUG00000009390	Notechis_scutatus
ENSNSUP00000012528	ENSNSUG00000009387	Notechis_scutatus
ENSNSUP00000012529	ENSNSUG00000009388	Notechis_scutatus
ENSMUNP00000001715	ENSMUNG00000001477	Melopsittacus_undulatus
ENSCABP00000018857	ENSCABG00000013926	Chelonoidis_abingdonii
ENSGAGP00000029799	ENSGAGG00000021517	Gopherus_agassizii
ENSGAGP00000026689	ENSGAGG00000019430	Gopherus_agassizii	ENSGAGT00000030333
ENSCABP00000025436	ENSCABG00000018712	Chelonoidis_abingdonii	ENSCABT00000027873
ENSCABP00000018849	ENSCABG00000013917	Chelonoidis_abingdonii
ENSCPBP00000015389	ENSCPBG00000011337	Chrysemys_picta_bellii
