ENSPKIP00000010914	ENSPKIG00000025443	Paramormyrops_kingsleyae	ENSPKIT00000035052
ENSSFOP00015032238	ENSSFOG00015020620	Scleropages_formosus	ENSSFOT00015032597
ENSSFOP00015006855	ENSSFOG00015004530	Scleropages_formosus
ENSCHAP00000050445	ENSCHAG00000023171	Clupea_harengus	ENSCHAT00000054485
ENSDCDP00000031815	ENSDCDG00000022010	Denticeps_clupeoides	ENSDCDT00000041170
ENSAMXP00000040288	ENSAMXG00000035993	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001917	ENSAMXG00005001075	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTNIP00000003443	ENSTNIG00000000162	Tetraodon_nigroviridis
ENSMMOP00000022766	ENSMMOG00000017312	Mola_mola
ENSBSLP00000019542	ENSBSLG00000010151	Betta_splendens
ENSCVAP00000010365	ENSCVAG00000000663	Cyprinodon_variegatus
ENSCSEP00000032177	ENSCSEG00000020656	Cynoglossus_semilaevis
ENSMZEP00005034770	ENSMZEG00005025992	Maylandia_zebra
ENSHBUP00000028545	ENSHBUG00000012381	Haplochromis_burtoni
ENSPNYP00000028888	ENSPNYG00000021760	Pundamilia_nyererei
ENSONIP00000021620	ENSONIG00000017145	Oreochromis_niloticus
ENSACIP00000004059	ENSACIG00000003220	Amphilophus_citrinellus
ENSSDUP00000031726	ENSSDUG00000022805	Seriola_dumerili
ENSSLDP00000015766	ENSSLDG00000012515	Seriola_lalandi_dorsalis
ENSLCRP00005003386	ENSLCRG00005001702	Larimichthys_crocea
ENSLBEP00000009984	ENSLBEG00000007734	Labrus_bergylta
ENSCGOP00000032685	ENSCGOG00000015211	Cottoperca_gobio
ENSMALP00000032242	ENSMALG00000022214	Monopterus_albus
ENSMAMP00000035922	ENSMAMG00000024118	Mastacembelus_armatus
ENSLCAP00010041776	ENSLCAG00010019563	Lates_calcarifer
ENSSMAP00000034307	ENSSMAG00000020989	Scophthalmus_maximus
ENSAOCP00000021771	ENSAOCG00000006782	Amphiprion_ocellaris
ENSAPOP00000008092	ENSAPOG00000010145	Acanthochromis_polyacanthus
ENSSPAP00000025096	ENSSPAG00000018974	Stegastes_partitus
ENSXMAP00000017887	ENSXMAG00000017854	Xiphophorus_maculatus
ENSXCOP00000015108	ENSXCOG00000011445	Xiphophorus_couchianus
ENSGAFP00000022585	ENSGAFG00000015253	Gambusia_affinis
ENSPFOP00000009532	ENSPFOG00000009566	Poecilia_formosa
ENSPMEP00000034132	ENSPMEG00000023106	Poecilia_mexicana
ENSPREP00000011607	ENSPREG00000007912	Poecilia_reticulata
ENSKMAP00000017764	ENSKMAG00000013243	Kryptolebias_marmoratus
ENSORLP00000045781	ENSORLG00000023244	Oryzias_latipes_ASM223467v1
ENSORLP00015030126	ENSORLG00015013627	Oryzias_latipes_ASM223469v1
ENSORLP00020017604	ENSORLG00020018588	Oryzias_latipes_ASM223471v1
ENSOMEP00000025916	ENSOMEG00000007441	Oryzias_melastigma
ENSPRNP00000009958	ENSPRNG00000005781	Parambassis_ranga
ENSHCOP00000015170	ENSHCOG00000000765	Hippocampus_comes
ENSPMGP00000021179	ENSPMGG00000017162	Periophthalmus_magnuspinnatus
ENSHHUP00000085871	ENSHHUG00000049713	Hucho_hucho
ENSELUP00000037031	ENSELUG00000016476	Esox_lucius
ENSAPEP00000019533	ENSAPEG00000013941	Amphiprion_percula
ENSFHEP00000022693	ENSFHEG00000003233	Fundulus_heteroclitus
ENSGACP00000019940	ENSGACG00000015119	Gasterosteus_aculeatus
ENSGMOP00000002846	ENSGMOG00000002705	Gadus_morhua
ENSHHUP00000073857	ENSHHUG00000043332	Hucho_hucho
ENSHHUP00000062312	ENSHHUG00000036853	Hucho_hucho
ENSELUP00000004690	ENSELUG00000005799	Esox_lucius
ENSTNIP00000009891	ENSTNIG00000007090	Tetraodon_nigroviridis
ENSTRUP00000028642	ENSTRUG00000011351	Takifugu_rubripes
ENSLBEP00000021284	ENSLBEG00000016364	Labrus_bergylta
ENSBSLP00000028047	ENSBSLG00000013993	Betta_splendens
ENSPMGP00000021382	ENSPMGG00000017319	Periophthalmus_magnuspinnatus
ENSSMAP00000020731	ENSSMAG00000012701	Scophthalmus_maximus
ENSMALP00000006648	ENSMALG00000004758	Monopterus_albus
ENSMAMP00000030444	ENSMAMG00000020528	Mastacembelus_armatus
ENSATEP00000024012	ENSATEG00000016649	Anabas_testudineus
ENSAPEP00000033260	ENSAPEG00000023619	Amphiprion_percula
ENSAOCP00000008399	ENSAOCG00000012394	Amphiprion_ocellaris
ENSAPOP00000000539	ENSAPOG00000001734	Acanthochromis_polyacanthus
ENSSPAP00000027774	ENSSPAG00000020949	Stegastes_partitus
ENSPRNP00000004283	ENSPRNG00000002441	Parambassis_ranga
ENSPMEP00000032763	ENSPMEG00000020852	Poecilia_mexicana
ENSPFOP00000005395	ENSPFOG00000005524	Poecilia_formosa
ENSPLAP00000001420	ENSPLAG00000002454	Poecilia_latipinna
ENSPREP00000024458	ENSPREG00000016531	Poecilia_reticulata
ENSGAFP00000030169	ENSGAFG00000020323	Gambusia_affinis
ENSXMAP00000040282	ENSXMAG00000010028	Xiphophorus_maculatus
ENSXCOP00000023246	ENSXCOG00000017361	Xiphophorus_couchianus
ENSFHEP00000024560	ENSFHEG00000000168	Fundulus_heteroclitus
ENSCVAP00000004249	ENSCVAG00000005527	Cyprinodon_variegatus
ENSKMAP00000007927	ENSKMAG00000005958	Kryptolebias_marmoratus
ENSORLP00000045617	ENSORLG00000027733	Oryzias_latipes_ASM223467v1
ENSORLP00020034236	ENSORLG00020020637	Oryzias_latipes_ASM223471v1
ENSORLP00015032224	ENSORLG00015016921	Oryzias_latipes_ASM223469v1
ENSOMEP00000021801	ENSOMEG00000023915	Oryzias_melastigma
ENSMZEP00005001129	ENSMZEG00005000975	Maylandia_zebra
ENSACLP00000028915	ENSACLG00000019616	Astatotilapia_calliptera
ENSHBUP00000010294	ENSHBUG00000011818	Haplochromis_burtoni
ENSPNYP00000026012	ENSPNYG00000019630	Pundamilia_nyererei
ENSNBRP00000029657	ENSNBRG00000022586	Neolamprologus_brichardi
ENSONIP00000025610	ENSONIG00000020321	Oreochromis_niloticus
ENSACIP00000016005	ENSACIG00000012413	Amphilophus_citrinellus
ENSACIP00000015954	ENSACIG00000012389	Amphilophus_citrinellus
ENSLCRP00005039094	ENSLCRG00005015141	Larimichthys_crocea
ENSGACP00000013164	ENSGACG00000009971	Gasterosteus_aculeatus
ENSHCOP00000003533	ENSHCOG00000004876	Hippocampus_comes
ENSSDUP00000029158	ENSSDUG00000021025	Seriola_dumerili
ENSSLDP00000014665	ENSSLDG00000011714	Seriola_lalandi_dorsalis
ENSLCAP00010045552	ENSLCAG00010021185	Lates_calcarifer
ENSCSEP00000007303	ENSCSEG00000004715	Cynoglossus_semilaevis
ENSMMOP00000026451	ENSMMOG00000020047	Mola_mola
ENSCGOP00000018805	ENSCGOG00000009017	Cottoperca_gobio
ENSGMOP00000017943	ENSGMOG00000016712	Gadus_morhua
ENSCHAP00000056348	ENSCHAG00000025524	Clupea_harengus
ENSDCDP00000038042	ENSDCDG00000025605	Denticeps_clupeoides
ENSAMXP00000039620	ENSAMXG00000043601	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005030292	ENSAMXG00005014881	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000006838	ENSPNAG00000012810	Pygocentrus_nattereri
ENSIPUP00000035458	ENSIPUG00000023776	Ictalurus_punctatus
ENSEEEP00000023361	ENSEEEG00000011317	Electrophorus_electricus
ENSDARP00000098883	ENSDARG00000074904	Danio_rerio
ENSLOCP00000004252	ENSLOCG00000003580	Lepisosteus_oculatus
ENSECRP00000012149	ENSECRG00000008094	Erpetoichthys_calabaricus
ENSLACP00000021172	ENSLACG00000018601	Latimeria_chalumnae
