ENSCJPP00005017942	ENSCJPG00005014573	Coturnix_japonica
ENSNMEP00000026993	ENSNMEG00000022634	Numida_meleagris
ENSABRP00000004509	ENSABRG00000004154	Anser_brachyrhynchus
ENSJHYP00000024509	ENSJHYG00000018404	Junco_hyemalis
ENSFALP00000007115	ENSFALG00000006821	Ficedula_albicollis
ENSTGUP00000011041	ENSTGUG00000010714	Taeniopygia_guttata
ENSLSDP00000014406	ENSLSDG00000010402	Lonchura_striata_domestica
ENSSCAP00000000431	ENSSCAG00000000371	Serinus_canaria
ENSPMJP00000026172	ENSPMJG00000019133	Parus_major
ENSZALP00000004339	ENSZALG00000004083	Zonotrichia_albicollis
ENSLCOP00000001404	ENSLCOG00000001151	Lepidothrix_coronata
ENSMVIP00005012173	ENSMVIG00005008884	Manacus_vitellinus
ENSCPUP00000000187	ENSCPUG00000000151	Calidris_pugnax
ENSCPGP00000011943	ENSCPGG00000008492	Calidris_pygmaea
ENSMUNP00000013062	ENSMUNG00000010201	Melopsittacus_undulatus
ENSAPLP00000020771	ENSAPLG00000016725	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000028873	ENSAPLG00000029007	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000000159	ENSCPUG00000000147	Calidris_pugnax
ENSAHAP00000018158	ENSAHAG00000012857	Apteryx_haastii
ENSARWP00000005809	ENSARWG00000004134	Apteryx_rowi
ENSNPEP00000019725	ENSNPEG00000014686	Nothoprocta_perdicaria
ENSCABP00000016740	ENSCABG00000012419	Chelonoidis_abingdonii
ENSGAGP00000019774	ENSGAGG00000014580	Gopherus_agassizii
ENSCPBP00000009582	ENSCPBG00000007408	Chrysemys_picta_bellii
ENSPVIP00000028312	ENSPVIG00000020982	Pogona_vitticeps
ENSACAP00000009979	ENSACAG00000010184	Anolis_carolinensis
ENSNSUP00000021419	ENSNSUG00000015549	Notechis_scutatus
ENSSMRP00000008297	ENSSMRG00000006644	Salvator_merianae
ENSSPUP00000009391	ENSSPUG00000007301	Sphenodon_punctatus
ENSVURP00010014699	ENSVURG00010011258	Vombatus_ursinus	ENSVURT00010016715
ENSPCIP00000028616	ENSPCIG00000021315	Phascolarctos_cinereus	ENSPCIT00000035247
ENSMEUP00000013154	ENSMEUG00000014408	Notamacropus_eugenii	ENSMEUT00000014457
ENSMODP00000012004	ENSMODG00000009610	Monodelphis_domestica	ENSMODT00000012228
ENSBIXP00005029045	ENSBIXG00005008890	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000007254	ENSBIXG00000013225	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000015876	ENSBTAG00000011962	Bos_taurus
ENSBMUP00000032485	ENSBMUG00000024238	Bos_mutus
ENSBBBP00000016987	ENSBBBG00000006753	Bison_bison_bison
ENSCHIP00000029478	ENSCHIG00000024591	Capra_hircus
ENSOARP00000010292	ENSOARG00000009594	Ovis_aries
ENSTTRP00000009738	ENSTTRG00000010266	Tursiops_truncatus
ENSSSCP00000010694	ENSSSCG00000010023	Sus_scrofa_strain_reference
ENSVPAP00000000227	ENSVPAG00000000247	Vicugna_pacos
ENSECAP00000022634	ENSECAG00000025066	Equus_caballus
ENSEASP00005014925	ENSEASG00005010433	Equus_asinus_asinus
ENSUMAP00000021896	ENSUMAG00000015999	Ursus_maritimus
ENSUAMP00000012424	ENSUAMG00000010048	Ursus_americanus
ENSAMEP00000007577	ENSAMEG00000007198	Ailuropoda_melanoleuca
ENSNVIP00000001564	ENSNVIG00000001273	Neovison_vison
ENSMPUP00000012747	ENSMPUG00000012845	Mustela_putorius_furo
ENSCAFP00000019117	ENSCAFG00000012981	Canis_lupus_familiaris
ENSCAFP00020001548	ENSCAFG00020001374	Canis_lupus_dingo
ENSVVUP00000003086	ENSVVUG00000002387	Vulpes_vulpes
ENSFCAP00000048198	ENSFCAG00000001316	Felis_catus
ENSPPRP00000007990	ENSPPRG00000002952	Panthera_pardus
ENSPVAP00000001644	ENSPVAG00000001741	Pteropus_vampyrus
ENSMLUP00000008626	ENSMLUG00000009462	Myotis_lucifugus
ENSMSIP00000004227	ENSMSIG00000003865	Mus_spicilegus
MGP_SPRETEiJ_P0026653	MGP_SPRETEiJ_G0016850	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000068699	ENSMUSG00000034579	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0025329	MGP_CAROLIEiJ_G0016011	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0030622	MGP_PahariEiJ_G0016880	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031579	ENSRNOG00000025121	Rattus_norvegicus
ENSMUGP00000022221	ENSMUGG00000018643	Meriones_unguiculatus
ENSCGRP00001026393	ENSCGRG00001023730	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007117	ENSCGRG00000005179	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015037353	ENSCGRG00015027984	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025475	ENSMAUG00000022002	Mesocricetus_auratus
ENSPEMP00000012463	ENSPEMG00000012793	Peromyscus_maniculatus_bairdii
ENSMOCP00000005101	ENSMOCG00000004514	Microtus_ochrogaster
ENSNGAP00000006936	ENSNGAG00000010285	Nannospalax_galili
ENSJJAP00000020569	ENSJJAG00000021202	Jaculus_jaculus
ENSCCNP00000003590	ENSCCNG00000003841	Castor_canadensis
ENSCLAP00000014442	ENSCLAG00000009961	Chinchilla_lanigera
ENSODEP00000004920	ENSODEG00000003732	Octodon_degus
ENSCPOP00000011142	ENSCPOG00000012383	Cavia_porcellus
ENSHGLP00000012229	ENSHGLG00000008744	Heterocephalus_glaber_HetGla_female_1.0
