ENSPPYP00000014263	ENSPPYG00000012782	Pongo_abelii
ENSCCAP00000031931	ENSCCAG00000033995	Cebus_capucinus_imitator
ENSPPAP00000015384	ENSPPAG00000030838	Pan_paniscus
ENSFCAP00000030145	ENSFCAG00000008734	Felis_catus
ENSPTEP00000025055	ENSPTEG00000025424	Piliocolobus_tephrosceles
MGP_SPRETEiJ_P0020503	MGP_SPRETEiJ_G0015320	Mus_spretus_strain_SPRET/EiJ
ENSDORP00000021433	ENSDORG00000024131	Dipodomys_ordii
ENSPTRP00000092394	ENSPTRG00000044584	Pan_troglodytes
ENSUPAP00010024002	ENSUPAG00010019044	Urocitellus_parryii
ENSSTOP00000015766	ENSSTOG00000020073	Ictidomys_tridecemlineatus
ENSMLEP00000007755	ENSMLEG00000027991	Mandrillus_leucophaeus
ENSSDAP00000019945	ENSSDAG00000018188	Spermophilus_dauricus
ENSBIXP00000025500	ENSBIXG00000027582	Bos_indicus_x_Bos_taurus_UOA_Angus_1
MGP_CAROLIEiJ_P0019475	MGP_CAROLIEiJ_G0014513	Mus_caroli_strain_CAROLI_EIJ
ENSNPEP00000006148	ENSNPEG00000004644	Nothoprocta_perdicaria
ENSMFAP00000011460	ENSMFAG00000016061	Macaca_fascicularis
ENSAMEP00000019926	ENSAMEG00000018858	Ailuropoda_melanoleuca
ENSBIXP00005006969	ENSBIXG00005006918	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNVIP00000004100	ENSNVIG00000003291	Neovison_vison
ENSSSCP00000044691	ENSSSCG00000038305	Sus_scrofa_strain_reference
ENSMPUP00000018392	ENSMPUG00000018510	Mustela_putorius_furo
ENSKMAP00000005429	ENSKMAG00000004122	Kryptolebias_marmoratus
ENSOPRP00000007768	ENSOPRG00000008493	Ochotona_princeps	ENSOPRT00000008486
ENSMMMP00000025747	ENSMMMG00000022582	Marmota_marmota_marmota
ENSSBOP00000032901	ENSSBOG00000032634	Saimiri_boliviensis_boliviensis
ENSRNOP00000066393	ENSRNOG00000047257	Rattus_norvegicus
ENSCAFP00020017197	ENSCAFG00020013775	Canis_lupus_dingo
ENSPMAP00000008813	ENSPMAG00000008012	Petromyzon_marinus
ENSCGRP00015011968	ENSCGRG00015009199	Cricetulus_griseus_CriGri-PICR
ENSMMUP00000077548	ENSMMUG00000063759	Macaca_mulatta
ENSMUSP00000139021	ENSMUSG00000098923	Mus_musculus_strain_reference_(CL57BL6)
ENSCGRP00000025733	ENSCGRG00000018732	Cricetulus_griseus_CriGri_1.0
ENSOARP00000021181	ENSOARG00000019720	Ovis_aries
ENSPCOP00000019580	ENSPCOG00000021737	Propithecus_coquereli
ENSEASP00005018953	ENSEASG00005013048	Equus_asinus_asinus
