ENSPNYP00000007872	ENSPNYG00000006003	Pundamilia_nyererei	ENSPNYT00000008063
ENSHCOP00000001418	ENSHCOG00000002378	Hippocampus_comes	ENSHCOT00000012146
ENSCHAP00000007544	ENSCHAG00000004690	Clupea_harengus	ENSCHAT00000008548
ENSFHEP00000003914	ENSFHEG00000004793	Fundulus_heteroclitus
ENSCVAP00000006400	ENSCVAG00000007935	Cyprinodon_variegatus
ENSGAFP00000010958	ENSGAFG00000007415	Gambusia_affinis
ENSXMAP00000018207	ENSXMAG00000018158	Xiphophorus_maculatus
ENSPFOP00000017335	ENSPFOG00000017235	Poecilia_formosa
ENSPFOP00000013967	ENSPFOG00000013855	Poecilia_formosa
ENSPLAP00000003190	ENSPLAG00000004615	Poecilia_latipinna
ENSPREP00000005479	ENSPREG00000003817	Poecilia_reticulata
ENSPRNP00000014350	ENSPRNG00000007771	Parambassis_ranga
ENSMALP00000007712	ENSMALG00000005493	Monopterus_albus
ENSCSEP00000022556	ENSCSEG00000014374	Cynoglossus_semilaevis
ENSMAMP00000007417	ENSMAMG00000005064	Mastacembelus_armatus
ENSSMAP00000017646	ENSSMAG00000010788	Scophthalmus_maximus
ENSSPAP00000002915	ENSSPAG00000002235	Stegastes_partitus
ENSHCOP00000001436	ENSHCOG00000002394	Hippocampus_comes
ENSGACP00000023950	ENSGACG00000018124	Gasterosteus_aculeatus
ENSTRUP00000013752	ENSTRUG00000005677	Takifugu_rubripes
ENSLBEP00000021792	ENSLBEG00000016746	Labrus_bergylta
ENSLCRP00005001165	ENSLCRG00005000558	Larimichthys_crocea
ENSTNIP00000017157	ENSTNIG00000014147	Tetraodon_nigroviridis
ENSAPOP00000021099	ENSAPOG00000001457	Acanthochromis_polyacanthus
ENSAOCP00000010348	ENSAOCG00000014579	Amphiprion_ocellaris
ENSMZEP00005016629	ENSMZEG00005012493	Maylandia_zebra
ENSACLP00000013512	ENSACLG00000009259	Astatotilapia_calliptera
ENSHBUP00000021583	ENSHBUG00000001374	Haplochromis_burtoni
ENSONIP00000011333	ENSONIG00000009012	Oreochromis_niloticus
ENSCGOP00000026227	ENSCGOG00000012377	Cottoperca_gobio
