ENSMODP00000019277	ENSMODG00000015443	Monodelphis_domestica
ENSNMEP00000025665	ENSNMEG00000021714	Numida_meleagris
ENSRNOP00000008537	ENSRNOG00000006460	Rattus_norvegicus
ENSLAFP00000013383	ENSLAFG00000015957	Loxodonta_africana
ENSSMAP00000027438	ENSSMAG00000016779	Scophthalmus_maximus
MGP_SPRETEiJ_P0044919	MGP_SPRETEiJ_G0022084	Mus_spretus_strain_SPRET/EiJ
ENSPMJP00000010433	ENSPMJG00000008220	Parus_major
ENSCCNP00000019357	ENSCCNG00000019476	Castor_canadensis
ENSCPRP00005001008	ENSCPRG00005000778	Crocodylus_porosus
ENSCHIP00000012668	ENSCHIG00000014336	Capra_hircus
ENSVURP00010009170	ENSVURG00010007093	Vombatus_ursinus
ENSMGAP00000010359	ENSMGAG00000010012	Meleagris_gallopavo
FBpp0290783	FBgn0031099	Drosophila_melanogaster
ENSRROP00000002493	ENSRROG00000009899	Rhinopithecus_roxellana
ENSCGRP00000024887	ENSCGRG00000018028	Cricetulus_griseus_CriGri_1.0
ENSORLP00020030020	ENSORLG00020014280	Oryzias_latipes_ASM223471v1
ENSMICP00000015591	ENSMICG00000017110	Microcebus_murinus
ENSCHAP00000005660	ENSCHAG00000002853	Clupea_harengus
ENSNVIP00000029958	ENSNVIG00000023091	Neovison_vison
ENSFALP00000005059	ENSFALG00000004861	Ficedula_albicollis
ENSDORP00000015251	ENSDORG00000016212	Dipodomys_ordii
ENSBSLP00000004257	ENSBSLG00000002173	Betta_splendens
ENSUAMP00000016415	ENSUAMG00000013080	Ursus_americanus
ENSSSCP00000037010	ENSSSCG00000008057	Sus_scrofa_strain_reference
ENSMEUP00000000267	ENSMEUG00000000291	Notamacropus_eugenii
ENSPKIP00000005859	ENSPKIG00000022364	Paramormyrops_kingsleyae
ENSSFOP00015014402	ENSSFOG00015009272	Scleropages_formosus
ENSAOCP00000007286	ENSAOCG00000011042	Amphiprion_ocellaris
ENSDNOP00000026182	ENSDNOG00000039611	Dasypus_novemcinctus
ENSSDAP00000010686	ENSSDAG00000009661	Spermophilus_dauricus
ENSCCAP00000015368	ENSCCAG00000025467	Cebus_capucinus_imitator
ENSHGLP00100004467	ENSHGLG00100003379	Heterocephalus_glaber_HetGla_1.0
ENSAOWP00000020192	ENSAOWG00000013664	Apteryx_owenii	ENSAOWT00000022880
ENSARWP00000024676	ENSARWG00000016801	Apteryx_rowi	ENSARWT00000027950
ENSCCEP00000023215	ENSCCEG00000020839	Cyanistes_caeruleus
ENSSHAP00000016696	ENSSHAG00000014203	Sarcophilus_harrisii
ENSANAP00000028252	ENSANAG00000031967	Aotus_nancymaae
ENSACLP00000025798	ENSACLG00000017526	Astatotilapia_calliptera
ENSELUP00000031743	ENSELUG00000009397	Esox_lucius
ENSGAGP00000016240	ENSGAGG00000012186	Gopherus_agassizii
ENSMALP00000021505	ENSMALG00000015032	Monopterus_albus
F59B2.3.3	WBGene00010308	Caenorhabditis_elegans_strain_N2
ENSPTEP00000033343	ENSPTEG00000031854	Piliocolobus_tephrosceles
ENSSPUP00000021726	ENSSPUG00000016652	Sphenodon_punctatus	ENSSPUT00000023151
ENSDARP00000133871	ENSDARG00000100376	Danio_rerio
ENSSLDP00000027429	ENSSLDG00000021249	Seriola_lalandi_dorsalis
ENSPPRP00000003225	ENSPPRG00000022914	Panthera_pardus
ENSBTAP00000063678	ENSBTAG00000001022	Bos_taurus
ENSCPUP00000015759	ENSCPUG00000010948	Calidris_pugnax	ENSCPUT00000018700
ENSDCDP00000040130	ENSDCDG00000026458	Denticeps_clupeoides
ENSPNAP00000031473	ENSPNAG00000003553	Pygocentrus_nattereri
ENSONIP00000011835	ENSONIG00000009416	Oreochromis_niloticus
ENSTGEP00000032892	ENSTGEG00000026281	Theropithecus_gelada
ENSSMRP00000021495	ENSSMRG00000016727	Salvator_merianae	ENSSMRT00000025186
ENSOCUP00000049738	ENSOCUG00000021194	Oryctolagus_cuniculus
ENSNLEP00000011473	ENSNLEG00000009424	Nomascus_leucogenys
ENSPCAP00000014090	ENSPCAG00000015078	Procavia_capensis
ENSMMOP00000026581	ENSMMOG00000020127	Mola_mola
ENSMFAP00000004841	ENSMFAG00000002099	Macaca_fascicularis
ENSMLEP00000033031	ENSMLEG00000040707	Mandrillus_leucophaeus
ENSTBEP00000007269	ENSTBEG00000008389	Tupaia_belangeri
ENSETEP00000013673	ENSETEG00000016848	Echinops_telfairi
ENSAPOP00000007334	ENSAPOG00000009321	Acanthochromis_polyacanthus
ENSCMIP00000016710	ENSCMIG00000008019	Callorhinchus_milii
ENSMAMP00000028264	ENSMAMG00000018999	Mastacembelus_armatus
ENSXMAP00000032073	ENSXMAG00000000119	Xiphophorus_maculatus
ENSCPBP00000031591	ENSCPBG00000022167	Chrysemys_picta_bellii
ENSPVIP00000025137	ENSPVIG00000018891	Pogona_vitticeps	ENSPVIT00000031030
ENSPMAP00000001401	ENSPMAG00000001261	Petromyzon_marinus
ENSPRNP00000015626	ENSPRNG00000008391	Parambassis_ranga
ENSMLUP00000014664	ENSMLUG00000016094	Myotis_lucifugus
ENSJJAP00000015320	ENSJJAG00000017518	Jaculus_jaculus
ENSTSYP00000006983	ENSTSYG00000007519	Carlito_syrichta
ENSSBOP00000012109	ENSSBOG00000022867	Saimiri_boliviensis_boliviensis
ENSCANP00000018873	ENSCANG00000032866	Colobus_angolensis_palliatus
ENSNGAP00000006305	ENSNGAG00000009365	Nannospalax_galili
ENSMUGP00000031016	ENSMUGG00000025804	Meriones_unguiculatus
ENSECAP00000010449	ENSECAG00000012571	Equus_caballus
ENSNPEP00000019824	ENSNPEG00000014753	Nothoprocta_perdicaria
ENSOMEP00000015062	ENSOMEG00000016607	Oryzias_melastigma
ENSPPYP00000007926	ENSPPYG00000007003	Pongo_abelii
ENSACAP00000001637	ENSACAG00000001708	Anolis_carolinensis
ENSXCOP00000011820	ENSXCOG00000008939	Xiphophorus_couchianus
ENSSCAP00000000169	ENSSCAG00000000156	Serinus_canaria
ENSKMAP00000005246	ENSKMAG00000003954	Kryptolebias_marmoratus
ENSCABP00000015394	ENSCABG00000011487	Chelonoidis_abingdonii
ENSLCOP00000010157	ENSLCOG00000007393	Lepidothrix_coronata
ENSUMAP00000031696	ENSUMAG00000022864	Ursus_maritimus
ENSPVAP00000004842	ENSPVAG00000005117	Pteropus_vampyrus
ENSPTIP00000019510	ENSPTIG00000017284	Panthera_tigris_altaica
ENSCINP00000011926	ENSCING00000005785	Ciona_intestinalis
ENSEASP00005007940	ENSEASG00005005763	Equus_asinus_asinus
ENSAPEP00000008610	ENSAPEG00000006193	Amphiprion_percula
ENSLACP00000013369	ENSLACG00000011772	Latimeria_chalumnae
ENSSTOP00000012027	ENSSTOG00000013422	Ictidomys_tridecemlineatus
ENSPFOP00000019743	ENSPFOG00000019619	Poecilia_formosa
ENSP00000455561	ENSG00000259784	Homo_sapiens
ENSOPRP00000001233	ENSOPRG00000001337	Ochotona_princeps
ENSCSEP00000015220	ENSCSEG00000009766	Cynoglossus_semilaevis
ENSCJAP00000027436	ENSCJAG00000014876	Callithrix_jacchus
ENSUPAP00010022768	ENSUPAG00010018072	Urocitellus_parryii
ENSMUSP00000036141	ENSMUSG00000036820	Mus_musculus_strain_reference_(CL57BL6)
ENSPCOP00000013946	ENSPCOG00000018631	Propithecus_coquereli
MGP_CAROLIEiJ_P0043010	MGP_CAROLIEiJ_G0021174	Mus_caroli_strain_CAROLI_EIJ
ENSPREP00000016567	ENSPREG00000011221	Poecilia_reticulata
ENSVVUP00000012251	ENSVVUG00000009026	Vulpes_vulpes
ENSGWIP00000029979	ENSGWIG00000015622	Gouania_willdenowi
ENSACIP00000025539	ENSACIG00000019782	Amphilophus_citrinellus
ENSBMUP00000019827	ENSBMUG00000014948	Bos_mutus
ENSODEP00000018130	ENSODEG00000013370	Octodon_degus
ENSPANP00000013724	ENSPANG00000021239	Papio_anubis
ENSLOCP00000010956	ENSLOCG00000008993	Lepisosteus_oculatus
ENSPLAP00000017343	ENSPLAG00000021720	Poecilia_latipinna
ENSMAUP00000010954	ENSMAUG00000011687	Mesocricetus_auratus
ENSLCAP00010023319	ENSLCAG00010010950	Lates_calcarifer
ENSCGRP00001016878	ENSCGRG00001017081	Cricetulus_griseus_CHOK1GS_HDv1
ENSOGAP00000020452	ENSOGAG00000028163	Otolemur_garnettii
ENSLBEP00000021646	ENSLBEG00000016613	Labrus_bergylta
ENSMOCP00000018914	ENSMOCG00000017068	Microtus_ochrogaster
ENSMSIP00000005005	ENSMSIG00000004550	Mus_spicilegus
ENSMUNP00000006015	ENSMUNG00000004889	Melopsittacus_undulatus	ENSMUNT00000006967
ENSCAPP00000015072	ENSCAPG00000015295	Cavia_aperea
ENSAHAP00000015514	ENSAHAG00000011107	Apteryx_haastii	ENSAHAT00000017182
ENSATEP00000026085	ENSATEG00000018060	Anabas_testudineus
ENSPPAP00000021165	ENSPPAG00000033806	Pan_paniscus
ENSCLAP00000020539	ENSCLAG00000014069	Chinchilla_lanigera
ENSGAFP00000020998	ENSGAFG00000014151	Gambusia_affinis
ENSTNIP00000014249	ENSTNIG00000011309	Tetraodon_nigroviridis
ENSP00000391596	ENSG00000162066	Homo_sapiens
ENSAMEP00000018997	ENSAMEG00000017982	Ailuropoda_melanoleuca
ENSJHYP00000000324	ENSJHYG00000000321	Junco_hyemalis
ENSZALP00000000275	ENSZALG00000000316	Zonotrichia_albicollis
ENSSPAP00000008722	ENSSPAG00000006601	Stegastes_partitus
ENSPCIP00000046006	ENSPCIG00000030546	Phascolarctos_cinereus
ENSLBEP00000017037	ENSLBEG00000013131	Labrus_bergylta
ENSCSAP00000006715	ENSCSAG00000010491	Chlorocebus_sabaeus
ENSFCAP00000056666	ENSFCAG00000001962	Felis_catus
ENSHHUP00000019491	ENSHHUG00000012185	Hucho_hucho
ENSCATP00000009546	ENSCATG00000028804	Cercocebus_atys
ENSOARP00000019965	ENSOARG00000018598	Ovis_aries
ENSGMOP00000005695	ENSGMOG00000005360	Gadus_morhua
ENSHGLP00000008976	ENSHGLG00000006451	Heterocephalus_glaber_HetGla_female_1.0
ENSPSMP00000027043	ENSPSMG00000018950	Prolemur_simus
ENSCGRP00015015636	ENSCGRG00015012018	Cricetulus_griseus_CriGri-PICR
ENSECRP00000023819	ENSECRG00000016144	Erpetoichthys_calabaricus
ENSHHUP00000078162	ENSHHUG00000045624	Hucho_hucho
ENSFHEP00000020499	ENSFHEG00000022432	Fundulus_heteroclitus
