ENSCABP00000006525	ENSCABG00000004932	Chelonoidis_abingdonii	ENSCABT00000007121
ENSCPBP00000024335	ENSCPBG00000017376	Chrysemys_picta_bellii
ENSCPRP00005017890	ENSCPRG00005012473	Crocodylus_porosus
ENSACAP00000006878	ENSACAG00000007042	Anolis_carolinensis
ENSPVIP00000006627	ENSPVIG00000005481	Pogona_vitticeps
ENSSMRP00000021080	ENSSMRG00000016405	Salvator_merianae
ENSVURP00010010096	ENSVURG00010007793	Vombatus_ursinus
ENSPCIP00000026612	ENSPCIG00000019947	Phascolarctos_cinereus
ENSMEUP00000013553	ENSMEUG00000014854	Notamacropus_eugenii
ENSSHAP00000008994	ENSSHAG00000007789	Sarcophilus_harrisii
ENSMODP00000022982	ENSMODG00000018429	Monodelphis_domestica
ENSMSIP00000009326	ENSMSIG00000008234	Mus_spicilegus
MGP_SPRETEiJ_P0043166	MGP_SPRETEiJ_G0021571	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000070727	ENSMUSG00000052363	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0041287	MGP_CAROLIEiJ_G0020675	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028676	MGP_PahariEiJ_G0016378	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000038846	ENSRNOG00000025055	Rattus_norvegicus
ENSMUGP00000032494	ENSMUGG00000026988	Meriones_unguiculatus
ENSMUGP00000032436	ENSMUGG00000026967	Meriones_unguiculatus
ENSCGRP00000020274	ENSCGRG00000014749	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001010308	ENSCGRG00001012229	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015029066	ENSCGRG00015021976	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000013419	ENSMAUG00000013471	Mesocricetus_auratus
ENSMOCP00000008620	ENSMOCG00000008637	Microtus_ochrogaster
ENSPEMP00000030694	ENSPEMG00000027121	Peromyscus_maniculatus_bairdii
ENSNGAP00000023171	ENSNGAG00000021806	Nannospalax_galili
ENSJJAP00000020728	ENSJJAG00000021317	Jaculus_jaculus
ENSSDAP00000004944	ENSSDAG00000004612	Spermophilus_dauricus
ENSUPAP00010027402	ENSUPAG00010021655	Urocitellus_parryii
ENSMMMP00000013693	ENSMMMG00000012176	Marmota_marmota_marmota
