ENSXCOP00000012970	ENSXCOG00000009822	Xiphophorus_couchianus
ENSLBEP00000024175	ENSLBEG00000018506	Labrus_bergylta	ENSLBET00000025429
ENSGMOP00000002857	ENSGMOG00000002706	Gadus_morhua
ENSHHUP00000079388	ENSHHUG00000046271	Hucho_hucho
ENSPNAP00000018225	ENSPNAG00000024566	Pygocentrus_nattereri
ENSIPUP00000018467	ENSIPUG00000012547	Ictalurus_punctatus
ENSDARP00000147826	ENSDARG00000101205	Danio_rerio
ENSDCDP00000018371	ENSDCDG00000014854	Denticeps_clupeoides
ENSDCDP00000047392	ENSDCDG00000029515	Denticeps_clupeoides
ENSMAMP00000018006	ENSMAMG00000012168	Mastacembelus_armatus
ENSMALP00000026145	ENSMALG00000018143	Monopterus_albus
ENSPLAP00000001186	ENSPLAG00000002177	Poecilia_latipinna
ENSPFOP00000028751	ENSPFOG00000023863	Poecilia_formosa
ENSGAFP00000029238	ENSGAFG00000019734	Gambusia_affinis
ENSNSUP00000005464	ENSNSUG00000004396	Notechis_scutatus
ENSSHAP00000004096	ENSSHAG00000003611	Sarcophilus_harrisii
