FBpp0086555	FBgn0033989	Drosophila_melanogaster	FBtr0087424
C34E10.1.1	WBGene00001662	Caenorhabditis_elegans_strain_N2	C34E10.1.1
ENSCGRP00015028400	ENSCGRG00015021500	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001021823	ENSCGRG00001020546	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006658	ENSCGRG00000004865	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000021506	ENSMAUG00000019203	Mesocricetus_auratus
ENSPEMP00000024418	ENSPEMG00000021164	Peromyscus_maniculatus_bairdii
ENSMOCP00000009438	ENSMOCG00000009596	Microtus_ochrogaster
ENSMUSP00000023071	ENSMUSG00000022437	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0041095	MGP_SPRETEiJ_G0021007	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000021422	ENSMSIG00000018181	Mus_spicilegus
MGP_CAROLIEiJ_P0039292	MGP_CAROLIEiJ_G0020110	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042643	MGP_PahariEiJ_G0020116	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016520	ENSRNOG00000011952	Rattus_norvegicus
ENSMUGP00000030191	ENSMUGG00000025063	Meriones_unguiculatus
ENSNGAP00000018080	ENSNGAG00000018315	Nannospalax_galili
ENSJJAP00000023163	ENSJJAG00000023006	Jaculus_jaculus
ENSHGLP00100004999	ENSHGLG00100003791	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026350	ENSHGLG00000018749	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019645	ENSFDAG00000008996	Fukomys_damarensis
ENSCPOP00000004675	ENSCPOG00000005200	Cavia_porcellus
ENSCAPP00000007622	ENSCAPG00000009503	Cavia_aperea
ENSCLAP00000025084	ENSCLAG00000017226	Chinchilla_lanigera
ENSODEP00000019814	ENSODEG00000014631	Octodon_degus
