ENSCHAP00000047370	ENSCHAG00000021845	Clupea_harengus
ENSDCDP00000015993	ENSDCDG00000013024	Denticeps_clupeoides
ENSAMXP00000018159	ENSAMXG00000017635	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005006830	ENSAMXG00005004076	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000010833	ENSPNAG00000016437	Pygocentrus_nattereri
ENSDARP00000143898	ENSDARG00000016213	Danio_rerio
ENSLCAP00010029716	ENSLCAG00010013977	Lates_calcarifer
ENSLCAP00010055378	ENSLCAG00010025836	Lates_calcarifer
ENSSDUP00000022445	ENSSDUG00000016340	Seriola_dumerili
ENSSMAP00000005809	ENSSMAG00000003577	Scophthalmus_maximus
ENSLCRP00005032789	ENSLCRG00005012945	Larimichthys_crocea
ENSLBEP00000028616	ENSLBEG00000021672	Labrus_bergylta
ENSATEP00000031235	ENSATEG00000021544	Anabas_testudineus
ENSXMAP00000002409	ENSXMAG00000002410	Xiphophorus_maculatus
ENSXCOP00000014582	ENSXCOG00000011063	Xiphophorus_couchianus
ENSGAFP00000023095	ENSGAFG00000015590	Gambusia_affinis
ENSPFOP00000001715	ENSPFOG00000001741	Poecilia_formosa
ENSPLAP00000017434	ENSPLAG00000021817	Poecilia_latipinna
ENSPMEP00000027574	ENSPMEG00000012064	Poecilia_mexicana
ENSPREP00000008944	ENSPREG00000006103	Poecilia_reticulata
ENSFHEP00000000721	ENSFHEG00000001448	Fundulus_heteroclitus
ENSCVAP00000010570	ENSCVAG00000012778	Cyprinodon_variegatus
ENSOMEP00000000074	ENSOMEG00000023935	Oryzias_melastigma
ENSSPAP00000030293	ENSSPAG00000022749	Stegastes_partitus
ENSMZEP00005025009	ENSMZEG00005018666	Maylandia_zebra
ENSACLP00000029842	ENSACLG00000020206	Astatotilapia_calliptera
ENSPNYP00000019119	ENSPNYG00000014445	Pundamilia_nyererei
ENSHBUP00000020048	ENSHBUG00000022311	Haplochromis_burtoni
ENSNBRP00000010232	ENSNBRG00000007906	Neolamprologus_brichardi
ENSONIP00000002087	ENSONIG00000001667	Oreochromis_niloticus
ENSMAMP00000019149	ENSMAMG00000012893	Mastacembelus_armatus
ENSHHUP00000075312	ENSHHUG00000044130	Hucho_hucho
ENSLOCP00000008592	ENSLOCG00000007096	Lepisosteus_oculatus
ENSGALP00000067845	ENSGALG00000049767	Gallus_gallus
ENSPVIP00000027303	ENSPVIG00000020300	Pogona_vitticeps
ENSACAP00000007126	ENSACAG00000007276	Anolis_carolinensis
ENSNSUP00000021061	ENSNSUG00000015255	Notechis_scutatus
ENSSMRP00000000717	ENSSMRG00000000650	Salvator_merianae
ENSSPUP00000010975	ENSSPUG00000008431	Sphenodon_punctatus
ENSGAGP00000013752	ENSGAGG00000010483	Gopherus_agassizii
ENSCABP00000022806	ENSCABG00000016781	Chelonoidis_abingdonii
ENSCPBP00000027781	ENSCPBG00000019614	Chrysemys_picta_bellii
ENSPSIP00000017181	ENSPSIG00000015292	Pelodiscus_sinensis
ENSPCIP00000021991	ENSPCIG00000016656	Phascolarctos_cinereus
ENSVURP00010031856	ENSVURG00010024336	Vombatus_ursinus
ENSSHAP00000004241	ENSSHAG00000003735	Sarcophilus_harrisii
ENSMODP00000059916	ENSMODG00000002151	Monodelphis_domestica
ENSOANP00000009722	ENSOANG00000006101	Ornithorhynchus_anatinus
ENSXETP00000000017	ENSXETG00000001023	Xenopus_tropicalis
ENSLACP00000018286	ENSLACG00000016107	Latimeria_chalumnae
ENSECRP00000024573	ENSECRG00000016649	Erpetoichthys_calabaricus
