ENSVURP00010031142	ENSVURG00010023820	Vombatus_ursinus	ENSVURT00010035455
ENSPCIP00000034703	ENSPCIG00000025669	Phascolarctos_cinereus	ENSPCIT00000042713
ENSSHAP00000001561	ENSSHAG00000001391	Sarcophilus_harrisii	ENSSHAT00000001578
ENSMODP00000019294	ENSMODG00000015458	Monodelphis_domestica	ENSMODT00000019642
ENSSARP00000007012	ENSSARG00000007753	Sorex_araneus
ENSMLUP00000004621	ENSMLUG00000005067	Myotis_lucifugus
ENSVPAP00000002763	ENSVPAG00000002991	Vicugna_pacos
ENSECAP00000020421	ENSECAG00000022989	Equus_caballus
ENSEASP00005012908	ENSEASG00005009026	Equus_asinus_asinus
ENSUMAP00000005991	ENSUMAG00000004731	Ursus_maritimus
ENSUAMP00000021365	ENSUAMG00000016777	Ursus_americanus
ENSAMEP00000004616	ENSAMEG00000004386	Ailuropoda_melanoleuca
ENSMPUP00000006797	ENSMPUG00000006851	Mustela_putorius_furo
ENSNVIP00000001915	ENSNVIG00000001557	Neovison_vison
ENSPPRP00000013842	ENSPPRG00000006922	Panthera_pardus
ENSPTIP00000003316	ENSPTIG00000006097	Panthera_tigris_altaica
ENSFCAP00000012538	ENSFCAG00000013521	Felis_catus
ENSOARP00000020032	ENSOARG00000018659	Ovis_aries
ENSCHIP00000009274	ENSCHIG00000012204	Capra_hircus
ENSBIXP00000036881	ENSBIXG00000003743	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005018129	ENSBIXG00005000004	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000006726	ENSBTAG00000005103	Bos_taurus
ENSBMUP00000014567	ENSBMUG00000011069	Bos_mutus
ENSBBBP00000010574	ENSBBBG00000018682	Bison_bison_bison
ENSSSCP00000059103	ENSSSCG00000031221	Sus_scrofa_strain_reference
ENSEEUP00000002450	ENSEEUG00000002685	Erinaceus_europaeus
ENSPVAP00000010852	ENSPVAG00000011515	Pteropus_vampyrus
ENSCAFP00020000164	ENSCAFG00020000140	Canis_lupus_dingo
ENSVVUP00000016061	ENSVVUG00000011821	Vulpes_vulpes
ENSTTRP00000012482	ENSTTRG00000013155	Tursiops_truncatus
ENSCCNP00000032905	ENSCCNG00000031193	Castor_canadensis	ENSCCNT00000041295
ENSDORP00000019639	ENSDORG00000027250	Dipodomys_ordii	ENSDORT00000025788
ENSMSIP00000014476	ENSMSIG00000012479	Mus_spicilegus
MGP_SPRETEiJ_P0075635	MGP_SPRETEiJ_G0029135	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000031709	ENSMUSG00000029697	Mus_musculus_strain_reference_(CL57BL6)
