ENSDNVP00000001439	ENSDNVG00000001046	Dromaius_novaehollandiae
ENSNPEP00000012112	ENSNPEG00000009069	Nothoprocta_perdicaria	ENSNPET00000012416
ENSGALP00000072469	ENSGALG00000048441	Gallus_gallus
ENSGALP00000073287	ENSGALG00000048452	Gallus_gallus
ENSMUNP00000000300	ENSMUNG00000000315	Melopsittacus_undulatus
ENSGALP00000058611	ENSGALG00000046657	Gallus_gallus	ENSGALT00000088668
ENSGALP00000065165	ENSGALG00000054098	Gallus_gallus	ENSGALT00000094240
ENSMGAP00000012148	ENSMGAG00000011604	Meleagris_gallopavo	ENSMGAT00000013035
ENSCJPP00005007174	ENSCJPG00005006616	Coturnix_japonica	ENSCJPT00005011122
ENSMUNP00000016131	ENSMUNG00000012409	Melopsittacus_undulatus	ENSMUNT00000018543
ENSMUNP00000016132	ENSMUNG00000012410	Melopsittacus_undulatus	ENSMUNT00000018544
ENSAPLP00000027508	ENSAPLG00000018925	Anas_platyrhynchos_platyrhynchos
ENSABRP00000012939	ENSABRG00000011578	Anser_brachyrhynchus
ENSMGAP00000005678	ENSMGAG00000005748	Meleagris_gallopavo
ENSGALP00000061878	ENSGALG00000051843	Gallus_gallus
ENSCJPP00005008640	ENSCJPG00005007710	Coturnix_japonica
ENSMUNP00000017263	ENSMUNG00000013256	Melopsittacus_undulatus
ENSMUNP00000020976	ENSMUNG00000015902	Melopsittacus_undulatus
ENSCCEP00000006031	ENSCCEG00000006543	Cyanistes_caeruleus
ENSPMJP00000015518	ENSPMJG00000011790	Parus_major
ENSSCAP00000001148	ENSSCAG00000000968	Serinus_canaria
ENSFALP00000002889	ENSFALG00000002769	Ficedula_albicollis
ENSGALP00000060665	ENSGALG00000046353	Gallus_gallus
ENSGALP00000072424	ENSGALG00000055090	Gallus_gallus
ENSGALP00000068920	ENSGALG00000045507	Gallus_gallus
ENSGALP00000065894	ENSGALG00000049315	Gallus_gallus
ENSGALP00000036842	ENSGALG00000052084	Gallus_gallus
ENSNMEP00000007704	ENSNMEG00000007666	Numida_meleagris
ENSSPUP00000018880	ENSSPUG00000014568	Sphenodon_punctatus
ENSPSIP00000009807	ENSPSIG00000008908	Pelodiscus_sinensis
ENSCPRP00005022147	ENSCPRG00005015446	Crocodylus_porosus
ENSACAP00000001142	ENSACAG00000001215	Anolis_carolinensis
ENSPVIP00000015536	ENSPVIG00000011978	Pogona_vitticeps
ENSABRP00000008168	ENSABRG00000007385	Anser_brachyrhynchus
ENSGALP00000068595	ENSGALG00000047397	Gallus_gallus
ENSPVIP00000005130	ENSPVIG00000004174	Pogona_vitticeps
ENSLAFP00000016808	ENSLAFG00000021496	Loxodonta_africana
ENSPCAP00000015553	ENSPCAG00000016596	Procavia_capensis
ENSCHOP00000001827	ENSCHOG00000002066	Choloepus_hoffmanni
ENSDNOP00000015501	ENSDNOG00000019979	Dasypus_novemcinctus
ENSETEP00000005458	ENSETEG00000006719	Echinops_telfairi
ENSMUSP00000028982	ENSMUSG00000027480	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000022577	ENSMSIG00000019135	Mus_spicilegus
