ENSTSYP00000034602	ENSTSYG00000037217	Carlito_syrichta
ENSOGAP00000002052	ENSOGAG00000002299	Otolemur_garnettii
ENSUMAP00000031468	ENSUMAG00000022724	Ursus_maritimus
ENSCHIP00000014427	ENSCHIG00000015459	Capra_hircus
ENSOARP00000011636	ENSOARG00000010851	Ovis_aries
ENSMLUP00000014774	ENSMLUG00000016217	Myotis_lucifugus
ENSCAFP00020030870	ENSCAFG00020024077	Canis_lupus_dingo
ENSMMMP00000019296	ENSMMMG00000017066	Marmota_marmota_marmota
ENSSDAP00000014915	ENSSDAG00000013450	Spermophilus_dauricus
ENSCAPP00000017436	ENSCAPG00000017101	Cavia_aperea
ENSRROP00000017941	ENSRROG00000033053	Rhinopithecus_roxellana
ENSCCAP00000003713	ENSCCAG00000018820	Cebus_capucinus_imitator
ENSVURP00010020827	ENSVURG00010015931	Vombatus_ursinus
ENSMODP00000007128	ENSMODG00000005754	Monodelphis_domestica
ENSOANP00000006495	ENSOANG00000004093	Ornithorhynchus_anatinus
ENSAPLP00000001028	ENSAPLG00000001607	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000016718	ENSMGAG00000015777	Meleagris_gallopavo	ENSMGAT00000017692
ENSZALP00000001362	ENSZALG00000001588	Zonotrichia_albicollis
