ENSECAP00000015537	ENSECAG00000017615	Equus_caballus
ENSEASP00005023940	ENSEASG00005016247	Equus_asinus_asinus
ENSPVAP00000004269	ENSPVAG00000004506	Pteropus_vampyrus
ENSBIXP00005003781	ENSBIXG00005000643	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009545	ENSBIXG00000015205	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000043215	ENSBTAG00000021964	Bos_taurus
ENSBMUP00000002398	ENSBMUG00000001883	Bos_mutus
ENSBBBP00000007533	ENSBBBG00000003449	Bison_bison_bison
ENSCHIP00000009564	ENSCHIG00000012379	Capra_hircus
ENSOARP00000008601	ENSOARG00000008009	Ovis_aries
ENSTTRP00000011842	ENSTTRG00000012477	Tursiops_truncatus
ENSSSCP00000035056	ENSSSCG00000006106	Sus_scrofa_strain_reference
ENSVPAP00000011020	ENSVPAG00000011838	Vicugna_pacos
ENSMLUP00000008132	ENSMLUG00000008910	Myotis_lucifugus
ENSMLUP00000021216	ENSMLUG00000026907	Myotis_lucifugus
ENSUMAP00000022365	ENSUMAG00000016167	Ursus_maritimus
ENSUAMP00000020939	ENSUAMG00000016479	Ursus_americanus
ENSAMEP00000013155	ENSAMEG00000012449	Ailuropoda_melanoleuca
ENSNVIP00000001207	ENSNVIG00000000946	Neovison_vison
ENSMPUP00000008991	ENSMPUG00000009064	Mustela_putorius_furo
ENSCAFP00020015087	ENSCAFG00020012112	Canis_lupus_dingo
ENSCAFP00000013461	ENSCAFG00000009144	Canis_lupus_familiaris
ENSVVUP00000003601	ENSVVUG00000002787	Vulpes_vulpes
ENSPPRP00000016866	ENSPPRG00000009023	Panthera_pardus
ENSPTIP00000019736	ENSPTIG00000017434	Panthera_tigris_altaica
ENSFCAP00000014382	ENSFCAG00000015508	Felis_catus
ENSEEUP00000002710	ENSEEUG00000002951	Erinaceus_europaeus
ENSGGOP00000012043	ENSGGOG00000012331	Gorilla_gorilla
ENSP00000027335	ENSG00000079112	Homo_sapiens
ENSPTRP00000083786	ENSPTRG00000020425	Pan_troglodytes
ENSPPAP00000026510	ENSPPAG00000036344	Pan_paniscus
ENSPPYP00000021030	ENSPPYG00000018748	Pongo_abelii
ENSNLEP00000048855	ENSNLEG00000002974	Nomascus_leucogenys
ENSCANP00000023299	ENSCANG00000035066	Colobus_angolensis_palliatus
ENSPTEP00000039176	ENSPTEG00000036280	Piliocolobus_tephrosceles
ENSRBIP00000031291	ENSRBIG00000039486	Rhinopithecus_bieti
ENSRROP00000012716	ENSRROG00000030658	Rhinopithecus_roxellana
ENSTGEP00000033513	ENSTGEG00000026752	Theropithecus_gelada
ENSPANP00000006575	ENSPANG00000017130	Papio_anubis
ENSCATP00000017261	ENSCATG00000032530	Cercocebus_atys
ENSMLEP00000006078	ENSMLEG00000025852	Mandrillus_leucophaeus
ENSMFAP00000045793	ENSMFAG00000000602	Macaca_fascicularis
ENSMMUP00000054448	ENSMMUG00000020010	Macaca_mulatta
ENSMNEP00000011373	ENSMNEG00000030028	Macaca_nemestrina
ENSCSAP00000008922	ENSCSAG00000012742	Chlorocebus_sabaeus
ENSSBOP00000005992	ENSSBOG00000019928	Saimiri_boliviensis_boliviensis
ENSCCAP00000022412	ENSCCAG00000028997	Cebus_capucinus_imitator
ENSCJAP00000000168	ENSCJAG00000000090	Callithrix_jacchus
ENSANAP00000001839	ENSANAG00000015246	Aotus_nancymaae
ENSTSYP00000001314	ENSTSYG00000001412	Carlito_syrichta
ENSPCOP00000011259	ENSPCOG00000017142	Propithecus_coquereli
ENSMICP00000013871	ENSMICG00000015201	Microcebus_murinus
ENSPSMP00000026557	ENSPSMG00000018613	Prolemur_simus
ENSOGAP00000002673	ENSOGAG00000002985	Otolemur_garnettii
ENSTBEP00000008358	ENSTBEG00000009653	Tupaia_belangeri
ENSMSIP00000037487	ENSMSIG00000031234	Mus_spicilegus
ENSMUSP00000029871	ENSMUSG00000028217	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0063891	MGP_SPRETEiJ_G0026761	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0061463	MGP_CAROLIEiJ_G0025813	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057132	MGP_PahariEiJ_G0023936	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000021612	ENSRNOG00000015562	Rattus_norvegicus
ENSMUGP00000027865	ENSMUGG00000023155	Meriones_unguiculatus
ENSCGRP00015015387	ENSCGRG00015011795	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001023004	ENSCGRG00001021364	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017501	ENSCGRG00000012734	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008623	ENSMAUG00000009983	Mesocricetus_auratus
ENSPEMP00000020151	ENSPEMG00000018197	Peromyscus_maniculatus_bairdii
ENSMOCP00000010629	ENSMOCG00000010844	Microtus_ochrogaster
ENSNGAP00000003248	ENSNGAG00000003508	Nannospalax_galili
ENSJJAP00000006525	ENSJJAG00000011121	Jaculus_jaculus
ENSCCNP00000008743	ENSCCNG00000009217	Castor_canadensis
ENSCLAP00000021181	ENSCLAG00000014507	Chinchilla_lanigera
ENSODEP00000006679	ENSODEG00000004993	Octodon_degus
ENSHGLP00000007644	ENSHGLG00000005544	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010192	ENSHGLG00100007580	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011395	ENSFDAG00000018976	Fukomys_damarensis
ENSCPOP00000005928	ENSCPOG00000006582	Cavia_porcellus
ENSCAPP00000010286	ENSCAPG00000011564	Cavia_aperea
ENSUPAP00010017674	ENSUPAG00010014050	Urocitellus_parryii
ENSSTOP00000001804	ENSSTOG00000002021	Ictidomys_tridecemlineatus
ENSSDAP00000006045	ENSSDAG00000005602	Spermophilus_dauricus
ENSMMMP00000008505	ENSMMMG00000007567	Marmota_marmota_marmota
ENSOCUP00000000889	ENSOCUG00000001029	Oryctolagus_cuniculus
