ENSMMOP00000028470	ENSMMOG00000021504	Mola_mola
ENSANAP00000028647	ENSANAG00000031899	Aotus_nancymaae
ENSACLP00000000641	ENSACLG00000000458	Astatotilapia_calliptera
ENSCSEP00000015257	ENSCSEG00000009787	Cynoglossus_semilaevis
ENSPVIP00000024765	ENSPVIG00000018621	Pogona_vitticeps
ENSUMAP00000012060	ENSUMAG00000009031	Ursus_maritimus
ENSCPBP00000014808	ENSCPBG00000010991	Chrysemys_picta_bellii
ENSTTRP00000008821	ENSTTRG00000009302	Tursiops_truncatus
ENSCJAP00000026390	ENSCJAG00000014264	Callithrix_jacchus
ENSMSIP00000002709	ENSMSIG00000002517	Mus_spicilegus
ENSCSAVP00000020090	ENSCSAVG00000011796	Ciona_savignyi
ENSMUNP00000002929	ENSMUNG00000002560	Melopsittacus_undulatus
ENSORLP00015000399	ENSORLG00015001018	Oryzias_latipes_ASM223469v1
ENSMOCP00000026494	ENSMOCG00000022280	Microtus_ochrogaster
ENSCAFP00000024755	ENSCAFG00000016834	Canis_lupus_familiaris
ENSMGAP00000012237	ENSMGAG00000011670	Meleagris_gallopavo
ENSLCOP00000016837	ENSLCOG00000011970	Lepidothrix_coronata	ENSLCOT00000017800
ENSCMIP00000044469	ENSCMIG00000018397	Callorhinchus_milii
ENSRROP00000031708	ENSRROG00000039499	Rhinopithecus_roxellana
ENSELUP00000041506	ENSELUG00000022404	Esox_lucius
ENSSDUP00000001786	ENSSDUG00000001394	Seriola_dumerili
ENSAPLP00000006908	ENSAPLG00000007245	Anas_platyrhynchos_platyrhynchos
ENSPPYP00000006785	ENSPPYG00000005969	Pongo_abelii
ENSAPEP00000009353	ENSAPEG00000006732	Amphiprion_percula
ENSPCIP00000052821	ENSPCIG00000019351	Phascolarctos_cinereus
ENSFHEP00000009324	ENSFHEG00000010665	Fundulus_heteroclitus
ENSPLAP00000030040	ENSPLAG00000020788	Poecilia_latipinna
ENSCPGP00000008241	ENSCPGG00000005877	Calidris_pygmaea
ENSHBUP00000017267	ENSHBUG00000019344	Haplochromis_burtoni
ENSPCOP00000015328	ENSPCOG00000019381	Propithecus_coquereli
ENSIPUP00000000738	ENSIPUG00000000525	Ictalurus_punctatus
