ENSRBIP00000031595	ENSRBIG00000039620	Rhinopithecus_bieti
ENSSLDP00000008181	ENSSLDG00000006500	Seriola_lalandi_dorsalis
ENSOCUP00000008525	ENSOCUG00000009899	Oryctolagus_cuniculus
ENSCCNP00000002754	ENSCCNG00000003002	Castor_canadensis
ENSNMEP00000010733	ENSNMEG00000010102	Numida_meleagris
ENSHGLP00000013303	ENSHGLG00000009509	Heterocephalus_glaber_HetGla_female_1.0
ENSVURP00010017330	ENSVURG00010013231	Vombatus_ursinus
ENSEBUP00000001460	ENSEBUG00000001268	Eptatretus_burgeri	ENSEBUT00000001788
ENSPLAP00000026034	ENSPLAG00000013480	Poecilia_latipinna
ENSMMUP00000074631	ENSMMUG00000049556	Macaca_mulatta
ENSPREP00000015090	ENSPREG00000010179	Poecilia_reticulata
ENSCANP00000019915	ENSCANG00000033289	Colobus_angolensis_palliatus
ENSGACP00000021980	ENSGACG00000016646	Gasterosteus_aculeatus
ENSHGLP00000005884	ENSHGLG00000004294	Heterocephalus_glaber_HetGla_female_1.0
ENSHHUP00000021236	ENSHHUG00000013182	Hucho_hucho
ENSSBOP00000039127	ENSSBOG00000035610	Saimiri_boliviensis_boliviensis
ENSCPRP00005013560	ENSCPRG00005009576	Crocodylus_porosus
ENSDORP00000024272	ENSDORG00000025309	Dipodomys_ordii
ENSIPUP00000026038	ENSIPUG00000017607	Ictalurus_punctatus
ENSCAFP00020030473	ENSCAFG00020023766	Canis_lupus_dingo
ENSCGOP00000011977	ENSCGOG00000005894	Cottoperca_gobio
ENSFDAP00000017225	ENSFDAG00000005836	Fukomys_damarensis
ENSFALP00000006652	ENSFALG00000006374	Ficedula_albicollis	ENSFALT00000006681
ENSLOCP00000003048	ENSLOCG00000002593	Lepisosteus_oculatus
ENSPCOP00000003123	ENSPCOG00000009471	Propithecus_coquereli
ENSACLP00000012044	ENSACLG00000008231	Astatotilapia_calliptera
ENSXMAP00000000842	ENSXMAG00000000845	Xiphophorus_maculatus
ENSTBEP00000013379	ENSTBEG00000015426	Tupaia_belangeri
ENSEASP00005001451	ENSEASG00005001191	Equus_asinus_asinus
ENSMMMP00000015487	ENSMMMG00000013810	Marmota_marmota_marmota
ENSUMAP00000025662	ENSUMAG00000018713	Ursus_maritimus
ENSABRP00000021756	ENSABRG00000018476	Anser_brachyrhynchus
ENSJJAP00000014375	ENSJJAG00000016857	Jaculus_jaculus
ENSGGOP00000021855	ENSGGOG00000003205	Gorilla_gorilla
ENSGALP00000052438	ENSGALG00000036625	Gallus_gallus
ENSCLAP00000012355	ENSCLAG00000008537	Chinchilla_lanigera
ENSCGRP00001008927	ENSCGRG00001011100	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMEP00000007817	ENSAMEG00000007415	Ailuropoda_melanoleuca
ENSTGUP00000010189	ENSTGUG00000009858	Taeniopygia_guttata
ENSMLEP00000016404	ENSMLEG00000032325	Mandrillus_leucophaeus
ENSHGLP00100010658	ENSHGLG00100007919	Heterocephalus_glaber_HetGla_1.0
ENSMZEP00005032643	ENSMZEG00005024319	Maylandia_zebra
ENSCSAP00000013593	ENSCSAG00000017564	Chlorocebus_sabaeus
ENSCSEP00000026321	ENSCSEG00000016815	Cynoglossus_semilaevis
ENSMMUP00000061307	ENSMMUG00000001354	Macaca_mulatta
ENSCHOP00000012134	ENSCHOG00000013714	Choloepus_hoffmanni
ENSFCAP00000061029	ENSFCAG00000036877	Felis_catus
ENSDCDP00000060114	ENSDCDG00000034553	Denticeps_clupeoides
ENSORLP00000028360	ENSORLG00000003977	Oryzias_latipes_ASM223467v1
ENSHBUP00000025990	ENSHBUG00000000208	Haplochromis_burtoni
ENSMUNP00000004324	ENSMUNG00000003608	Melopsittacus_undulatus
ENSPFOP00000002348	ENSPFOG00000002460	Poecilia_formosa
ENSSTOP00000014558	ENSSTOG00000016259	Ictidomys_tridecemlineatus
ENSLCRP00005060109	ENSLCRG00005022223	Larimichthys_crocea
ENSCATP00000041226	ENSCATG00000043204	Cercocebus_atys
ENSOARP00000000921	ENSOARG00000000891	Ovis_aries
ENSPNAP00000009344	ENSPNAG00000014916	Pygocentrus_nattereri
ENSBBBP00000019572	ENSBBBG00000009089	Bison_bison_bison
ENSPVIP00000004547	ENSPVIG00000003692	Pogona_vitticeps
ENSCAFP00000027568	ENSCAFG00000018686	Canis_lupus_familiaris
ENSCGRP00000021486	ENSCGRG00000015602	Cricetulus_griseus_CriGri_1.0
ENSVVUP00000016027	ENSVVUG00000011795	Vulpes_vulpes
MGP_SPRETEiJ_P0047380	MGP_SPRETEiJ_G0022746	Mus_spretus_strain_SPRET/EiJ
ENSVPAP00000009939	ENSVPAG00000010676	Vicugna_pacos
ENSLSDP00000016282	ENSLSDG00000011737	Lonchura_striata_domestica
ENSCCAP00000015679	ENSCCAG00000025556	Cebus_capucinus_imitator
ENSNLEP00000008465	ENSNLEG00000006944	Nomascus_leucogenys
ENSEEUP00000006206	ENSEEUG00000006818	Erinaceus_europaeus
ENSARWP00000013281	ENSARWG00000009220	Apteryx_rowi
ENSPVAP00000004562	ENSPVAG00000004820	Pteropus_vampyrus
ENSCCNP00000003543	ENSCCNG00000003795	Castor_canadensis
ENSUAMP00000023071	ENSUAMG00000018089	Ursus_americanus
ENSBIXP00005042444	ENSBIXG00005025818	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPUP00000011039	ENSCPUG00000007827	Calidris_pugnax	ENSCPUT00000013164
ENSNBRP00000018493	ENSNBRG00000014264	Neolamprologus_brichardi
ENSAPEP00000018764	ENSAPEG00000013381	Amphiprion_percula
ENSVURP00010029343	ENSVURG00010022449	Vombatus_ursinus
ENSFHEP00000003327	ENSFHEG00000004202	Fundulus_heteroclitus
ENSCAPP00000002843	ENSCAPG00000005763	Cavia_aperea
ENSMSIP00000036748	ENSMSIG00000030594	Mus_spicilegus
ENSMALP00000022707	ENSMALG00000015842	Monopterus_albus
ENSODEP00000020230	ENSODEG00000014921	Octodon_degus
ENSEEEP00000048245	ENSEEEG00000022716	Electrophorus_electricus
ENSMOCP00000004915	ENSMOCG00000004279	Microtus_ochrogaster
ENSOGAP00000009043	ENSOGAG00000010118	Otolemur_garnettii
ENSSCAP00000012305	ENSSCAG00000009198	Serinus_canaria
ENSP00000327268	ENSG00000178127	Homo_sapiens
ENSMVIP00005010461	ENSMVIG00005007679	Manacus_vitellinus
ENSCPBP00000041366	ENSCPBG00000028377	Chrysemys_picta_bellii
ENSTGEP00000014263	ENSTGEG00000011578	Theropithecus_gelada
ENSETEP00000009707	ENSETEG00000011960	Echinops_telfairi
FBpp0074226	FBgn0030853	Drosophila_melanogaster	FBtr0074452
ENSMUSP00000121557	ENSMUSG00000024099	Mus_musculus_strain_reference_(CL57BL6)
ENSCPGP00000021520	ENSCPGG00000015013	Calidris_pygmaea	ENSCPGT00000023558
ENSCJPP00005009480	ENSCJPG00005008319	Coturnix_japonica
ENSCINP00000008003	ENSCING00000003879	Ciona_intestinalis
ENSPKIP00000026179	ENSPKIG00000008753	Paramormyrops_kingsleyae
ENSVURP00010003700	ENSVURG00010002957	Vombatus_ursinus
ENSMMOP00000027799	ENSMMOG00000021015	Mola_mola
ENSPPAP00000007590	ENSPPAG00000026901	Pan_paniscus
ENSPMJP00000019538	ENSPMJG00000014627	Parus_major	ENSPMJT00000025522
ENSPSMP00000033356	ENSPSMG00000023001	Prolemur_simus
ENSSFOP00015020612	ENSSFOG00015013251	Scleropages_formosus
ENSHGLP00100023650	ENSHGLG00100017376	Heterocephalus_glaber_HetGla_1.0
ENSBIXP00000002996	ENSBIXG00000009418	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPNYP00000007554	ENSPNYG00000005789	Pundamilia_nyererei
ENSAMXP00000054712	ENSAMXG00000032899	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPCAP00000005851	ENSPCAG00000006284	Procavia_capensis
F53F4.10.1	WBGene00009992	Caenorhabditis_elegans_strain_N2	F53F4.10.1
ENSOARP00000010172	ENSOARG00000009475	Ovis_aries
ENSATEP00000028742	ENSATEG00000019829	Anabas_testudineus
ENSPMEP00000026546	ENSPMEG00000010293	Poecilia_mexicana
ENSLACP00000003052	ENSLACG00000002730	Latimeria_chalumnae
ENSXETP00000011358	ENSXETG00000015915	Xenopus_tropicalis
ENSSPUP00000004189	ENSSPUG00000003242	Sphenodon_punctatus	ENSSPUT00000004451
ENSMNEP00000005769	ENSMNEG00000025588	Macaca_nemestrina
ENSMGAP00000009444	ENSMGAG00000009155	Meleagris_gallopavo
ENSSHAP00000003563	ENSSHAG00000003130	Sarcophilus_harrisii
ENSMPUP00000004673	ENSMPUG00000004710	Mustela_putorius_furo
ENSMLUP00000012287	ENSMLUG00000013503	Myotis_lucifugus
ENSAMXP00005051146	ENSAMXG00005023103	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACAP00000003340	ENSACAG00000003426	Anolis_carolinensis
ENSPTRP00000056030	ENSPTRG00000011423	Pan_troglodytes
ENSTTRP00000002273	ENSTTRG00000002426	Tursiops_truncatus
ENSDORP00000022450	ENSDORG00000027433	Dipodomys_ordii
ENSBIXP00005005519	ENSBIXG00005011194	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00015026706	ENSCGRG00015020223	Cricetulus_griseus_CriGri-PICR
ENSPCIP00000013272	ENSPCIG00000010471	Phascolarctos_cinereus
ENSMEUP00000006902	ENSMEUG00000007562	Notamacropus_eugenii
ENSCAPP00000013957	ENSCAPG00000014458	Cavia_aperea
ENSCMIP00000032177	ENSCMIG00000013749	Callorhinchus_milii
ENSJHYP00000001227	ENSJHYG00000001070	Junco_hyemalis
ENSCHIP00000018633	ENSCHIG00000017981	Capra_hircus
ENSGWIP00000038619	ENSGWIG00000019741	Gouania_willdenowi
ENSSDUP00000012001	ENSSDUG00000008626	Seriola_dumerili
ENSSPAP00000002740	ENSSPAG00000001817	Stegastes_partitus
ENSNVIP00000013221	ENSNVIG00000010419	Neovison_vison
ENSTNIP00000017904	ENSTNIG00000014862	Tetraodon_nigroviridis
ENSPRNP00000056193	ENSPRNG00000026274	Parambassis_ranga
ENSPEMP00000033094	ENSPEMG00000014352	Peromyscus_maniculatus_bairdii
ENSPTEP00000032349	ENSPTEG00000031112	Piliocolobus_tephrosceles
ENSPCIP00000003448	ENSPCIG00000002823	Phascolarctos_cinereus
ENSPMAP00000009749	ENSPMAG00000008846	Petromyzon_marinus
ENSDARP00000004700	ENSDARG00000013044	Danio_rerio
ENSCHAP00000051120	ENSCHAG00000023420	Clupea_harengus
ENSHHUP00000005047	ENSHHUG00000003035	Hucho_hucho
ENSONIP00000023263	ENSONIG00000018476	Oreochromis_niloticus
ENSBSLP00000055581	ENSBSLG00000025964	Betta_splendens
ENSMOCP00000007893	ENSMOCG00000007784	Microtus_ochrogaster
ENSCHIP00000014837	ENSCHIG00000015681	Capra_hircus
ENSAOCP00000032008	ENSAOCG00000024039	Amphiprion_ocellaris
ENSNSUP00000010804	ENSNSUG00000008182	Notechis_scutatus	ENSNSUT00000011525
ENSLCOP00000022528	ENSLCOG00000015855	Lepidothrix_coronata
ENSHCOP00000010414	ENSHCOG00000013022	Hippocampus_comes
ENSOMEP00000019220	ENSOMEG00000021019	Oryzias_melastigma
ENSSMRP00000000258	ENSSMRG00000000263	Salvator_merianae	ENSSMRT00000000333
ENSCPOP00000029157	ENSCPOG00000037853	Cavia_porcellus
ENSSARP00000010719	ENSSARG00000011876	Sorex_araneus
ENSDORP00000019320	ENSDORG00000003477	Dipodomys_ordii
ENSAHAP00000019564	ENSAHAG00000013834	Apteryx_haastii
ENSECRP00000009588	ENSECRG00000006403	Erpetoichthys_calabaricus
ENSELUP00000005954	ENSELUG00000000229	Esox_lucius
ENSSDAP00000007621	ENSSDAG00000006956	Spermophilus_dauricus
ENSCABP00000004904	ENSCABG00000003696	Chelonoidis_abingdonii
ENSGAFP00000031054	ENSGAFG00000020924	Gambusia_affinis
ENSCSAVP00000010153	ENSCSAVG00000005991	Ciona_savignyi
ENSNGAP00000013236	ENSNGAG00000014880	Nannospalax_galili
ENSSLDP00000028690	ENSSLDG00000022179	Seriola_lalandi_dorsalis
ENSMOCP00000018879	ENSMOCG00000017040	Microtus_ochrogaster
ENSAPOP00000013475	ENSAPOG00000016300	Acanthochromis_polyacanthus
ENSODEP00000004339	ENSODEG00000003312	Octodon_degus
ENSGAGP00000022651	ENSGAGG00000016610	Gopherus_agassizii
ENSSMAP00000021095	ENSSMAG00000012919	Scophthalmus_maximus
ENSMAUP00000006918	ENSMAUG00000008707	Mesocricetus_auratus
ENSODEP00000026843	ENSODEG00000020329	Octodon_degus
ENSNGAP00000026552	ENSNGAG00000024166	Nannospalax_galili
ENSNGAP00000018729	ENSNGAG00000018779	Nannospalax_galili
ENSHHUP00000027635	ENSHHUG00000017545	Hucho_hucho
ENSLBEP00000018274	ENSLBEG00000014072	Labrus_bergylta
ENSXCOP00000025828	ENSXCOG00000019303	Xiphophorus_couchianus
ENSMNEP00000022325	ENSMNEG00000034840	Macaca_nemestrina
ENSPTRP00000073779	ENSPTRG00000009856	Pan_troglodytes
ENSDNOP00000018464	ENSDNOG00000030678	Dasypus_novemcinctus
ENSZALP00000022002	ENSZALG00000017151	Zonotrichia_albicollis
ENSECAP00000026726	ENSECAG00000009904	Equus_caballus
ENSPPAP00000018757	ENSPPAG00000032489	Pan_paniscus
ENSDNVP00000015738	ENSDNVG00000011081	Dromaius_novaehollandiae
MGP_CAROLIEiJ_P0045487	MGP_CAROLIEiJ_G0021835	Mus_caroli_strain_CAROLI_EIJ
ENSGGOP00000022602	ENSGGOG00000028489	Gorilla_gorilla
ENSBBBP00000011064	ENSBBBG00000019073	Bison_bison_bison
ENSCHIP00000031821	ENSCHIG00000026031	Capra_hircus
MGP_PahariEiJ_P0044991	MGP_PahariEiJ_G0020822	Mus_pahari_strain_PAHARI_EIJ
ENSTSYP00000017203	ENSTSYG00000001989	Carlito_syrichta
ENSLAFP00000008806	ENSLAFG00000010520	Loxodonta_africana
ENSSSCP00000055099	ENSSSCG00000038826	Sus_scrofa_strain_reference
ENSMFAP00000014328	ENSMFAG00000030299	Macaca_fascicularis
ENSGMOP00000013214	ENSGMOG00000012349	Gadus_morhua
ENSAOWP00000026900	ENSAOWG00000018132	Apteryx_owenii
ENSCHIP00000029659	ENSCHIG00000024712	Capra_hircus
ENSTRUP00000020532	ENSTRUG00000008205	Takifugu_rubripes
ENSMAMP00000009867	ENSMAMG00000006633	Mastacembelus_armatus
ENSRROP00000034527	ENSRROG00000040789	Rhinopithecus_roxellana
ENSPPRP00000027831	ENSPPRG00000019611	Panthera_pardus
ENSAPLP00000032156	ENSAPLG00000008082	Anas_platyrhynchos_platyrhynchos
