ENSPCIP00000013800	ENSPCIG00000010828	Phascolarctos_cinereus	ENSPCIT00000017058
ENSMEUP00000007772	ENSMEUG00000008517	Notamacropus_eugenii	ENSMEUT00000008526
ENSVURP00010009069	ENSVURG00010007020	Vombatus_ursinus	ENSVURT00010010280
ENSVURP00010030630	ENSVURG00010023427	Vombatus_ursinus	ENSVURT00010034871
ENSMODP00000005181	ENSMODG00000004200	Monodelphis_domestica	ENSMODT00000005291
ENSSHAP00000014993	ENSSHAG00000012793	Sarcophilus_harrisii	ENSSHAT00000015118
ENSCGRP00001017874	ENSCGRG00001017801	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015027360	ENSCGRG00015020756	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000026140	ENSCGRG00000019184	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012155	ENSMAUG00000012553	Mesocricetus_auratus
ENSMOCP00000005583	ENSMOCG00000005078	Microtus_ochrogaster
ENSPEMP00000000166	ENSPEMG00000000125	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0087893	MGP_SPRETEiJ_G0032156	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000079226	ENSMUSG00000063049	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000037126	ENSMSIG00000030942	Mus_spicilegus
MGP_CAROLIEiJ_P0084412	MGP_CAROLIEiJ_G0031042	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0047304	MGP_PahariEiJ_G0021509	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018689	ENSRNOG00000013480	Rattus_norvegicus
ENSMUGP00000012215	ENSMUGG00000010652	Meriones_unguiculatus
ENSNGAP00000018497	ENSNGAG00000018610	Nannospalax_galili
ENSJJAP00000022475	ENSJJAG00000022521	Jaculus_jaculus
ENSCCNP00000031313	ENSCCNG00000029829	Castor_canadensis
ENSSTOP00000012796	ENSSTOG00000014291	Ictidomys_tridecemlineatus
ENSUPAP00010002588	ENSUPAG00010002161	Urocitellus_parryii
ENSODEP00000006233	ENSODEG00000004668	Octodon_degus
ENSODEP00000007947	ENSODEG00000005922	Octodon_degus
ENSCPOP00000010891	ENSCPOG00000012109	Cavia_porcellus
ENSCLAP00000021689	ENSCLAG00000014843	Chinchilla_lanigera
ENSHGLP00000013764	ENSHGLG00000009825	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019449	ENSHGLG00100014334	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018056	ENSFDAG00000010121	Fukomys_damarensis
ENSOCUP00000010152	ENSOCUG00000011812	Oryctolagus_cuniculus
ENSPSMP00000035704	ENSPSMG00000024574	Prolemur_simus
ENSPCOP00000017305	ENSPCOG00000020453	Propithecus_coquereli
ENSMICP00000001205	ENSMICG00000001324	Microcebus_murinus
ENSOGAP00000014951	ENSOGAG00000016707	Otolemur_garnettii
ENSPTRP00000028526	ENSPTRG00000016631	Pan_troglodytes
ENSPPAP00000038904	ENSPPAG00000042163	Pan_paniscus
ENSGGOP00000049820	ENSGGOG00000041782	Gorilla_gorilla
ENSP00000307183	ENSG00000168556	Homo_sapiens
ENSPPYP00000017012	ENSPPYG00000015229	Pongo_abelii
ENSRROP00000016318	ENSRROG00000032306	Rhinopithecus_roxellana
ENSRBIP00000002141	ENSRBIG00000010666	Rhinopithecus_bieti
ENSCANP00000011905	ENSCANG00000029338	Colobus_angolensis_palliatus
ENSPTEP00000017879	ENSPTEG00000019388	Piliocolobus_tephrosceles
ENSMFAP00000019646	ENSMFAG00000032816	Macaca_fascicularis
ENSMNEP00000046197	ENSMNEG00000045559	Macaca_nemestrina
ENSMLEP00000000859	ENSMLEG00000003125	Mandrillus_leucophaeus
ENSMMUP00000011648	ENSMMUG00000008881	Macaca_mulatta
ENSCATP00000030813	ENSCATG00000038558	Cercocebus_atys
ENSPANP00000001839	ENSPANG00000009492	Papio_anubis
ENSCSAP00000015014	ENSCSAG00000003025	Chlorocebus_sabaeus
ENSSBOP00000024158	ENSSBOG00000028567	Saimiri_boliviensis_boliviensis
ENSCJAP00000010218	ENSCJAG00000005602	Callithrix_jacchus
ENSCCAP00000035770	ENSCCAG00000035793	Cebus_capucinus_imitator
ENSANAP00000035090	ENSANAG00000035100	Aotus_nancymaae
ENSNLEP00000028374	ENSNLEG00000030177	Nomascus_leucogenys
ENSNLEP00000037210	ENSNLEG00000033054	Nomascus_leucogenys
ENSPTRP00000089693	ENSPTRG00000047738	Pan_troglodytes
ENSPPAP00000013245	ENSPPAG00000029811	Pan_paniscus
ENSTGEP00000028696	ENSTGEG00000023105	Theropithecus_gelada
ENSNLEP00000044100	ENSNLEG00000035063	Nomascus_leucogenys
ENSCJAP00000073047	ENSCJAG00000066617	Callithrix_jacchus
ENSTSYP00000002061	ENSTSYG00000002275	Carlito_syrichta
ENSPVAP00000011934	ENSPVAG00000012655	Pteropus_vampyrus
ENSMLUP00000021136	ENSMLUG00000026057	Myotis_lucifugus
ENSEEUP00000003677	ENSEEUG00000004072	Erinaceus_europaeus
ENSBIXP00005011414	ENSBIXG00005015847	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000005448	ENSBIXG00000011632	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000054457	ENSBTAG00000047706	Bos_taurus
ENSBMUP00000001933	ENSBMUG00000001565	Bos_mutus
ENSBBBP00000006475	ENSBBBG00000001040	Bison_bison_bison
ENSCHIP00000009254	ENSCHIG00000012188	Capra_hircus
ENSOARP00000007677	ENSOARG00000007163	Ovis_aries
ENSVPAP00000005332	ENSVPAG00000005742	Vicugna_pacos	ENSVPAT00000005742
ENSTTRP00000009087	ENSTTRG00000009586	Tursiops_truncatus
ENSSSCP00000028185	ENSSSCG00000024555	Sus_scrofa_strain_reference
ENSNVIP00000005877	ENSNVIG00000004724	Neovison_vison
ENSMPUP00000010954	ENSMPUG00000011044	Mustela_putorius_furo
ENSCAFP00020002639	ENSCAFG00020002237	Canis_lupus_dingo
ENSCAFP00000011661	ENSCAFG00000007884	Canis_lupus_familiaris
ENSVVUP00000017936	ENSVVUG00000013195	Vulpes_vulpes
ENSUAMP00000021255	ENSUAMG00000016693	Ursus_americanus
ENSAMEP00000008687	ENSAMEG00000008264	Ailuropoda_melanoleuca
ENSFCAP00000019449	ENSFCAG00000028949	Felis_catus
ENSPPRP00000021313	ENSPPRG00000012156	Panthera_pardus
ENSEASP00005027078	ENSEASG00005018441	Equus_asinus_asinus
ENSUMAP00000029394	ENSUMAG00000021306	Ursus_maritimus
ENSPTIP00000012650	ENSPTIG00000012657	Panthera_tigris_altaica
ENSMMMP00000014111	ENSMMMG00000012572	Marmota_marmota_marmota
ENSSTOP00000031432	ENSSTOG00000031994	Ictidomys_tridecemlineatus
ENSECAP00000013009	ENSECAG00000015406	Equus_caballus
ENSDORP00000014378	ENSDORG00000015275	Dipodomys_ordii
ENSLAFP00000012180	ENSLAFG00000014542	Loxodonta_africana
ENSPCAP00000009149	ENSPCAG00000009861	Procavia_capensis
ENSETEP00000000063	ENSETEG00000000083	Echinops_telfairi
ENSCHOP00000002461	ENSCHOG00000002791	Choloepus_hoffmanni
ENSDNOP00000003012	ENSDNOG00000003916	Dasypus_novemcinctus
ENSSARP00000010879	ENSSARG00000012052	Sorex_araneus
ENSABRP00000000211	ENSABRG00000000252	Anser_brachyrhynchus
ENSAPLP00000000292	ENSAPLG00000000882	Anas_platyrhynchos_platyrhynchos
ENSMUNP00000001625	ENSMUNG00000001390	Melopsittacus_undulatus
ENSCPGP00000017582	ENSCPGG00000012330	Calidris_pygmaea
ENSCPUP00000022661	ENSCPUG00000015381	Calidris_pugnax
ENSCCEP00000001998	ENSCCEG00000002317	Cyanistes_caeruleus
ENSPMJP00000002467	ENSPMJG00000002082	Parus_major
ENSFALP00000015237	ENSFALG00000014622	Ficedula_albicollis
ENSLSDP00000013392	ENSLSDG00000009731	Lonchura_striata_domestica
ENSTGUP00000006752	ENSTGUG00000006578	Taeniopygia_guttata
ENSSCAP00000013480	ENSSCAG00000009996	Serinus_canaria
ENSJHYP00000012480	ENSJHYG00000009728	Junco_hyemalis
ENSZALP00000014062	ENSZALG00000011675	Zonotrichia_albicollis
ENSLCOP00000000751	ENSLCOG00000000651	Lepidothrix_coronata
ENSMVIP00005017688	ENSMVIG00005012608	Manacus_vitellinus
ENSGALP00000073889	ENSGALG00000010659	Gallus_gallus
ENSCJPP00005011156	ENSCJPG00005009611	Coturnix_japonica
ENSMGAP00000006505	ENSMGAG00000006495	Meleagris_gallopavo
ENSNMEP00000016474	ENSNMEG00000014513	Numida_meleagris
ENSAOWP00000012226	ENSAOWG00000008376	Apteryx_owenii
ENSAHAP00000005623	ENSAHAG00000004341	Apteryx_haastii
ENSARWP00000027042	ENSARWG00000018280	Apteryx_rowi
ENSDNVP00000001584	ENSDNVG00000001155	Dromaius_novaehollandiae
ENSNPEP00000019761	ENSNPEG00000014707	Nothoprocta_perdicaria
ENSCPRP00005000080	ENSCPRG00005000098	Crocodylus_porosus
ENSGAGP00000001675	ENSGAGG00000001343	Gopherus_agassizii
