W09D6.6.1	WBGene00001815	Caenorhabditis_elegans_strain_N2	W09D6.6.1
ENSPTEP00000007479	ENSPTEG00000008519	Piliocolobus_tephrosceles	ENSPTET00000011399
ENSCPBP00000018001	ENSCPBG00000013161	Chrysemys_picta_bellii
ENSCABP00000020209	ENSCABG00000014907	Chelonoidis_abingdonii
ENSGAGP00000017886	ENSGAGG00000013266	Gopherus_agassizii
ENSAHAP00000014237	ENSAHAG00000010259	Apteryx_haastii
ENSARWP00000024100	ENSARWG00000016422	Apteryx_rowi
ENSDNVP00000026819	ENSDNVG00000018643	Dromaius_novaehollandiae
ENSNPEP00000010266	ENSNPEG00000006127	Nothoprocta_perdicaria
ENSABRP00000000229	ENSABRG00000000266	Anser_brachyrhynchus
ENSAPLP00000010857	ENSAPLG00000011094	Anas_platyrhynchos_platyrhynchos
ENSGALP00000045146	ENSGALG00000029672	Gallus_gallus
ENSMGAP00000012835	ENSMGAG00000012199	Meleagris_gallopavo
ENSCJPP00005015892	ENSCJPG00005013122	Coturnix_japonica
ENSNMEP00000027313	ENSNMEG00000022876	Numida_meleagris
ENSCPUP00000001299	ENSCPUG00000000998	Calidris_pugnax
ENSCPGP00000019558	ENSCPGG00000013504	Calidris_pygmaea
ENSLSDP00000018684	ENSLSDG00000013348	Lonchura_striata_domestica
ENSTGUP00000005938	ENSTGUG00000005757	Taeniopygia_guttata
ENSSCAP00000018631	ENSSCAG00000013361	Serinus_canaria
ENSZALP00000019278	ENSZALG00000015309	Zonotrichia_albicollis
ENSJHYP00000014192	ENSJHYG00000010993	Junco_hyemalis
ENSFALP00000004373	ENSFALG00000004201	Ficedula_albicollis
ENSPMJP00000027048	ENSPMJG00000019717	Parus_major
ENSCCEP00000028278	ENSCCEG00000024458	Cyanistes_caeruleus
ENSLCOP00000007999	ENSLCOG00000005869	Lepidothrix_coronata
ENSMVIP00005017456	ENSMVIG00005012452	Manacus_vitellinus
ENSMUNP00000017055	ENSMUNG00000013110	Melopsittacus_undulatus
ENSPVIP00000029025	ENSPVIG00000021441	Pogona_vitticeps
ENSACAP00000012844	ENSACAG00000013017	Anolis_carolinensis
ENSNSUP00000016783	ENSNSUG00000012174	Notechis_scutatus
ENSSMRP00000014210	ENSSMRG00000011060	Salvator_merianae
ENSSPUP00000020133	ENSSPUG00000015447	Sphenodon_punctatus
ENSP00000265316	ENSG00000115657	Homo_sapiens
ENSGGOP00000031320	ENSGGOG00000040606	Gorilla_gorilla
ENSPTRP00000068306	ENSPTRG00000012945	Pan_troglodytes
ENSPPAP00000015934	ENSPPAG00000031060	Pan_paniscus
ENSPPYP00000014747	ENSPPYG00000013198	Pongo_abelii
ENSNLEP00000011154	ENSNLEG00000009125	Nomascus_leucogenys
ENSTGEP00000015096	ENSTGEG00000012261	Theropithecus_gelada
ENSPANP00000002494	ENSPANG00000020232	Papio_anubis
ENSMFAP00000025914	ENSMFAG00000044424	Macaca_fascicularis
ENSMLEP00000031656	ENSMLEG00000040019	Mandrillus_leucophaeus
ENSCATP00000043188	ENSCATG00000044148	Cercocebus_atys
ENSMNEP00000035305	ENSMNEG00000040783	Macaca_nemestrina
ENSCSAP00000004491	ENSCSAG00000008232	Chlorocebus_sabaeus
ENSCANP00000002376	ENSCANG00000008804	Colobus_angolensis_palliatus
ENSPTEP00000043095	ENSPTEG00000039303	Piliocolobus_tephrosceles
ENSRROP00000033348	ENSRROG00000040255	Rhinopithecus_roxellana
ENSRBIP00000028753	ENSRBIG00000038255	Rhinopithecus_bieti
ENSMMUP00000064755	ENSMMUG00000019619	Macaca_mulatta
ENSSBOP00000028762	ENSSBOG00000030728	Saimiri_boliviensis_boliviensis
ENSCJAP00000047556	ENSCJAG00000011512	Callithrix_jacchus
ENSCCAP00000018711	ENSCCAG00000027179	Cebus_capucinus_imitator
ENSANAP00000029837	ENSANAG00000032665	Aotus_nancymaae
ENSTSYP00000010746	ENSTSYG00000011725	Carlito_syrichta
ENSPCOP00000031613	ENSPCOG00000028584	Propithecus_coquereli
ENSPSMP00000036687	ENSPSMG00000025233	Prolemur_simus
ENSMICP00000000701	ENSMICG00000000778	Microcebus_murinus
ENSOGAP00000013921	ENSOGAG00000015544	Otolemur_garnettii
ENSCLAP00000013126	ENSCLAG00000009060	Chinchilla_lanigera
ENSODEP00000008379	ENSODEG00000006250	Octodon_degus
ENSHGLP00000026493	ENSHGLG00000018842	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025494	ENSHGLG00100018700	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015660	ENSFDAG00000003670	Fukomys_damarensis
ENSCPOP00000004134	ENSCPOG00000004587	Cavia_porcellus
ENSCAPP00000004105	ENSCAPG00000006705	Cavia_aperea
ENSUPAP00010015910	ENSUPAG00010012726	Urocitellus_parryii
ENSSTOP00000009936	ENSSTOG00000011066	Ictidomys_tridecemlineatus
ENSSDAP00000009450	ENSSDAG00000008576	Spermophilus_dauricus
ENSMMMP00000022820	ENSMMMG00000020000	Marmota_marmota_marmota
ENSCCNP00000009470	ENSCCNG00000009975	Castor_canadensis
ENSDORP00000000132	ENSDORG00000000140	Dipodomys_ordii
ENSMSIP00000021565	ENSMSIG00000018307	Mus_spicilegus
MGP_SPRETEiJ_P0019416	MGP_SPRETEiJ_G0015092	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000027396	ENSMUSG00000026198	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0018409	MGP_CAROLIEiJ_G0014286	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0073711	MGP_PahariEiJ_G0027524	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000025627	ENSRNOG00000018697	Rattus_norvegicus
ENSMUGP00000004657	ENSMUGG00000004302	Meriones_unguiculatus
ENSCGRP00000009441	ENSCGRG00000006895	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023192	ENSCGRG00001021485	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005379	ENSCGRG00015004206	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000016467	ENSMAUG00000015584	Mesocricetus_auratus
ENSMOCP00000025156	ENSMOCG00000021361	Microtus_ochrogaster
ENSPEMP00000007771	ENSPEMG00000009632	Peromyscus_maniculatus_bairdii
ENSNGAP00000012042	ENSNGAG00000014016	Nannospalax_galili
ENSJJAP00000020588	ENSJJAG00000021206	Jaculus_jaculus
ENSUAMP00000008812	ENSUAMG00000006930	Ursus_americanus
ENSUMAP00000025976	ENSUMAG00000018819	Ursus_maritimus
ENSAMEP00000002573	ENSAMEG00000002427	Ailuropoda_melanoleuca
ENSMPUP00000016469	ENSMPUG00000016572	Mustela_putorius_furo
ENSNVIP00000029522	ENSNVIG00000022778	Neovison_vison
ENSCAFP00000022311	ENSCAFG00000015130	Canis_lupus_familiaris
ENSCAFP00020034862	ENSCAFG00020027012	Canis_lupus_dingo
ENSVVUP00000035863	ENSVVUG00000025784	Vulpes_vulpes
ENSPTIP00000023018	ENSPTIG00000019628	Panthera_tigris_altaica
ENSPPRP00000026101	ENSPPRG00000016666	Panthera_pardus
ENSFCAP00000010441	ENSFCAG00000011240	Felis_catus
ENSECAP00000014199	ENSECAG00000016378	Equus_caballus
ENSEASP00005017041	ENSEASG00005011803	Equus_asinus_asinus
ENSBTAP00000027459	ENSBTAG00000020607	Bos_taurus
ENSBMUP00000035043	ENSBMUG00000026082	Bos_mutus
ENSBBBP00000028378	ENSBBBG00000007757	Bison_bison_bison
ENSOARP00000021389	ENSOARG00000019920	Ovis_aries
ENSCHIP00000013993	ENSCHIG00000015177	Capra_hircus
ENSBIXP00000014480	ENSBIXG00000019156	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005018372	ENSBIXG00005021858	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSVPAP00000002136	ENSVPAG00000002312	Vicugna_pacos
ENSTTRP00000009513	ENSTTRG00000010031	Tursiops_truncatus
ENSSSCP00000017173	ENSSSCG00000016210	Sus_scrofa_strain_reference
ENSPVAP00000010167	ENSPVAG00000010789	Pteropus_vampyrus
ENSMLUP00000021426	ENSMLUG00000029153	Myotis_lucifugus
ENSCHOP00000005272	ENSCHOG00000005956	Choloepus_hoffmanni
ENSDNOP00000018418	ENSDNOG00000049122	Dasypus_novemcinctus
ENSTBEP00000012795	ENSTBEG00000014719	Tupaia_belangeri
ENSLAFP00000007574	ENSLAFG00000009030	Loxodonta_africana
ENSPCAP00000001977	ENSPCAG00000002055	Procavia_capensis
ENSETEP00000008347	ENSETEG00000010278	Echinops_telfairi
ENSOPRP00000010175	ENSOPRG00000011107	Ochotona_princeps
ENSOCUP00000012983	ENSOCUG00000015103	Oryctolagus_cuniculus
ENSEEUP00000007015	ENSEEUG00000007653	Erinaceus_europaeus
ENSVURP00010001718	ENSVURG00010000405	Vombatus_ursinus
ENSPCIP00000045734	ENSPCIG00000010333	Phascolarctos_cinereus
ENSMEUP00000005768	ENSMEUG00000006299	Notamacropus_eugenii
ENSMODP00000019124	ENSMODG00000015313	Monodelphis_domestica
ENSSHAP00000015876	ENSSHAG00000013528	Sarcophilus_harrisii
ENSOANP00000030897	ENSOANG00000032176	Ornithorhynchus_anatinus
ENSXETP00000051979	ENSXETG00000018034	Xenopus_tropicalis
ENSPMAP00000004737	ENSPMAG00000004304	Petromyzon_marinus
ENSORLP00020015226	ENSORLG00020016230	Oryzias_latipes_ASM223471v1
ENSORLP00015030767	ENSORLG00015014637	Oryzias_latipes_ASM223469v1
ENSORLP00000006724	ENSORLG00000005333	Oryzias_latipes_ASM223467v1
ENSOMEP00000006295	ENSOMEG00000007360	Oryzias_melastigma
ENSGWIP00000047455	ENSGWIG00000023330	Gouania_willdenowi
ENSLBEP00000033099	ENSLBEG00000024911	Labrus_bergylta
ENSGACP00000019953	ENSGACG00000015126	Gasterosteus_aculeatus
ENSTRUP00000022680	ENSTRUG00000009019	Takifugu_rubripes
ENSTNIP00000017553	ENSTNIG00000014530	Tetraodon_nigroviridis
ENSCSEP00000016334	ENSCSEG00000010487	Cynoglossus_semilaevis
ENSLCRP00005031153	ENSLCRG00005012185	Larimichthys_crocea
ENSMMOP00000008443	ENSMMOG00000006531	Mola_mola
ENSBSLP00000006138	ENSBSLG00000003121	Betta_splendens
ENSSDUP00000030038	ENSSDUG00000021632	Seriola_dumerili
ENSSLDP00000016389	ENSSLDG00000012975	Seriola_lalandi_dorsalis
ENSLCAP00010058134	ENSLCAG00010027087	Lates_calcarifer
ENSSMAP00000010381	ENSSMAG00000006353	Scophthalmus_maximus
ENSMAMP00000033008	ENSMAMG00000022210	Mastacembelus_armatus
ENSMALP00000015890	ENSMALG00000011131	Monopterus_albus
ENSATEP00000004598	ENSATEG00000003125	Anabas_testudineus
ENSCGOP00000052405	ENSCGOG00000022961	Cottoperca_gobio
ENSAOCP00000011967	ENSAOCG00000016400	Amphiprion_ocellaris
ENSAPEP00000005743	ENSAPEG00000004056	Amphiprion_percula
ENSAPOP00000002527	ENSAPOG00000003996	Acanthochromis_polyacanthus
ENSSPAP00000025896	ENSSPAG00000019528	Stegastes_partitus
ENSPRNP00000031904	ENSPRNG00000015995	Parambassis_ranga
ENSPNYP00000021888	ENSPNYG00000016502	Pundamilia_nyererei
ENSHBUP00000025434	ENSHBUG00000007448	Haplochromis_burtoni
ENSACLP00000041402	ENSACLG00000027863	Astatotilapia_calliptera
ENSMZEP00005007467	ENSMZEG00005005689	Maylandia_zebra
ENSNBRP00000010237	ENSNBRG00000007940	Neolamprologus_brichardi
ENSONIP00000015362	ENSONIG00000012195	Oreochromis_niloticus
ENSMZEP00005007504	ENSMZEG00005005732	Maylandia_zebra
ENSACLP00000041424	ENSACLG00000027885	Astatotilapia_calliptera
ENSHBUP00000006009	ENSHBUG00000007414	Haplochromis_burtoni
ENSONIP00000015363	ENSONIG00000012196	Oreochromis_niloticus
ENSNBRP00000010162	ENSNBRG00000007882	Neolamprologus_brichardi
ENSACIP00000000547	ENSACIG00000000321	Amphilophus_citrinellus
ENSXMAP00000003028	ENSXMAG00000003010	Xiphophorus_maculatus
ENSXCOP00000027121	ENSXCOG00000020246	Xiphophorus_couchianus
ENSGAFP00000008565	ENSGAFG00000005774	Gambusia_affinis
ENSPFOP00000003638	ENSPFOG00000003536	Poecilia_formosa
ENSPLAP00000011470	ENSPLAG00000014606	Poecilia_latipinna
