ENSCPOP00000029861	ENSCPOG00000038827	Cavia_porcellus
ENSPCIP00000003330	ENSPCIG00000002720	Phascolarctos_cinereus
ENSHCOP00000005493	ENSHCOG00000007163	Hippocampus_comes
ENSIPUP00000016173	ENSIPUG00000010727	Ictalurus_punctatus
ENSNMEP00000018216	ENSNMEG00000015843	Numida_meleagris
ENSACIP00000029315	ENSACIG00000022656	Amphilophus_citrinellus
ENSPRNP00000047198	ENSPRNG00000022716	Parambassis_ranga
ENSGAFP00000016142	ENSGAFG00000010913	Gambusia_affinis
ENSOARP00000007675	ENSOARG00000007161	Ovis_aries
ENSPSIP00000002808	ENSPSIG00000002731	Pelodiscus_sinensis
ENSCSAP00000001373	ENSCSAG00000005051	Chlorocebus_sabaeus
ENSPMJP00000010524	ENSPMJG00000008272	Parus_major
ENSLCAP00010000866	ENSLCAG00010000528	Lates_calcarifer
ENSCPUP00000005459	ENSCPUG00000004005	Calidris_pugnax
ENSLACP00000017693	ENSLACG00000015584	Latimeria_chalumnae
ENSLCAP00010005778	ENSLCAG00010002856	Lates_calcarifer
ENSPKIP00000023912	ENSPKIG00000007371	Paramormyrops_kingsleyae
ENSXCOP00000016166	ENSXCOG00000012220	Xiphophorus_couchianus
ENSAOCP00000031297	ENSAOCG00000022884	Amphiprion_ocellaris
ENSMFAP00000014582	ENSMFAG00000030450	Macaca_fascicularis
ENSGWIP00000038662	ENSGWIG00000019749	Gouania_willdenowi
ENSBTAP00000034594	ENSBTAG00000053118	Bos_taurus
ENSCAFP00020007634	ENSCAFG00020006142	Canis_lupus_dingo
ENSLBEP00000013169	ENSLBEG00000010137	Labrus_bergylta
ENSLBEP00000029590	ENSLBEG00000022397	Labrus_bergylta
ENSCHAP00000003217	ENSCHAG00000002082	Clupea_harengus	ENSCHAT00000003624
ENSPMEP00000031435	ENSPMEG00000018576	Poecilia_mexicana
ENSJHYP00000014886	ENSJHYG00000011507	Junco_hyemalis
ENSPSMP00000034790	ENSPSMG00000023964	Prolemur_simus
ENSORLP00020004577	ENSORLG00020005384	Oryzias_latipes_ASM223471v1
ENSPMEP00000009604	ENSPMEG00000011476	Poecilia_mexicana
ENSLOCP00000016601	ENSLOCG00000013462	Lepisosteus_oculatus
ENSTGUP00000008155	ENSTGUG00000007919	Taeniopygia_guttata
ENSATEP00000006407	ENSATEG00000004513	Anabas_testudineus
ENSCHAP00000003162	ENSCHAG00000002055	Clupea_harengus	ENSCHAT00000003563
ENSMSIP00000031958	ENSMSIG00000026766	Mus_spicilegus
ENSELUP00000022822	ENSELUG00000021739	Esox_lucius
ENSSTOP00000012144	ENSSTOG00000013555	Ictidomys_tridecemlineatus
ENSTBEP00000009886	ENSTBEG00000011436	Tupaia_belangeri
ENSMMMP00000010318	ENSMMMG00000009179	Marmota_marmota_marmota
ENSPVAP00000008032	ENSPVAG00000008506	Pteropus_vampyrus
ENSGWIP00000021470	ENSGWIG00000011582	Gouania_willdenowi
ENSPTIP00000015566	ENSPTIG00000014622	Panthera_tigris_altaica
