ENSABRP00000024943	ENSABRG00000020923	Anser_brachyrhynchus
ENSAPLP00000023646	ENSAPLG00000021618	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000017868	ENSCPUG00000012301	Calidris_pugnax
ENSCPGP00000001879	ENSCPGG00000001416	Calidris_pygmaea
ENSAHAP00000027968	ENSAHAG00000019437	Apteryx_haastii
ENSAOWP00000012067	ENSAOWG00000008269	Apteryx_owenii
ENSARWP00000022762	ENSARWG00000015522	Apteryx_rowi
ENSDNVP00000006529	ENSDNVG00000004679	Dromaius_novaehollandiae
ENSNPEP00000003882	ENSNPEG00000002969	Nothoprocta_perdicaria
ENSPVIP00000008758	ENSPVIG00000007038	Pogona_vitticeps
ENSACAP00000008609	ENSACAG00000008796	Anolis_carolinensis
ENSNSUP00000017889	ENSNSUG00000013114	Notechis_scutatus
ENSSMRP00000021209	ENSSMRG00000016506	Salvator_merianae
ENSVURP00010002508	ENSVURG00010002017	Vombatus_ursinus
ENSPCIP00000004369	ENSPCIG00000003633	Phascolarctos_cinereus
ENSMEUP00000005548	ENSMEUG00000006076	Notamacropus_eugenii
ENSSHAP00000004605	ENSSHAG00000004046	Sarcophilus_harrisii
ENSMODP00000013844	ENSMODG00000011055	Monodelphis_domestica
ENSLAFP00000011848	ENSLAFG00000014148	Loxodonta_africana
ENSPCAP00000001580	ENSPCAG00000001690	Procavia_capensis
ENSETEP00000007974	ENSETEG00000009817	Echinops_telfairi
ENSCHOP00000002636	ENSCHOG00000002975	Choloepus_hoffmanni
ENSDNOP00000000296	ENSDNOG00000000391	Dasypus_novemcinctus
MGP_SPRETEiJ_P0049032	MGP_SPRETEiJ_G0023299	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000013743	ENSMSIG00000011882	Mus_spicilegus
ENSMUSP00000110609	ENSMUSG00000079608	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0047081	MGP_CAROLIEiJ_G0022387	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039653	MGP_PahariEiJ_G0019115	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002969	ENSRNOG00000026324	Rattus_norvegicus
ENSMUGP00000025008	ENSMUGG00000020865	Meriones_unguiculatus
ENSMAUP00000007991	ENSMAUG00000009525	Mesocricetus_auratus
ENSPEMP00000023489	ENSPEMG00000020516	Peromyscus_maniculatus_bairdii
ENSMOCP00000027542	ENSMOCG00000022986	Microtus_ochrogaster
ENSNGAP00000019451	ENSNGAG00000019271	Nannospalax_galili
ENSCLAP00000023278	ENSCLAG00000015966	Chinchilla_lanigera
ENSODEP00000025237	ENSODEG00000018474	Octodon_degus
ENSCAPP00000014739	ENSCAPG00000015036	Cavia_aperea
ENSCPOP00000024803	ENSCPOG00000040582	Cavia_porcellus
ENSHGLP00000008804	ENSHGLG00000006332	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022489	ENSHGLG00100016540	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005805	ENSFDAG00000014715	Fukomys_damarensis
ENSCCNP00000008427	ENSCCNG00000008914	Castor_canadensis
ENSDORP00000021539	ENSDORG00000023494	Dipodomys_ordii
ENSJJAP00000024034	ENSJJAG00000023620	Jaculus_jaculus
ENSUPAP00010000691	ENSUPAG00010000547	Urocitellus_parryii
ENSSTOP00000003950	ENSSTOG00000004409	Ictidomys_tridecemlineatus
ENSMMMP00000005803	ENSMMMG00000005217	Marmota_marmota_marmota
ENSUPAP00010013070	ENSUPAG00010010587	Urocitellus_parryii
ENSOCUP00000026154	ENSOCUG00000029013	Oryctolagus_cuniculus
ENSOPRP00000007016	ENSOPRG00000007675	Ochotona_princeps
ENSPPAP00000013136	ENSPPAG00000029738	Pan_paniscus
ENSPTRP00000017056	ENSPTRG00000010035	Pan_troglodytes
ENSP00000462349	ENSG00000174448	Homo_sapiens
ENSGGOP00000007077	ENSGGOG00000007234	Gorilla_gorilla
ENSPPYP00000010301	ENSPPYG00000009170	Pongo_abelii
ENSNLEP00000014494	ENSNLEG00000011931	Nomascus_leucogenys
ENSMMUP00000014314	ENSMMUG00000010913	Macaca_mulatta
ENSMNEP00000022260	ENSMNEG00000034811	Macaca_nemestrina
ENSMFAP00000039647	ENSMFAG00000046022	Macaca_fascicularis
ENSCSAP00000014127	ENSCSAG00000018111	Chlorocebus_sabaeus
ENSCATP00000015119	ENSCATG00000031540	Cercocebus_atys
ENSPANP00000036032	ENSPANG00000032987	Papio_anubis
ENSMLEP00000025338	ENSMLEG00000036865	Mandrillus_leucophaeus
ENSTGEP00000030719	ENSTGEG00000024642	Theropithecus_gelada
ENSRROP00000010122	ENSRROG00000029474	Rhinopithecus_roxellana
ENSRBIP00000033536	ENSRBIG00000040514	Rhinopithecus_bieti
ENSPTEP00000013713	ENSPTEG00000015340	Piliocolobus_tephrosceles
ENSCANP00000024147	ENSCANG00000035485	Colobus_angolensis_palliatus
ENSSBOP00000006327	ENSSBOG00000020117	Saimiri_boliviensis_boliviensis
ENSCCAP00000005971	ENSCCAG00000020754	Cebus_capucinus_imitator
ENSANAP00000014318	ENSANAG00000025071	Aotus_nancymaae
ENSTSYP00000007373	ENSTSYG00000008076	Carlito_syrichta
ENSPSMP00000036070	ENSPSMG00000024808	Prolemur_simus
ENSPCOP00000006231	ENSPCOG00000014244	Propithecus_coquereli
ENSMICP00000011438	ENSMICG00000012563	Microcebus_murinus
ENSOGAP00000016605	ENSOGAG00000025351	Otolemur_garnettii
ENSGGOP00000026830	ENSGGOG00000028549	Gorilla_gorilla
ENSNVIP00000003768	ENSNVIG00000003016	Neovison_vison
ENSEASP00005004590	ENSEASG00005003483	Equus_asinus_asinus
ENSPVAP00000008089	ENSPVAG00000008563	Pteropus_vampyrus
ENSCHIP00000014808	ENSCHIG00000015688	Capra_hircus
ENSOARP00000005181	ENSOARG00000004834	Ovis_aries
ENSBIXP00000003988	ENSBIXG00000000566	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000010736	ENSBTAG00000008168	Bos_taurus
ENSBIXP00005021960	ENSBIXG00005024888	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000025297	ENSBMUG00000018973	Bos_mutus
ENSBBBP00000010581	ENSBBBG00000018687	Bison_bison_bison
ENSSSCP00000004884	ENSSSCG00000004530	Sus_scrofa_strain_reference
ENSTTRP00000013893	ENSTTRG00000014649	Tursiops_truncatus
