ENSFHEP00000025907	ENSFHEG00000008422	Fundulus_heteroclitus	ENSFHET00000004044
ENSCVAP00000015961	ENSCVAG00000018852	Cyprinodon_variegatus	ENSCVAT00000024190
ENSXCOP00000001617	ENSXCOG00000001311	Xiphophorus_couchianus	ENSXCOT00000001642
ENSPLAP00000017184	ENSPLAG00000021527	Poecilia_latipinna	ENSPLAT00000026355
ENSORLP00020000914	ENSORLG00020001625	Oryzias_latipes_ASM223471v1
ENSOMEP00000000937	ENSOMEG00000001828	Oryzias_melastigma	ENSOMET00000015032
ENSMZEP00005010075	ENSMZEG00005007621	Maylandia_zebra
ENSMZEP00005033514	ENSMZEG00005025039	Maylandia_zebra
ENSPNYP00000001155	ENSPNYG00000000944	Pundamilia_nyererei
ENSACIP00000002006	ENSACIG00000001629	Amphilophus_citrinellus
ENSAPEP00000022193	ENSAPEG00000015813	Amphiprion_percula
ENSSPAP00000004975	ENSSPAG00000003864	Stegastes_partitus
ENSMAMP00000001063	ENSMAMG00000000762	Mastacembelus_armatus
ENSSLDP00000009204	ENSSLDG00000007300	Seriola_lalandi_dorsalis
ENSPMGP00000023653	ENSPMGG00000019109	Periophthalmus_magnuspinnatus
ENSPMGP00000025574	ENSPMGG00000020628	Periophthalmus_magnuspinnatus
ENSHCOP00000025098	ENSHCOG00000014992	Hippocampus_comes
ENSMALP00000018235	ENSMALG00000012703	Monopterus_albus
ENSHHUP00000012951	ENSHHUG00000007950	Hucho_hucho
ENSECRP00000029231	ENSECRG00000019795	Erpetoichthys_calabaricus
ENSAMXP00000028878	ENSAMXG00000034118	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000047403	ENSAMXG00000031154	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLOCP00000011398	ENSLOCG00000009343	Lepisosteus_oculatus
ENSECRP00000031205	ENSECRG00000021150	Erpetoichthys_calabaricus
ENSMUNP00000006741	ENSMUNG00000005417	Melopsittacus_undulatus
ENSAPLP00000000463	ENSAPLG00000018473	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000005233	ENSAOWG00000003609	Apteryx_owenii
ENSARWP00000024052	ENSARWG00000016387	Apteryx_rowi
ENSAHAP00000023997	ENSAHAG00000016763	Apteryx_haastii
ENSNPEP00000016067	ENSNPEG00000011981	Nothoprocta_perdicaria
ENSCPRP00005011424	ENSCPRG00005008137	Crocodylus_porosus
ENSCABP00000013811	ENSCABG00000010329	Chelonoidis_abingdonii
ENSNSUP00000017571	ENSNSUG00000012881	Notechis_scutatus
