ENSCVAP00000010011	ENSCVAG00000012065	Cyprinodon_variegatus
ENSFHEP00000015506	ENSFHEG00000017131	Fundulus_heteroclitus
ENSPMEP00000005887	ENSPMEG00000007319	Poecilia_mexicana
ENSPMEP00000016704	ENSPMEG00000019402	Poecilia_mexicana
ENSPFOP00000002112	ENSPFOG00000002280	Poecilia_formosa
ENSPLAP00000023065	ENSPLAG00000008123	Poecilia_latipinna
ENSPLAP00000030415	ENSPLAG00000021479	Poecilia_latipinna
ENSPREP00000015980	ENSPREG00000010784	Poecilia_reticulata
ENSXCOP00000003463	ENSXCOG00000002733	Xiphophorus_couchianus
ENSXMAP00000005177	ENSXMAG00000005167	Xiphophorus_maculatus
ENSGAFP00000023351	ENSGAFG00000015771	Gambusia_affinis
ENSKMAP00000004586	ENSKMAG00000003497	Kryptolebias_marmoratus
ENSTRUP00000053583	ENSTRUG00000022047	Takifugu_rubripes
ENSSPAP00000006606	ENSSPAG00000005096	Stegastes_partitus	ENSSPAT00000006742
ENSPRNP00000023401	ENSPRNG00000011943	Parambassis_ranga
ENSGWIP00000012825	ENSGWIG00000007408	Gouania_willdenowi
ENSSMAP00000015348	ENSSMAG00000009409	Scophthalmus_maximus
ENSCSEP00000009751	ENSCSEG00000006259	Cynoglossus_semilaevis
ENSLCAP00010059845	ENSLCAG00010027862	Lates_calcarifer
ENSMALP00000012583	ENSMALG00000008941	Monopterus_albus
ENSCGOP00000011999	ENSCGOG00000005956	Cottoperca_gobio
ENSGACP00000007301	ENSGACG00000005525	Gasterosteus_aculeatus
ENSLBEP00000025795	ENSLBEG00000019686	Labrus_bergylta
ENSMMOP00000022384	ENSMMOG00000017013	Mola_mola
ENSHCOP00000004806	ENSHCOG00000006321	Hippocampus_comes
ENSGMOP00000014193	ENSGMOG00000013272	Gadus_morhua
ENSHHUP00000020029	ENSHHUG00000012542	Hucho_hucho
ENSHHUP00000063224	ENSHHUG00000037365	Hucho_hucho
ENSELUP00000037731	ENSELUG00000017449	Esox_lucius
ENSPMGP00000027851	ENSPMGG00000022470	Periophthalmus_magnuspinnatus
ENSBSLP00000052541	ENSBSLG00000024800	Betta_splendens
ENSORLP00000043161	ENSORLG00000022460	Oryzias_latipes_ASM223467v1
ENSORLP00015020342	ENSORLG00015021463	Oryzias_latipes_ASM223469v1
ENSORLP00020025393	ENSORLG00020007315	Oryzias_latipes_ASM223471v1
ENSOMEP00000015339	ENSOMEG00000016913	Oryzias_melastigma
ENSAMXP00000032946	ENSAMXG00000030760	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005000596	ENSAMXG00005000351	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000012234	ENSPNAG00000017964	Pygocentrus_nattereri
ENSEEEP00000001231	ENSEEEG00000000839	Electrophorus_electricus
ENSIPUP00000010677	ENSIPUG00000007281	Ictalurus_punctatus
ENSDCDP00000017520	ENSDCDG00000014286	Denticeps_clupeoides
