ENSFALP00000001622	ENSFALG00000001560	Ficedula_albicollis
ENSCAFP00000022894	ENSCAFG00000015512	Canis_lupus_familiaris
ENSFDAP00000012056	ENSFDAG00000006716	Fukomys_damarensis
ENSETEP00000014560	ENSETEG00000017919	Echinops_telfairi
ENSPMAP00000004969	ENSPMAG00000004520	Petromyzon_marinus
ENSFCAP00000046805	ENSFCAG00000028985	Felis_catus
ENSLCOP00000012249	ENSLCOG00000008805	Lepidothrix_coronata
ENSCAFP00020029165	ENSCAFG00020022783	Canis_lupus_dingo
ENSOARP00000012878	ENSOARG00000012010	Ovis_aries
ENSGAFP00000031555	ENSGAFG00000021264	Gambusia_affinis
ENSGAGP00000022116	ENSGAGG00000016239	Gopherus_agassizii
ENSMALP00000008412	ENSMALG00000005985	Monopterus_albus
ENSCLAP00000008471	ENSCLAG00000005927	Chinchilla_lanigera
ENSXETP00000033002	ENSXETG00000015747	Xenopus_tropicalis
ENSCPRP00005015960	ENSCPRG00005011158	Crocodylus_porosus
ENSLSDP00000013712	ENSLSDG00000009932	Lonchura_striata_domestica
MGP_PahariEiJ_P0076212	MGP_PahariEiJ_G0028048	Mus_pahari_strain_PAHARI_EIJ
ENSJJAP00000005642	ENSJJAG00000010528	Jaculus_jaculus
ENSCHOP00000004101	ENSCHOG00000004638	Choloepus_hoffmanni
ENSCJAP00000031531	ENSCJAG00000017095	Callithrix_jacchus
ENSCPBP00000007705	ENSCPBG00000006061	Chrysemys_picta_bellii
ENSPVAP00000014957	ENSPVAG00000015852	Pteropus_vampyrus
ENSPEMP00000034897	ENSPEMG00000026471	Peromyscus_maniculatus_bairdii
ENSAPOP00000006558	ENSAPOG00000008392	Acanthochromis_polyacanthus
ENSTNIP00000016897	ENSTNIG00000013892	Tetraodon_nigroviridis
ENSHGLP00000005402	ENSHGLG00000003955	Heterocephalus_glaber_HetGla_female_1.0
ENSPTRP00000077197	ENSPTRG00000048706	Pan_troglodytes
ENSXMAP00000031873	ENSXMAG00000011697	Xiphophorus_maculatus
ENSPCOP00000000341	ENSPCOG00000000741	Propithecus_coquereli
ENSCCAP00000016862	ENSCCAG00000026222	Cebus_capucinus_imitator
ENSBMUP00000020903	ENSBMUG00000015739	Bos_mutus
ENSPSMP00000014082	ENSPSMG00000010072	Prolemur_simus
ENSBIXP00000025436	ENSBIXG00000027537	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMSIP00000020155	ENSMSIG00000015416	Mus_spicilegus
ENSMMMP00000023441	ENSMMMG00000020142	Marmota_marmota_marmota
ENSECRP00000003271	ENSECRG00000002245	Erpetoichthys_calabaricus
ENSUMAP00000022703	ENSUMAG00000016586	Ursus_maritimus
