ENSXETP00000019222	ENSXETG00000001399	Xenopus_tropicalis
ENSCMIP00000006791	ENSCMIG00000003788	Callorhinchus_milii
ENSMALP00000007901	ENSMALG00000005629	Monopterus_albus
ENSEBUP00000027454	ENSEBUG00000016826	Eptatretus_burgeri
ENSCPUP00000026690	ENSCPUG00000017956	Calidris_pugnax
ENSCPGP00000017002	ENSCPGG00000011827	Calidris_pygmaea
ENSABRP00000024368	ENSABRG00000020468	Anser_brachyrhynchus
ENSTGUP00000017020	ENSTGUG00000016682	Taeniopygia_guttata
ENSSCAP00000017576	ENSSCAG00000012759	Serinus_canaria
ENSPMJP00000012835	ENSPMJG00000009821	Parus_major
ENSFALP00000003115	ENSFALG00000002966	Ficedula_albicollis
ENSJHYP00000014747	ENSJHYG00000011389	Junco_hyemalis
ENSGALP00000074230	ENSGALG00000054512	Gallus_gallus
ENSCPRP00005003489	ENSCPRG00005002552	Crocodylus_porosus
ENSCABP00000000809	ENSCABG00000000324	Chelonoidis_abingdonii
ENSCPBP00000036947	ENSCPBG00000025629	Chrysemys_picta_bellii
ENSGAGP00000024094	ENSGAGG00000017629	Gopherus_agassizii
ENSSPUP00000003340	ENSSPUG00000002561	Sphenodon_punctatus
ENSSPUP00000003329	ENSSPUG00000002550	Sphenodon_punctatus
ENSPVIP00000029372	ENSPVIG00000021688	Pogona_vitticeps
ENSSMRP00000015301	ENSSMRG00000011884	Salvator_merianae
ENSVURP00010028982	ENSVURG00010022198	Vombatus_ursinus
ENSVURP00010020469	ENSVURG00010015657	Vombatus_ursinus
ENSPCIP00000022026	ENSPCIG00000016691	Phascolarctos_cinereus
ENSMEUP00000003973	ENSMEUG00000004342	Notamacropus_eugenii
ENSSHAP00000006715	ENSSHAG00000005845	Sarcophilus_harrisii
ENSMODP00000021366	ENSMODG00000017121	Monodelphis_domestica
ENSSARP00000006520	ENSSARG00000007179	Sorex_araneus
ENSEEUP00000001076	ENSEEUG00000001188	Erinaceus_europaeus
ENSOCUP00000006116	ENSOCUG00000007070	Oryctolagus_cuniculus
ENSOPRP00000013603	ENSOPRG00000014886	Ochotona_princeps
ENSPANP00000028353	ENSPANG00000016453	Papio_anubis
ENSTGEP00000027969	ENSTGEG00000022396	Theropithecus_gelada
ENSCATP00000030154	ENSCATG00000038247	Cercocebus_atys
ENSMLEP00000010397	ENSMLEG00000029184	Mandrillus_leucophaeus
ENSMMUP00000030724	ENSMMUG00000023340	Macaca_mulatta
ENSMNEP00000021321	ENSMNEG00000034306	Macaca_nemestrina
ENSMFAP00000025213	ENSMFAG00000043971	Macaca_fascicularis
ENSCSAP00000016046	ENSCSAG00000001988	Chlorocebus_sabaeus
ENSPTEP00000036045	ENSPTEG00000033805	Piliocolobus_tephrosceles
ENSCANP00000037479	ENSCANG00000042343	Colobus_angolensis_palliatus
ENSRROP00000044695	ENSRROG00000045295	Rhinopithecus_roxellana
ENSRBIP00000027409	ENSRBIG00000037513	Rhinopithecus_bieti
ENSPPAP00000030675	ENSPPAG00000038136	Pan_paniscus
ENSPTRP00000040612	ENSPTRG00000001404	Pan_troglodytes
ENSP00000349436	ENSG00000143537	Homo_sapiens
ENSGGOP00000013558	ENSGGOG00000013886	Gorilla_gorilla
ENSPPYP00000000883	ENSPPYG00000000762	Pongo_abelii
ENSNLEP00000031671	ENSNLEG00000026757	Nomascus_leucogenys
ENSCJAP00000016874	ENSCJAG00000009075	Callithrix_jacchus
ENSCCAP00000008632	ENSCCAG00000021682	Cebus_capucinus_imitator
ENSSBOP00000018989	ENSSBOG00000025825	Saimiri_boliviensis_boliviensis
ENSANAP00000023907	ENSANAG00000029378	Aotus_nancymaae
ENSTSYP00000027347	ENSTSYG00000009273	Carlito_syrichta
ENSPCOP00000025006	ENSPCOG00000024709	Propithecus_coquereli
ENSPSMP00000033411	ENSPSMG00000022939	Prolemur_simus
ENSMICP00000027195	ENSMICG00000007987	Microcebus_murinus
ENSOGAP00000012376	ENSOGAG00000013810	Otolemur_garnettii
ENSCLAP00000004065	ENSCLAG00000002903	Chinchilla_lanigera
