FBpp0304269	FBgn0033570	Drosophila_melanogaster	FBtr0331936
Y57G11C.12.1	WBGene00013308	Caenorhabditis_elegans_strain_N2	Y57G11C.12.1
ENSTGUP00000010010	ENSTGUG00000009699	Taeniopygia_guttata
ENSLSDP00000003091	ENSLSDG00000002371	Lonchura_striata_domestica
ENSSCAP00000007690	ENSSCAG00000005906	Serinus_canaria
ENSZALP00000007871	ENSZALG00000006929	Zonotrichia_albicollis
ENSPMJP00000003587	ENSPMJG00000003138	Parus_major
ENSCCEP00000000186	ENSCCEG00000000294	Cyanistes_caeruleus
ENSFALP00000012241	ENSFALG00000011726	Ficedula_albicollis
ENSCPGP00000007279	ENSCPGG00000005217	Calidris_pygmaea
ENSCPUP00000001028	ENSCPUG00000000802	Calidris_pugnax
ENSMVIP00005000247	ENSMVIG00005000248	Manacus_vitellinus
ENSLCOP00000008972	ENSLCOG00000006567	Lepidothrix_coronata
ENSABRP00000005382	ENSABRG00000005024	Anser_brachyrhynchus
ENSAPLP00000006523	ENSAPLG00000006912	Anas_platyrhynchos_platyrhynchos
ENSGALP00000047519	ENSGALG00000035223	Gallus_gallus
ENSCJPP00005010432	ENSCJPG00005009084	Coturnix_japonica
ENSNMEP00000012060	ENSNMEG00000011270	Numida_meleagris
ENSMUNP00000018995	ENSMUNG00000014554	Melopsittacus_undulatus
ENSAOWP00000018022	ENSAOWG00000012309	Apteryx_owenii
ENSARWP00000023483	ENSARWG00000016005	Apteryx_rowi
ENSAHAP00000014465	ENSAHAG00000010416	Apteryx_haastii
ENSNPEP00000013637	ENSNPEG00000010198	Nothoprocta_perdicaria
ENSDNVP00000005174	ENSDNVG00000003712	Dromaius_novaehollandiae
ENSACAP00000003808	ENSACAG00000003916	Anolis_carolinensis
ENSPVIP00000033961	ENSPVIG00000024835	Pogona_vitticeps
ENSNSUP00000004457	ENSNSUG00000003559	Notechis_scutatus
ENSSMRP00000018948	ENSSMRG00000014761	Salvator_merianae
ENSSPUP00000007841	ENSSPUG00000006063	Sphenodon_punctatus
ENSCABP00000031260	ENSCABG00000022842	Chelonoidis_abingdonii
