ENSOPRP00000004278	ENSOPRG00000004652	Ochotona_princeps
ENSTGUP00000011874	ENSTGUG00000011523	Taeniopygia_guttata
ENSGACP00000008752	ENSGACG00000006618	Gasterosteus_aculeatus
ENSNVIP00000011816	ENSNVIG00000009324	Neovison_vison
ENSPCIP00000031526	ENSPCIG00000023424	Phascolarctos_cinereus
ENSTSYP00000016199	ENSTSYG00000007703	Carlito_syrichta
ENSJHYP00000004657	ENSJHYG00000003854	Junco_hyemalis
ENSACIP00000000289	ENSACIG00000000224	Amphilophus_citrinellus
ENSCSEP00000014575	ENSCSEG00000009379	Cynoglossus_semilaevis
ENSMPUP00000007142	ENSMPUG00000007200	Mustela_putorius_furo
MGP_CAROLIEiJ_P0032645	MGP_CAROLIEiJ_G0017889	Mus_caroli_strain_CAROLI_EIJ
ENSKMAP00000021747	ENSKMAG00000016165	Kryptolebias_marmoratus
ENSMFAP00000038402	ENSMFAG00000038564	Macaca_fascicularis
ENSPEMP00000005454	ENSPEMG00000007902	Peromyscus_maniculatus_bairdii
ENSATEP00000001315	ENSATEG00000000955	Anabas_testudineus
ENSMALP00000029656	ENSMALG00000020508	Monopterus_albus
ENSACAP00000022264	ENSACAG00000028597	Anolis_carolinensis
ENSABRP00000017976	ENSABRG00000015498	Anser_brachyrhynchus
ENSAOCP00000025902	ENSAOCG00000000867	Amphiprion_ocellaris
ENSCHOP00000004584	ENSCHOG00000005178	Choloepus_hoffmanni
ENSCPUP00000010706	ENSCPUG00000007606	Calidris_pugnax
ENSGALP00000015508	ENSGALG00000009538	Gallus_gallus
ENSAPOP00000033109	ENSAPOG00000021503	Acanthochromis_polyacanthus
ENSSHAP00000014395	ENSSHAG00000012295	Sarcophilus_harrisii
ENSCPBP00000008018	ENSCPBG00000006311	Chrysemys_picta_bellii
ENSORLP00020002221	ENSORLG00020002957	Oryzias_latipes_ASM223471v1
ENSCJAP00000028112	ENSCJAG00000015232	Callithrix_jacchus
ENSVURP00010030593	ENSVURG00010023402	Vombatus_ursinus
ENSCPRP00005025304	ENSCPRG00005017542	Crocodylus_porosus
ENSLSDP00000014932	ENSLSDG00000010754	Lonchura_striata_domestica
ENSSDUP00000024933	ENSSDUG00000018111	Seriola_dumerili
ENSMNEP00000041143	ENSMNEG00000043413	Macaca_nemestrina
ENSCPOP00000002440	ENSCPOG00000002687	Cavia_porcellus
ENSACLP00000040793	ENSACLG00000027464	Astatotilapia_calliptera
ENSECAP00000018220	ENSECAG00000020502	Equus_caballus
ENSGAFP00000017015	ENSGAFG00000011488	Gambusia_affinis
ENSEEUP00000014313	ENSEEUG00000015672	Erinaceus_europaeus
ENSP00000370750	ENSG00000072042	Homo_sapiens
ENSAMEP00000008515	ENSAMEG00000008067	Ailuropoda_melanoleuca
ENSOANP00000029786	ENSOANG00000029764	Ornithorhynchus_anatinus
ENSCANP00000020183	ENSCANG00000033523	Colobus_angolensis_palliatus
ENSOARP00000022758	ENSOARG00000021172	Ovis_aries
ENSTGEP00000022984	ENSTGEG00000018611	Theropithecus_gelada
ENSPLAP00000014675	ENSPLAG00000018422	Poecilia_latipinna
ENSGAGP00000011726	ENSGAGG00000009053	Gopherus_agassizii
