T19A6.2a.1	WBGene00003596	Caenorhabditis_elegans_strain_N2
ENSPTEP00000016222	ENSPTEG00000017843	Piliocolobus_tephrosceles
ENSPMAP00000001107	ENSPMAG00000000974	Petromyzon_marinus	ENSPMAT00000001111
ENSEBUP00000008181	ENSEBUG00000005300	Eptatretus_burgeri	ENSEBUT00000008674
ENSUAMP00000017795	ENSUAMG00000014123	Ursus_americanus
ENSUMAP00000001028	ENSUMAG00000000413	Ursus_maritimus
ENSAMEP00000001107	ENSAMEG00000001032	Ailuropoda_melanoleuca
ENSMPUP00000014600	ENSMPUG00000014709	Mustela_putorius_furo
ENSNVIP00000016361	ENSNVIG00000012836	Neovison_vison
ENSCAFP00020010502	ENSCAFG00020008050	Canis_lupus_dingo
ENSCAFP00000004881	ENSCAFG00000003289	Canis_lupus_familiaris
ENSVVUP00000031862	ENSVVUG00000023157	Vulpes_vulpes
ENSPPRP00000019075	ENSPPRG00000010528	Panthera_pardus
ENSPTIP00000016249	ENSPTIG00000015095	Panthera_tigris_altaica
ENSFCAP00000008122	ENSFCAG00000008760	Felis_catus
ENSECAP00000006451	ENSECAG00000008068	Equus_caballus
ENSEASP00005017674	ENSEASG00005012227	Equus_asinus_asinus
ENSCHIP00000014912	ENSCHIG00000015731	Capra_hircus
ENSOARP00000021252	ENSOARG00000019788	Ovis_aries
ENSBTAP00000005018	ENSBTAG00000003849	Bos_taurus
ENSBIXP00000023056	ENSBIXG00000025644	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005025745	ENSBIXG00005028205	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000006674	ENSBMUG00000005289	Bos_mutus
ENSBBBP00000016798	ENSBBBG00000025003	Bison_bison_bison
ENSTTRP00000008153	ENSTTRG00000008600	Tursiops_truncatus
ENSSSCP00000044599	ENSSSCG00000031631	Sus_scrofa_strain_reference
ENSVPAP00000001459	ENSVPAG00000001579	Vicugna_pacos
ENSPVAP00000009552	ENSPVAG00000010131	Pteropus_vampyrus
ENSMLUP00000015629	ENSMLUG00000017139	Myotis_lucifugus
ENSEEUP00000010371	ENSEEUG00000011345	Erinaceus_europaeus
ENSCPOP00000019529	ENSCPOG00000026804	Cavia_porcellus
ENSCAPP00000017947	ENSCAPG00000017481	Cavia_aperea
ENSCLAP00000018236	ENSCLAG00000012504	Chinchilla_lanigera
ENSHGLP00100003411	ENSHGLG00100002593	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019136	ENSHGLG00000013728	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100021788	ENSHGLG00100016036	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000010363	ENSHGLG00000007433	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001752	ENSHGLG00100001365	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003945	ENSFDAG00000013274	Fukomys_damarensis
ENSSTOP00000004694	ENSSTOG00000005217	Ictidomys_tridecemlineatus
ENSSDAP00000015817	ENSSDAG00000014273	Spermophilus_dauricus
ENSMMMP00000006751	ENSMMMG00000006031	Marmota_marmota_marmota
ENSCCNP00000004040	ENSCCNG00000004263	Castor_canadensis
ENSDORP00000013568	ENSDORG00000014429	Dipodomys_ordii
ENSMSIP00000018175	ENSMSIG00000015516	Mus_spicilegus
ENSMUSP00000030684	ENSMUSG00000028869	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0066834	MGP_SPRETEiJ_G0027437	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0064335	MGP_CAROLIEiJ_G0026458	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0079428	MGP_PahariEiJ_G0028789	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012702	ENSRNOG00000009430	Rattus_norvegicus
ENSMUGP00000009089	ENSMUGG00000008145	Meriones_unguiculatus
ENSCGRP00015008316	ENSCGRG00015006430	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000024034	ENSCGRG00000017418	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001016391	ENSCGRG00001016733	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000020532	ENSMAUG00000018529	Mesocricetus_auratus
ENSPEMP00000024526	ENSPEMG00000021234	Peromyscus_maniculatus_bairdii
ENSMOCP00000017924	ENSMOCG00000016365	Microtus_ochrogaster
ENSNGAP00000004527	ENSNGAG00000005990	Nannospalax_galili
ENSJJAP00000006037	ENSJJAG00000010798	Jaculus_jaculus
ENSTBEP00000002994	ENSTBEG00000003443	Tupaia_belangeri
ENSP00000362153	ENSG00000134697	Homo_sapiens
