ENSACLP00000011577	ENSACLG00000007909	Astatotilapia_calliptera
ENSPNAP00000000569	ENSPNAG00000000325	Pygocentrus_nattereri
ENSMZEP00005006566	ENSMZEG00005005066	Maylandia_zebra
ENSPNYP00000024551	ENSPNYG00000018524	Pundamilia_nyererei
ENSCLAP00000020075	ENSCLAG00000013753	Chinchilla_lanigera
ENSLBEP00000004522	ENSLBEG00000003481	Labrus_bergylta
ENSATEP00000001909	ENSATEG00000001374	Anabas_testudineus
ENSLCRP00005009640	ENSLCRG00005004207	Larimichthys_crocea
ENSORLP00000011276	ENSORLG00000008994	Oryzias_latipes_ASM223467v1
ENSCAFP00020027909	ENSCAFG00020021911	Canis_lupus_dingo
ENSMLEP00000019696	ENSMLEG00000034040	Mandrillus_leucophaeus
ENSOANP00000002774	ENSOANG00000001740	Ornithorhynchus_anatinus
ENSCPUP00000007331	ENSCPUG00000005289	Calidris_pugnax	ENSCPUT00000008839
ENSCPGP00000002267	ENSCPGG00000001688	Calidris_pygmaea	ENSCPGT00000002497
ENSCVAP00000007419	ENSCVAG00000009083	Cyprinodon_variegatus
ENSRROP00000017826	ENSRROG00000032993	Rhinopithecus_roxellana
ENSNBRP00000017202	ENSNBRG00000013265	Neolamprologus_brichardi
ENSPMJP00000018256	ENSPMJG00000013669	Parus_major	ENSPMJT00000023851
ENSNVIP00000009498	ENSNVIG00000007422	Neovison_vison
ENSUMAP00000022686	ENSUMAG00000016551	Ursus_maritimus
ENSANAP00000023449	ENSANAG00000029455	Aotus_nancymaae
ENSARWP00000002556	ENSARWG00000001918	Apteryx_rowi
ENSPLAP00000008051	ENSPLAG00000010508	Poecilia_latipinna
MGP_SPRETEiJ_P0064926	MGP_SPRETEiJ_G0027007	Mus_spretus_strain_SPRET/EiJ
ENSPMGP00000025927	ENSPMGG00000020897	Periophthalmus_magnuspinnatus
ENSCAPP00000009574	ENSCAPG00000011007	Cavia_aperea
ENSSMAP00000030204	ENSSMAG00000018510	Scophthalmus_maximus
ENSHHUP00000005994	ENSHHUG00000003647	Hucho_hucho
MGP_CAROLIEiJ_P0062454	MGP_CAROLIEiJ_G0026042	Mus_caroli_strain_CAROLI_EIJ
ENSJJAP00000001974	ENSJJAG00000002838	Jaculus_jaculus
ENSPCOP00000021246	ENSPCOG00000022633	Propithecus_coquereli
ENSUAMP00000001777	ENSUAMG00000001566	Ursus_americanus
ENSSSCP00000005841	ENSSSCG00000005446	Sus_scrofa_strain_reference
ENSMUGP00000013406	ENSMUGG00000011577	Meriones_unguiculatus
ENSFDAP00000010149	ENSFDAG00000017994	Fukomys_damarensis
ENSCANP00000029080	ENSCANG00000038059	Colobus_angolensis_palliatus
ENSCGRP00000007549	ENSCGRG00000005497	Cricetulus_griseus_CriGri_1.0
ENSMUNP00000002409	ENSMUNG00000002132	Melopsittacus_undulatus
ENSHGLP00000018931	ENSHGLG00000013577	Heterocephalus_glaber_HetGla_female_1.0
ENSCCNP00000015893	ENSCCNG00000016218	Castor_canadensis
ENSBSLP00000056273	ENSBSLG00000026229	Betta_splendens
ENSCATP00000027959	ENSCATG00000037317	Cercocebus_atys
ENSHCOP00000019510	ENSHCOG00000004917	Hippocampus_comes
ENSPSMP00000026544	ENSPSMG00000018633	Prolemur_simus
ENSMGAP00000006777	ENSMGAG00000006710	Meleagris_gallopavo
ENSMODP00000004034	ENSMODG00000003302	Monodelphis_domestica
ENSDNVP00000010075	ENSDNVG00000007112	Dromaius_novaehollandiae
ENSSLDP00000017731	ENSSLDG00000013987	Seriola_lalandi_dorsalis
ENSLOCP00000006229	ENSLOCG00000005168	Lepisosteus_oculatus
ENSAPEP00000002637	ENSAPEG00000001929	Amphiprion_percula
ENSGACP00000012115	ENSGACG00000009175	Gasterosteus_aculeatus
ENSGGOP00000004117	ENSGGOG00000004192	Gorilla_gorilla
ENSCPOP00000008823	ENSCPOG00000009831	Cavia_porcellus
ENSSARP00000004357	ENSSARG00000004757	Sorex_araneus
ENSBIXP00005007529	ENSBIXG00005012891	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLACP00000004206	ENSLACG00000003742	Latimeria_chalumnae
