ENSGMOP00000012385	ENSGMOG00000011588	Gadus_morhua
ENSDCDP00000056329	ENSDCDG00000033019	Denticeps_clupeoides
ENSCGOP00000057044	ENSCGOG00000024747	Cottoperca_gobio
ENSLSDP00000015712	ENSLSDG00000011326	Lonchura_striata_domestica
ENSTGUP00000007893	ENSTGUG00000007670	Taeniopygia_guttata
ENSMVIP00005027569	ENSMVIG00005019216	Manacus_vitellinus
ENSGALP00000072740	ENSGALG00000041634	Gallus_gallus
ENSNMEP00000023250	ENSNMEG00000019838	Numida_meleagris
ENSABRP00000016735	ENSABRG00000014655	Anser_brachyrhynchus
ENSAPLP00000026097	ENSAPLG00000006060	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000004759	ENSMGAG00000004889	Meleagris_gallopavo
ENSCPUP00000007263	ENSCPUG00000005233	Calidris_pugnax
ENSAHAP00000010985	ENSAHAG00000007973	Apteryx_haastii
ENSARWP00000018769	ENSARWG00000012909	Apteryx_rowi
ENSNPEP00000012404	ENSNPEG00000009268	Nothoprocta_perdicaria
ENSCPGP00000020342	ENSCPGG00000014241	Calidris_pygmaea
ENSACAP00000001688	ENSACAG00000001718	Anolis_carolinensis
ENSOANP00000000573	ENSOANG00000000346	Ornithorhynchus_anatinus
ENSMODP00000038068	ENSMODG00000016572	Monodelphis_domestica
ENSPVIP00000021533	ENSPVIG00000016346	Pogona_vitticeps
ENSNSUP00000028555	ENSNSUG00000020311	Notechis_scutatus
ENSSMRP00000020345	ENSSMRG00000015827	Salvator_merianae
ENSCABP00000010086	ENSCABG00000007549	Chelonoidis_abingdonii
ENSGAGP00000021378	ENSGAGG00000015696	Gopherus_agassizii
ENSCPBP00000003860	ENSCPBG00000003149	Chrysemys_picta_bellii
ENSPSIP00000007067	ENSPSIG00000006530	Pelodiscus_sinensis
ENSSPUP00000018306	ENSSPUG00000014043	Sphenodon_punctatus
ENSP00000386857	ENSG00000163017	Homo_sapiens
ENSGGOP00000038877	ENSGGOG00000004001	Gorilla_gorilla
ENSPPAP00000012144	ENSPPAG00000029255	Pan_paniscus
ENSPTRP00000084164	ENSPTRG00000047394	Pan_troglodytes
ENSPPYP00000013702	ENSPPYG00000012288	Pongo_abelii
ENSNLEP00000026074	ENSNLEG00000000312	Nomascus_leucogenys
ENSTGEP00000019214	ENSTGEG00000015452	Theropithecus_gelada
ENSCATP00000045779	ENSCATG00000045247	Cercocebus_atys
ENSMFAP00000033379	ENSMFAG00000003169	Macaca_fascicularis
ENSMNEP00000043389	ENSMNEG00000044375	Macaca_nemestrina
ENSMMUP00000023266	ENSMMUG00000017683	Macaca_mulatta
ENSPANP00000018371	ENSPANG00000008205	Papio_anubis
ENSMLEP00000036122	ENSMLEG00000042164	Mandrillus_leucophaeus
ENSCSAP00000011592	ENSCSAG00000015505	Chlorocebus_sabaeus
ENSRBIP00000025395	ENSRBIG00000036579	Rhinopithecus_bieti
ENSRROP00000039002	ENSRROG00000042845	Rhinopithecus_roxellana
ENSCANP00000039289	ENSCANG00000043310	Colobus_angolensis_palliatus
ENSPTEP00000041423	ENSPTEG00000037941	Piliocolobus_tephrosceles
ENSSBOP00000028614	ENSSBOG00000030667	Saimiri_boliviensis_boliviensis
ENSCCAP00000012868	ENSCCAG00000024197	Cebus_capucinus_imitator
ENSCJAP00000033026	ENSCJAG00000017882	Callithrix_jacchus
ENSANAP00000041861	ENSANAG00000038195	Aotus_nancymaae
ENSTSYP00000011225	ENSTSYG00000012242	Carlito_syrichta
ENSTSYP00000032766	ENSTSYG00000026786	Carlito_syrichta
ENSTSYP00000025025	ENSTSYG00000032975	Carlito_syrichta
ENSPCOP00000024684	ENSPCOG00000024559	Propithecus_coquereli
ENSMICP00000037058	ENSMICG00000006029	Microcebus_murinus
ENSPSMP00000027083	ENSPSMG00000018760	Prolemur_simus
ENSOGAP00000005756	ENSOGAG00000006438	Otolemur_garnettii
ENSCCNP00000024907	ENSCCNG00000024369	Castor_canadensis
