ENSPMAP00000005769	ENSPMAG00000005214	Petromyzon_marinus	ENSPMAT00000005794
ENSEBUP00000000355	ENSEBUG00000000534	Eptatretus_burgeri	ENSEBUT00000000649
ENSLCOP00000001872	ENSLCOG00000001487	Lepidothrix_coronata	ENSLCOT00000002006
ENSCCEP00000024734	ENSCCEG00000021928	Cyanistes_caeruleus	ENSCCET00000037068
ENSCJPP00005025012	ENSCJPG00005019669	Coturnix_japonica
ENSACAP00000016948	ENSACAG00000017186	Anolis_carolinensis
ENSXETP00000025606	ENSXETG00000003527	Xenopus_tropicalis
ENSXETP00000048527	ENSXETG00000018615	Xenopus_tropicalis
ENSCGRP00015004837	ENSCGRG00015003791	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015031209	ENSCGRG00015023530	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015004868	ENSCGRG00015003815	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015031249	ENSCGRG00015023565	Cricetulus_griseus_CriGri-PICR
ENSCMIP00000020151	ENSCMIG00000009188	Callorhinchus_milii
ENSSLDP00000023683	ENSSLDG00000018481	Seriola_lalandi_dorsalis
ENSSDUP00000031634	ENSSDUG00000022735	Seriola_dumerili
ENSLCAP00010030488	ENSLCAG00010014346	Lates_calcarifer
ENSLBEP00000027291	ENSLBEG00000020716	Labrus_bergylta
ENSACLP00000016818	ENSACLG00000011456	Astatotilapia_calliptera
ENSPNYP00000014365	ENSPNYG00000010899	Pundamilia_nyererei
ENSHBUP00000023420	ENSHBUG00000004212	Haplochromis_burtoni
ENSMZEP00005019869	ENSMZEG00005014921	Maylandia_zebra
ENSONIP00000020741	ENSONIG00000016468	Oreochromis_niloticus
ENSNBRP00000016221	ENSNBRG00000012533	Neolamprologus_brichardi
ENSELUP00000000217	ENSELUG00000001839	Esox_lucius
ENSCINP00000021757	ENSCING00000011375	Ciona_intestinalis
