ENSMOCP00000027398	ENSMOCG00000022895	Microtus_ochrogaster
ENSPEMP00000001455	ENSPEMG00000001206	Peromyscus_maniculatus_bairdii
ENSCGRP00000013513	ENSCGRG00000009806	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022560	ENSCGRG00015017169	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001026403	ENSCGRG00001023731	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016989	ENSMAUG00000015954	Mesocricetus_auratus
ENSMSIP00000022010	ENSMSIG00000018669	Mus_spicilegus
MGP_SPRETEiJ_P0036168	MGP_SPRETEiJ_G0019446	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000047173	ENSMUSG00000021493	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0034515	MGP_CAROLIEiJ_G0018566	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041137	MGP_PahariEiJ_G0019631	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018899	ENSRNOG00000013653	Rattus_norvegicus
ENSMUGP00000020065	ENSMUGG00000016929	Meriones_unguiculatus
ENSNGAP00000025902	ENSNGAG00000023703	Nannospalax_galili
ENSJJAP00000002175	ENSJJAG00000003553	Jaculus_jaculus
ENSCCNP00000025303	ENSCCNG00000024690	Castor_canadensis
ENSUPAP00010017643	ENSUPAG00010014032	Urocitellus_parryii
ENSSTOP00000020375	ENSSTOG00000025526	Ictidomys_tridecemlineatus
ENSMMMP00000006140	ENSMMMG00000005469	Marmota_marmota_marmota
ENSHGLP00000019911	ENSHGLG00000014258	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024945	ENSHGLG00100018314	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012066	ENSHGLG00000008638	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000007130	ENSHGLG00000005207	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016823	ENSHGLG00100012411	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022592	ENSFDAG00000020953	Fukomys_damarensis
ENSCLAP00000020258	ENSCLAG00000013880	Chinchilla_lanigera
ENSODEP00000010413	ENSODEG00000007773	Octodon_degus
ENSCPOP00000002141	ENSCPOG00000002356	Cavia_porcellus
ENSCAPP00000014730	ENSCAPG00000015021	Cavia_aperea
ENSOGAP00000005864	ENSOGAG00000006557	Otolemur_garnettii
ENSUAMP00000030281	ENSUAMG00000023228	Ursus_americanus
ENSAMEP00000019110	ENSAMEG00000018074	Ailuropoda_melanoleuca
