ENSEBUP00000013102	ENSEBUG00000008271	Eptatretus_burgeri	ENSEBUT00000013678
ENSPMAP00000001577	ENSPMAG00000001426	Petromyzon_marinus	ENSPMAT00000001584
ENSPVAP00000013692	ENSPVAG00000014525	Pteropus_vampyrus
ENSMLUP00000015479	ENSMLUG00000016978	Myotis_lucifugus
ENSSARP00000000577	ENSSARG00000000635	Sorex_araneus
ENSOARP00000001351	ENSOARG00000001299	Ovis_aries
ENSCHIP00000023898	ENSCHIG00000021309	Capra_hircus
ENSBIXP00000021978	ENSBIXG00000024967	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009139	ENSBIXG00005014114	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000066778	ENSBTAG00000031709	Bos_taurus
ENSBMUP00000012954	ENSBMUG00000009793	Bos_mutus
ENSBBBP00000017564	ENSBBBG00000010063	Bison_bison_bison
ENSCHIP00000027417	ENSCHIG00000023349	Capra_hircus
ENSTTRP00000015464	ENSTTRG00000016315	Tursiops_truncatus
ENSSSCP00000031889	ENSSSCG00000011739	Sus_scrofa_strain_reference
ENSVPAP00000010842	ENSVPAG00000011655	Vicugna_pacos
ENSEEUP00000014065	ENSEEUG00000015419	Erinaceus_europaeus
ENSEASP00005000066	ENSEASG00005000126	Equus_asinus_asinus
ENSECAP00000015619	ENSECAG00000017911	Equus_caballus
ENSMPUP00000016967	ENSMPUG00000017075	Mustela_putorius_furo
ENSNVIP00000032201	ENSNVIG00000024828	Neovison_vison
ENSCAFP00000021475	ENSCAFG00000014569	Canis_lupus_familiaris
ENSCAFP00020000405	ENSCAFG00020000445	Canis_lupus_dingo
ENSVVUP00000000107	ENSVVUG00000000094	Vulpes_vulpes
ENSUAMP00000021850	ENSUAMG00000017187	Ursus_americanus
ENSUMAP00000003562	ENSUMAG00000002964	Ursus_maritimus
ENSAMEP00000002297	ENSAMEG00000002181	Ailuropoda_melanoleuca
ENSPPRP00000022368	ENSPPRG00000012947	Panthera_pardus
ENSPTIP00000019140	ENSPTIG00000017018	Panthera_tigris_altaica
ENSFCAP00000023439	ENSFCAG00000023365	Felis_catus
ENSJJAP00000004339	ENSJJAG00000009011	Jaculus_jaculus
ENSSTOP00000027321	ENSSTOG00000034207	Ictidomys_tridecemlineatus
ENSOGAP00000012437	ENSOGAG00000013887	Otolemur_garnettii
ENSTSYP00000029375	ENSTSYG00000000708	Carlito_syrichta
ENSCHIP00000011995	ENSCHIG00000013951	Capra_hircus
ENSNGAP00000005133	ENSNGAG00000007168	Nannospalax_galili
ENSNGAP00000002058	ENSNGAG00000001587	Nannospalax_galili
ENSPEMP00000025520	ENSPEMG00000021913	Peromyscus_maniculatus_bairdii
ENSMOCP00000014046	ENSMOCG00000013665	Microtus_ochrogaster
ENSCGRP00001021784	ENSCGRG00001020529	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007406	ENSCGRG00000005385	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032460	ENSCGRG00015024488	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000014887	ENSMAUG00000014520	Mesocricetus_auratus
ENSMSIP00000027454	ENSMSIG00000023161	Mus_spicilegus
MGP_CAROLIEiJ_P0058024	MGP_CAROLIEiJ_G0025078	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0060339	MGP_SPRETEiJ_G0026020	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000125752	ENSMUSG00000027835	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0068988	MGP_PahariEiJ_G0026521	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000013585	ENSRNOG00000010147	Rattus_norvegicus
ENSMUGP00000032635	ENSMUGG00000027110	Meriones_unguiculatus
ENSDORP00000005147	ENSDORG00000005503	Dipodomys_ordii
ENSUPAP00010026825	ENSUPAG00010021220	Urocitellus_parryii
ENSSTOP00000020207	ENSSTOG00000028442	Ictidomys_tridecemlineatus
ENSSDAP00000006116	ENSSDAG00000005672	Spermophilus_dauricus
ENSHGLP00000026952	ENSHGLG00000019167	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016841	ENSHGLG00100012427	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000008179	ENSHGLG00000005917	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000028241	ENSHGLG00000020456	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000013624	ENSHGLG00000009741	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010696	ENSHGLG00100007944	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100026238	ENSHGLG00100019253	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026568	ENSHGLG00000018900	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017382	ENSFDAG00000005950	Fukomys_damarensis
ENSHGLP00100003691	ENSHGLG00100002811	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022122	ENSHGLG00000015785	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014488	ENSFDAG00000001730	Fukomys_damarensis
ENSCLAP00000003974	ENSCLAG00000002834	Chinchilla_lanigera
ENSODEP00000022965	ENSODEG00000016853	Octodon_degus
ENSODEP00000001678	ENSODEG00000001325	Octodon_degus
ENSODEP00000010530	ENSODEG00000007858	Octodon_degus
ENSCPOP00000031450	ENSCPOG00000011955	Cavia_porcellus
ENSCAPP00000015847	ENSCAPG00000015868	Cavia_aperea
ENSOCUP00000013241	ENSOCUG00000015413	Oryctolagus_cuniculus
ENSPTRP00000026842	ENSPTRG00000015598	Pan_troglodytes
ENSPPAP00000019514	ENSPPAG00000032953	Pan_paniscus
ENSGGOP00000008428	ENSGGOG00000008621	Gorilla_gorilla
ENSP00000376506	ENSG00000114209	Homo_sapiens
ENSPPYP00000024119	ENSPPYG00000029750	Pongo_abelii
ENSNLEP00000005933	ENSNLEG00000004874	Nomascus_leucogenys
ENSRROP00000008171	ENSRROG00000028524	Rhinopithecus_roxellana
ENSRBIP00000000624	ENSRBIG00000002925	Rhinopithecus_bieti
ENSCANP00000011228	ENSCANG00000029021	Colobus_angolensis_palliatus
ENSPTEP00000036222	ENSPTEG00000034069	Piliocolobus_tephrosceles
ENSCSAP00000008685	ENSCSAG00000012498	Chlorocebus_sabaeus
ENSPANP00000009165	ENSPANG00000013157	Papio_anubis
ENSMMUP00000007816	ENSMMUG00000005938	Macaca_mulatta
ENSMFAP00000027361	ENSMFAG00000045071	Macaca_fascicularis
