ENSECRP00000005066	ENSECRG00000003413	Erpetoichthys_calabaricus
ENSXETP00000005736	ENSXETG00000008902	Xenopus_tropicalis
ENSORLP00015009504	ENSORLG00015010339	Oryzias_latipes_ASM223469v1
ENSORLP00020017524	ENSORLG00020018529	Oryzias_latipes_ASM223471v1
ENSORLP00000013309	ENSORLG00000010612	Oryzias_latipes_ASM223467v1
ENSOMEP00000007155	ENSOMEG00000008252	Oryzias_melastigma
ENSGWIP00000004694	ENSGWIG00000002373	Gouania_willdenowi
ENSTNIP00000004442	ENSTNIG00000002028	Tetraodon_nigroviridis
ENSTNIP00000004246	ENSTNIG00000001871	Tetraodon_nigroviridis
ENSLBEP00000016753	ENSLBEG00000012884	Labrus_bergylta
ENSCVAP00000022279	ENSCVAG00000004859	Cyprinodon_variegatus
ENSSDUP00000013261	ENSSDUG00000009596	Seriola_dumerili
ENSSLDP00000000571	ENSSLDG00000000480	Seriola_lalandi_dorsalis
ENSGACP00000001821	ENSGACG00000001388	Gasterosteus_aculeatus
ENSATEP00000018398	ENSATEG00000012813	Anabas_testudineus
ENSBSLP00000028797	ENSBSLG00000014024	Betta_splendens
ENSMALP00000028028	ENSMALG00000019438	Monopterus_albus
ENSLCAP00010018027	ENSLCAG00010008426	Lates_calcarifer
ENSCGOP00000021655	ENSCGOG00000009560	Cottoperca_gobio
ENSLCRP00005038579	ENSLCRG00005014965	Larimichthys_crocea
ENSMMOP00000015838	ENSMMOG00000012082	Mola_mola
ENSSMAP00000033989	ENSSMAG00000020786	Scophthalmus_maximus
ENSCSEP00000029266	ENSCSEG00000018727	Cynoglossus_semilaevis
ENSAPEP00000011502	ENSAPEG00000008220	Amphiprion_percula
ENSAOCP00000022826	ENSAOCG00000008556	Amphiprion_ocellaris
ENSAPOP00000022465	ENSAPOG00000003704	Acanthochromis_polyacanthus
ENSPRNP00000030447	ENSPRNG00000015184	Parambassis_ranga
ENSMZEP00005023945	ENSMZEG00005017919	Maylandia_zebra
ENSACLP00000022632	ENSACLG00000015365	Astatotilapia_calliptera
ENSPNYP00000015070	ENSPNYG00000011419	Pundamilia_nyererei
ENSHBUP00000026059	ENSHBUG00000008460	Haplochromis_burtoni
ENSONIP00000020087	ENSONIG00000015948	Oreochromis_niloticus
ENSNBRP00000026131	ENSNBRG00000019920	Neolamprologus_brichardi
ENSACIP00000017052	ENSACIG00000013268	Amphilophus_citrinellus
ENSKMAP00000004566	ENSKMAG00000003477	Kryptolebias_marmoratus
ENSHCOP00000005387	ENSHCOG00000007028	Hippocampus_comes
ENSPFOP00000016488	ENSPFOG00000016330	Poecilia_formosa
ENSPMEP00000009170	ENSPMEG00000010993	Poecilia_mexicana
ENSPLAP00000001504	ENSPLAG00000002580	Poecilia_latipinna
ENSPREP00000017984	ENSPREG00000012163	Poecilia_reticulata
ENSXMAP00000016723	ENSXMAG00000016641	Xiphophorus_maculatus
ENSXCOP00000003829	ENSXCOG00000003000	Xiphophorus_couchianus
ENSFHEP00000016193	ENSFHEG00000017852	Fundulus_heteroclitus
ENSSPAP00000005783	ENSSPAG00000004481	Stegastes_partitus
ENSTRUP00000036462	ENSTRUG00000014262	Takifugu_rubripes
ENSPMGP00000025497	ENSPMGG00000020563	Periophthalmus_magnuspinnatus
ENSHHUP00000052336	ENSHHUG00000031447	Hucho_hucho
ENSHHUP00000067289	ENSHHUG00000039518	Hucho_hucho
ENSELUP00000025041	ENSELUG00000023730	Esox_lucius
ENSGMOP00000014226	ENSGMOG00000013281	Gadus_morhua
ENSPKIP00000029906	ENSPKIG00000010965	Paramormyrops_kingsleyae
