ENSACAP00000022380	ENSACAG00000028736	Anolis_carolinensis	ENSACAT00000029797
ENSSMRP00000000692	ENSSMRG00000000618	Salvator_merianae
ENSSPUP00000024433	ENSSPUG00000018718	Sphenodon_punctatus
ENSCPBP00000025838	ENSCPBG00000018352	Chrysemys_picta_bellii
ENSGAGP00000009351	ENSGAGG00000007404	Gopherus_agassizii
ENSPSIP00000011785	ENSPSIG00000010637	Pelodiscus_sinensis
ENSGALP00000038351	ENSGALG00000023546	Gallus_gallus
ENSCJPP00005022748	ENSCJPG00005018087	Coturnix_japonica
ENSNMEP00000015784	ENSNMEG00000014014	Numida_meleagris
ENSABRP00000003449	ENSABRG00000003240	Anser_brachyrhynchus
ENSAPLP00000030700	ENSAPLG00000006160	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000024312	ENSCPUG00000016496	Calidris_pugnax
ENSMUNP00000021895	ENSMUNG00000016487	Melopsittacus_undulatus
ENSFALP00000001431	ENSFALG00000001376	Ficedula_albicollis
ENSSCAP00000012943	ENSSCAG00000009644	Serinus_canaria
ENSPMJP00000007016	ENSPMJG00000005842	Parus_major
ENSMVIP00005024291	ENSMVIG00005017046	Manacus_vitellinus
ENSARWP00000023687	ENSARWG00000016139	Apteryx_rowi
ENSAHAP00000021670	ENSAHAG00000015246	Apteryx_haastii
ENSDNVP00000004515	ENSDNVG00000003199	Dromaius_novaehollandiae
ENSUMAP00000015234	ENSUMAG00000011202	Ursus_maritimus
ENSUAMP00000011388	ENSUAMG00000009307	Ursus_americanus
ENSMPUP00000002871	ENSMPUG00000002900	Mustela_putorius_furo
ENSNVIP00000031279	ENSNVIG00000024066	Neovison_vison
ENSCAFP00020025687	ENSCAFG00020020215	Canis_lupus_dingo
ENSCAFP00000064267	ENSCAFG00000031848	Canis_lupus_familiaris
ENSVVUP00000031016	ENSVVUG00000022629	Vulpes_vulpes
ENSFCAP00000053710	ENSFCAG00000047334	Felis_catus
ENSEASP00005028793	ENSEASG00005019592	Equus_asinus_asinus
ENSECAP00000036806	ENSECAG00000035747	Equus_caballus
ENSBIXP00000041148	ENSBIXG00000025332	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005007458	ENSBIXG00005012707	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000067029	ENSBTAG00000052570	Bos_taurus
ENSBMUP00000031899	ENSBMUG00000023782	Bos_mutus
ENSOARP00000002281	ENSOARG00000002161	Ovis_aries
ENSCHIP00000005815	ENSCHIG00000009835	Capra_hircus
ENSSSCP00000027946	ENSSSCG00000027790	Sus_scrofa_strain_reference
ENSDNOP00000017898	ENSDNOG00000033721	Dasypus_novemcinctus
ENSVURP00010021637	ENSVURG00010016584	Vombatus_ursinus
ENSPCIP00000009255	ENSPCIG00000007589	Phascolarctos_cinereus
ENSLACP00000013984	ENSLACG00000012312	Latimeria_chalumnae
ENSSFOP00015005067	ENSSFOG00015003331	Scleropages_formosus
ENSPKIP00000027449	ENSPKIG00000009505	Paramormyrops_kingsleyae
ENSCHAP00000023501	ENSCHAG00000011629	Clupea_harengus
ENSDCDP00000034264	ENSDCDG00000023168	Denticeps_clupeoides
ENSAMXP00000049432	ENSAMXG00000013763	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005048874	ENSAMXG00005022311	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000024518	ENSPNAG00000009091	Pygocentrus_nattereri
ENSIPUP00000008151	ENSIPUG00000005622	Ictalurus_punctatus
ENSEEEP00000026058	ENSEEEG00000012620	Electrophorus_electricus
ENSDARP00000156303	ENSDARG00000086712	Danio_rerio
ENSHHUP00000058791	ENSHHUG00000034973	Hucho_hucho
