ENSMUSP00000071782	ENSMUSG00000064137	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000071885
MGP_SPRETEiJ_P0094991	MGP_SPRETEiJ_G0034165	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0094991
MGP_PahariEiJ_P0088879	MGP_PahariEiJ_G0031552	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0088879
ENSCGRP00001020696	ENSCGRG00001019766	Cricetulus_griseus_CHOK1GS_HDv1
ENSTBEP00000010394	ENSTBEG00000011980	Tupaia_belangeri
ENSOGAP00000019306	ENSOGAG00000030942	Otolemur_garnettii
ENSOGAP00000016004	ENSOGAG00000030871	Otolemur_garnettii
ENSFCAP00000060345	ENSFCAG00000049865	Felis_catus
ENSFCAP00000061439	ENSFCAG00000053584	Felis_catus
ENSCAFP00000040136	ENSCAFG00000031349	Canis_lupus_familiaris
ENSCAFP00000042688	ENSCAFG00000030907	Canis_lupus_familiaris
ENSCAFP00020004869	ENSCAFG00020003986	Canis_lupus_dingo
ENSCAFP00020004856	ENSCAFG00020003981	Canis_lupus_dingo
ENSECAP00000028091	ENSECAG00000028584	Equus_caballus
ENSECAP00000027842	ENSECAG00000039402	Equus_caballus
ENSEASP00005010876	ENSEASG00005007672	Equus_asinus_asinus
ENSSSCP00000067863	ENSSSCG00000046188	Sus_scrofa_strain_reference
ENSSSCP00000073586	ENSSSCG00000042084	Sus_scrofa_strain_reference
ENSTTRP00000006264	ENSTTRG00000006609	Tursiops_truncatus
ENSTTRP00000010867	ENSTTRG00000011466	Tursiops_truncatus
ENSSSCP00000063187	ENSSSCG00000041028	Sus_scrofa_strain_reference
ENSOARP00000012799	ENSOARG00000011937	Ovis_aries
ENSPVAP00000008882	ENSPVAG00000009422	Pteropus_vampyrus
ENSCAFP00020004865	ENSCAFG00020003984	Canis_lupus_dingo
ENSCAFP00000027252	ENSCAFG00000018454	Canis_lupus_familiaris
ENSVVUP00000015918	ENSVVUG00000011704	Vulpes_vulpes
ENSAMEP00000000196	ENSAMEG00000000182	Ailuropoda_melanoleuca
ENSFCAP00000052790	ENSFCAG00000049711	Felis_catus
ENSMLUP00000006997	ENSMLUG00000007665	Myotis_lucifugus
ENSMFAP00000001172	ENSMFAG00000037491	Macaca_fascicularis
ENSMMUP00000067345	ENSMMUG00000063924	Macaca_mulatta
ENSMNEP00000045521	ENSMNEG00000045268	Macaca_nemestrina
ENSTGEP00000025055	ENSTGEG00000020214	Theropithecus_gelada
ENSPANP00000000257	ENSPANG00000002928	Papio_anubis
ENSMLEP00000028421	ENSMLEG00000038427	Mandrillus_leucophaeus
ENSCATP00000034702	ENSCATG00000040256	Cercocebus_atys
ENSCSAP00000014352	ENSCSAG00000018344	Chlorocebus_sabaeus
ENSRBIP00000023983	ENSRBIG00000035901	Rhinopithecus_bieti
ENSRROP00000022551	ENSRROG00000035142	Rhinopithecus_roxellana
ENSCANP00000037838	ENSCANG00000042601	Colobus_angolensis_palliatus
ENSPTEP00000025349	ENSPTEG00000025667	Piliocolobus_tephrosceles
ENSPTRP00000065994	ENSPTRG00000044671	Pan_troglodytes
ENSPTRP00000065187	ENSPTRG00000045399	Pan_troglodytes
ENSPPAP00000008306	ENSPPAG00000027393	Pan_paniscus
ENSP00000217999	ENSG00000101883	Homo_sapiens
ENSGGOP00000015714	ENSGGOG00000016112	Gorilla_gorilla
ENSPPYP00000023147	ENSPPYG00000020680	Pongo_abelii
ENSCJAP00000045428	ENSCJAG00000004938	Callithrix_jacchus
ENSSBOP00000038512	ENSSBOG00000035324	Saimiri_boliviensis_boliviensis
ENSANAP00000040656	ENSANAG00000037677	Aotus_nancymaae
ENSTBEP00000002350	ENSTBEG00000002729	Tupaia_belangeri
ENSMSIP00000001242	ENSMSIG00000001218	Mus_spicilegus
MGP_SPRETEiJ_P0095001	MGP_SPRETEiJ_G0034171	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000117271	ENSMUSG00000050197	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0091245	MGP_CAROLIEiJ_G0033012	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088890	MGP_PahariEiJ_G0031558	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000035168	ENSRNOG00000028050	Rattus_norvegicus
ENSMUGP00000002146	ENSMUGG00000002017	Meriones_unguiculatus
