ENSPTRP00000092390	ENSPTRG00000021052	Pan_troglodytes
ENSCAFP00000002105	ENSCAFG00000001453	Canis_lupus_familiaris
ENSCGOP00000017089	ENSCGOG00000008186	Cottoperca_gobio
ENSEBUP00000020368	ENSEBUG00000012629	Eptatretus_burgeri
ENSGWIP00000023903	ENSGWIG00000012729	Gouania_willdenowi
ENSFDAP00000004139	ENSFDAG00000013428	Fukomys_damarensis
ENSODEP00000003380	ENSODEG00000002594	Octodon_degus
ENSLBEP00000004390	ENSLBEG00000003369	Labrus_bergylta
ENSACIP00000007085	ENSACIG00000005549	Amphilophus_citrinellus
ENSTGEP00000035483	ENSTGEG00000028240	Theropithecus_gelada
ENSMUGP00000031604	ENSMUGG00000026301	Meriones_unguiculatus
ENSPMJP00000000075	ENSPMJG00000000105	Parus_major
ENSSBOP00000025668	ENSSBOG00000029298	Saimiri_boliviensis_boliviensis
ENSPTIP00000004143	ENSPTIG00000006676	Panthera_tigris_altaica
ENSUMAP00000005932	ENSUMAG00000004670	Ursus_maritimus
ENSSDUP00000030864	ENSSDUG00000022228	Seriola_dumerili
ENSNMEP00000020257	ENSNMEG00000017390	Numida_meleagris
ENSCPRP00005009504	ENSCPRG00005006676	Crocodylus_porosus
ENSPSMP00000028543	ENSPSMG00000019852	Prolemur_simus
ENSLOCP00000002447	ENSLOCG00000002094	Lepisosteus_oculatus
ENSGGOP00000006515	ENSGGOG00000006651	Gorilla_gorilla
ENSNGAP00000013263	ENSNGAG00000014878	Nannospalax_galili
ENSDARP00000102663	ENSDARG00000076250	Danio_rerio
ENSTGUP00000003320	ENSTGUG00000003216	Taeniopygia_guttata
ENSHGLP00000000426	ENSHGLG00000000399	Heterocephalus_glaber_HetGla_female_1.0
ENSFALP00000003760	ENSFALG00000003611	Ficedula_albicollis
ENSSPUP00000003809	ENSSPUG00000002899	Sphenodon_punctatus
ENSSTOP00000003895	ENSSTOG00000004311	Ictidomys_tridecemlineatus
ENSPTEP00000004497	ENSPTEG00000005252	Piliocolobus_tephrosceles
ENSPNAP00000010784	ENSPNAG00000016447	Pygocentrus_nattereri
ENSCHOP00000001612	ENSCHOG00000001831	Choloepus_hoffmanni
ENSP00000365630	ENSG00000165105	Homo_sapiens
ENSCHAP00000022269	ENSCHAG00000011080	Clupea_harengus
ENSBIXP00005019929	ENSBIXG00005005454	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCAPP00000009015	ENSCAPG00000010585	Cavia_aperea
ENSMOCP00000001257	ENSMOCG00000000943	Microtus_ochrogaster
ENSPMEP00000024349	ENSPMEG00000006546	Poecilia_mexicana
ENSPVAP00000003481	ENSPVAG00000003682	Pteropus_vampyrus
ENSGACP00000009985	ENSGACG00000007528	Gasterosteus_aculeatus
ENSSHAP00000000771	ENSSHAG00000000688	Sarcophilus_harrisii
ENSHHUP00000005642	ENSHHUG00000003490	Hucho_hucho
ENSDNVP00000014558	ENSDNVG00000010253	Dromaius_novaehollandiae
ENSDCDP00000012657	ENSDCDG00000007767	Denticeps_clupeoides
ENSRBIP00000031351	ENSRBIG00000039516	Rhinopithecus_bieti
ENSPFOP00000019063	ENSPFOG00000018924	Poecilia_formosa
ENSAOCP00000007560	ENSAOCG00000011464	Amphiprion_ocellaris
ENSVVUP00000041808	ENSVVUG00000029736	Vulpes_vulpes
ENSAMXP00005042525	ENSAMXG00005019853	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSBBBP00000019062	ENSBBBG00000002310	Bison_bison_bison
ENSTNIP00000008752	ENSTNIG00000006010	Tetraodon_nigroviridis
ENSBIXP00000003736	ENSBIXG00000010121	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCLAP00000006557	ENSCLAG00000004622	Chinchilla_lanigera
ENSMLUP00000011930	ENSMLUG00000013108	Myotis_lucifugus
ENSCGRP00015016071	ENSCGRG00015012345	Cricetulus_griseus_CriGri-PICR
ENSCMIP00000032997	ENSCMIG00000014111	Callorhinchus_milii
ENSEASP00005023500	ENSEASG00005015967	Equus_asinus_asinus
ENSPPYP00000021646	ENSPPYG00000019320	Pongo_abelii
ENSMUNP00000016255	ENSMUNG00000012508	Melopsittacus_undulatus
