ENSANAP00000013554	ENSANAG00000024676	Aotus_nancymaae
ENSTSYP00000008619	ENSTSYG00000009403	Carlito_syrichta
ENSOGAP00000016745	ENSOGAG00000028018	Otolemur_garnettii
ENSAMEP00000006561	ENSAMEG00000006232	Ailuropoda_melanoleuca
ENSRBIP00000043530	ENSRBIG00000044920	Rhinopithecus_bieti
ENSTTRP00000005479	ENSTTRG00000005787	Tursiops_truncatus
ENSPEMP00000025694	ENSPEMG00000022041	Peromyscus_maniculatus_bairdii
ENSBMUP00000035582	ENSBMUG00000026432	Bos_mutus
ENSBBBP00000018461	ENSBBBG00000002018	Bison_bison_bison
ENSMAUP00000009669	ENSMAUG00000010767	Mesocricetus_auratus
ENSMFAP00000037148	ENSMFAG00000037832	Macaca_fascicularis
ENSPCOP00000014082	ENSPCOG00000018712	Propithecus_coquereli
ENSBIXP00005013489	ENSBIXG00005017592	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000015598	ENSBIXG00000003632	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000015456	ENSBTAG00000011638	Bos_taurus
ENSVVUP00000006151	ENSVVUG00000004789	Vulpes_vulpes
ENSPCAP00000006238	ENSPCAG00000006726	Procavia_capensis
ENSPPAP00000002445	ENSPPAG00000010874	Pan_paniscus
ENSPPYP00000023877	ENSPPYG00000029768	Pongo_abelii
ENSOPRP00000007351	ENSOPRG00000008037	Ochotona_princeps
ENSCGRP00015006225	ENSCGRG00015004832	Cricetulus_griseus_CriGri-PICR
ENSNVIP00000015105	ENSNVIG00000011834	Neovison_vison
ENSUAMP00000032442	ENSUAMG00000024789	Ursus_americanus
ENSFCAP00000018719	ENSFCAG00000024683	Felis_catus
ENSVURP00010006366	ENSVURG00010004942	Vombatus_ursinus
ENSPCIP00000025816	ENSPCIG00000019365	Phascolarctos_cinereus
ENSMODP00000024206	ENSMODG00000019406	Monodelphis_domestica
ENSOANP00000004877	ENSOANG00000003083	Ornithorhynchus_anatinus
ENSPPRP00000018093	ENSPPRG00000009850	Panthera_pardus
ENSPPRP00000018013	ENSPPRG00000009795	Panthera_pardus
ENSPTIP00000001347	ENSPTIG00000003454	Panthera_tigris_altaica
ENSMLUP00000019483	ENSMLUG00000029280	Myotis_lucifugus
ENSOARP00000003212	ENSOARG00000003019	Ovis_aries
ENSTSYP00000030617	ENSTSYG00000036669	Carlito_syrichta
ENSTBEP00000000434	ENSTBEG00000000494	Tupaia_belangeri
ENSNGAP00000007158	ENSNGAG00000010491	Nannospalax_galili
ENSPTRP00000012586	ENSPTRG00000007364	Pan_troglodytes
ENSP00000258884	ENSG00000136379	Homo_sapiens
ENSGGOP00000012629	ENSGGOG00000012949	Gorilla_gorilla
ENSCANP00000021752	ENSCANG00000034316	Colobus_angolensis_palliatus
ENSPTEP00000018695	ENSPTEG00000020096	Piliocolobus_tephrosceles
ENSMLEP00000019684	ENSMLEG00000034046	Mandrillus_leucophaeus
ENSMICP00000009964	ENSMICG00000010941	Microcebus_murinus
ENSSTOP00000016454	ENSSTOG00000022086	Ictidomys_tridecemlineatus
ENSDORP00000015943	ENSDORG00000023287	Dipodomys_ordii
ENSHGLP00100015807	ENSHGLG00100011671	Heterocephalus_glaber_HetGla_1.0
ENSMUSP00000112988	ENSMUSG00000038459	Mus_musculus_strain_reference_(CL57BL6)
ENSMPUP00000015339	ENSMPUG00000015449	Mustela_putorius_furo
ENSUMAP00000014211	ENSUMAG00000010464	Ursus_maritimus
ENSCAFP00000039381	ENSCAFG00000029013	Canis_lupus_familiaris
ENSECAP00000054607	ENSECAG00000034056	Equus_caballus
ENSEASP00005009868	ENSEASG00005007001	Equus_asinus_asinus
ENSBTAP00000044044	ENSBTAG00000032951	Bos_taurus
ENSCHIP00000033512	ENSCHIG00000027051	Capra_hircus
