ENSXMAP00000004345	ENSXMAG00000004318	Xiphophorus_maculatus
ENSXCOP00000027242	ENSXCOG00000020345	Xiphophorus_couchianus
ENSGAFP00000006756	ENSGAFG00000004610	Gambusia_affinis
ENSPREP00000020760	ENSPREG00000014029	Poecilia_reticulata
ENSPLAP00000001648	ENSPLAG00000002774	Poecilia_latipinna
ENSPMEP00000000225	ENSPMEG00000000973	Poecilia_mexicana
ENSPFOP00000018528	ENSPFOG00000018397	Poecilia_formosa
ENSFHEP00000001808	ENSFHEG00000002602	Fundulus_heteroclitus
ENSCVAP00000019171	ENSCVAG00000022508	Cyprinodon_variegatus
ENSKMAP00000018299	ENSKMAG00000013625	Kryptolebias_marmoratus
ENSBSLP00000017420	ENSBSLG00000008990	Betta_splendens
ENSMAMP00000012961	ENSMAMG00000008802	Mastacembelus_armatus	ENSMAMT00000013314
ENSMALP00000009401	ENSMALG00000006636	Monopterus_albus	ENSMALT00000009596
ENSORLP00015031218	ENSORLG00015000692	Oryzias_latipes_ASM223469v1
ENSORLP00020022175	ENSORLG00020002337	Oryzias_latipes_ASM223471v1
ENSORLP00000011924	ENSORLG00000009509	Oryzias_latipes_ASM223467v1
ENSOMEP00000026001	ENSOMEG00000007574	Oryzias_melastigma
ENSPMGP00000029025	ENSPMGG00000023362	Periophthalmus_magnuspinnatus
ENSHCOP00000022818	ENSHCOG00000010902	Hippocampus_comes
ENSMMOP00000010934	ENSMMOG00000008349	Mola_mola
ENSTRUP00000035619	ENSTRUG00000013927	Takifugu_rubripes
ENSLCRP00005008727	ENSLCRG00005004155	Larimichthys_crocea
ENSCGOP00000048029	ENSCGOG00000021493	Cottoperca_gobio
ENSLBEP00000029368	ENSLBEG00000022236	Labrus_bergylta
ENSAOCP00000005102	ENSAOCG00000008557	Amphiprion_ocellaris
ENSAPEP00000018735	ENSAPEG00000013342	Amphiprion_percula
ENSAPOP00000028046	ENSAPOG00000013010	Acanthochromis_polyacanthus
ENSSPAP00000019436	ENSSPAG00000014594	Stegastes_partitus
ENSPRNP00000036747	ENSPRNG00000018252	Parambassis_ranga
ENSACLP00000036225	ENSACLG00000024549	Astatotilapia_calliptera
ENSMZEP00005026652	ENSMZEG00005019877	Maylandia_zebra
ENSHBUP00000026418	ENSHBUG00000009072	Haplochromis_burtoni
ENSONIP00000018835	ENSONIG00000014961	Oreochromis_niloticus
ENSPNYP00000009785	ENSPNYG00000007345	Pundamilia_nyererei
ENSNBRP00000029840	ENSNBRG00000022679	Neolamprologus_brichardi
ENSACIP00000029706	ENSACIG00000022992	Amphilophus_citrinellus
ENSGACP00000016782	ENSGACG00000012696	Gasterosteus_aculeatus
ENSGWIP00000034079	ENSGWIG00000017612	Gouania_willdenowi
ENSATEP00000003324	ENSATEG00000002366	Anabas_testudineus	ENSATET00000003354
ENSLCAP00010024137	ENSLCAG00010011288	Lates_calcarifer
ENSSMAP00000005883	ENSSMAG00000003638	Scophthalmus_maximus
ENSSLDP00000025454	ENSSLDG00000019800	Seriola_lalandi_dorsalis
ENSSDUP00000018973	ENSSDUG00000013841	Seriola_dumerili
ENSGMOP00000020841	ENSGMOG00000019371	Gadus_morhua
ENSHHUP00000058695	ENSHHUG00000034906	Hucho_hucho
ENSHHUP00000083083	ENSHHUG00000048195	Hucho_hucho
ENSELUP00000039985	ENSELUG00000020316	Esox_lucius
ENSDCDP00000052799	ENSDCDG00000031511	Denticeps_clupeoides
ENSCHAP00000028648	ENSCHAG00000013749	Clupea_harengus
ENSAMXP00000000901	ENSAMXG00000000874	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005022593	ENSAMXG00005011612	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000033507	ENSPNAG00000022177	Pygocentrus_nattereri
ENSIPUP00000009986	ENSIPUG00000006750	Ictalurus_punctatus
ENSEEEP00000021306	ENSEEEG00000010379	Electrophorus_electricus
ENSDARP00000053124	ENSDARG00000036571	Danio_rerio
ENSSFOP00015001180	ENSSFOG00015000800	Scleropages_formosus
ENSSFOP00015035353	ENSSFOG00015022486	Scleropages_formosus
ENSPKIP00000008261	ENSPKIG00000023830	Paramormyrops_kingsleyae
ENSLOCP00000020247	ENSLOCG00000016395	Lepisosteus_oculatus
ENSECRP00000022056	ENSECRG00000014917	Erpetoichthys_calabaricus
ENSVURP00010017836	ENSVURG00010013633	Vombatus_ursinus
ENSPCIP00000033587	ENSPCIG00000024900	Phascolarctos_cinereus
ENSMEUP00000002532	ENSMEUG00000002769	Notamacropus_eugenii
ENSSHAP00000001578	ENSSHAG00000001404	Sarcophilus_harrisii
ENSMODP00000021197	ENSMODG00000016990	Monodelphis_domestica
ENSCCNP00000025807	ENSCCNG00000025129	Castor_canadensis
ENSDORP00000016754	ENSDORG00000002436	Dipodomys_ordii
MGP_SPRETEiJ_P0069329	MGP_SPRETEiJ_G0027964	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000001492	ENSMSIG00000001446	Mus_spicilegus
ENSMUSP00000073612	ENSMUSG00000063531	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0066718	MGP_CAROLIEiJ_G0026969	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048159	MGP_PahariEiJ_G0021741	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008936	ENSRNOG00000006631	Rattus_norvegicus
ENSMUGP00000018799	ENSMUGG00000015851	Meriones_unguiculatus
ENSPEMP00000022727	ENSPEMG00000020006	Peromyscus_maniculatus_bairdii
ENSMOCP00000021303	ENSMOCG00000018698	Microtus_ochrogaster
ENSCGRP00001010795	ENSCGRG00001012602	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015020848	ENSCGRG00015015902	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000003378	ENSCGRG00000002486	Cricetulus_griseus_CriGri_1.0
ENSNGAP00000000068	ENSNGAG00000000058	Nannospalax_galili
ENSJJAP00000012149	ENSJJAG00000015257	Jaculus_jaculus
ENSSTOP00000009258	ENSSTOG00000010315	Ictidomys_tridecemlineatus
ENSSDAP00000012454	ENSSDAG00000011193	Spermophilus_dauricus
ENSUPAP00010008993	ENSUPAG00010007251	Urocitellus_parryii
ENSMMMP00000001515	ENSMMMG00000001365	Marmota_marmota_marmota
ENSTBEP00000012682	ENSTBEG00000014594	Tupaia_belangeri
ENSPTRP00000066045	ENSPTRG00000019353	Pan_troglodytes
ENSPPAP00000011611	ENSPPAG00000029005	Pan_paniscus
ENSP00000496491	ENSG00000170381	Homo_sapiens
ENSGGOP00000030906	ENSGGOG00000025533	Gorilla_gorilla
ENSPPYP00000020010	ENSPPYG00000017856	Pongo_abelii
ENSNLEP00000027699	ENSNLEG00000014841	Nomascus_leucogenys
ENSCANP00000015246	ENSCANG00000031066	Colobus_angolensis_palliatus
ENSPTEP00000024762	ENSPTEG00000025177	Piliocolobus_tephrosceles
ENSRROP00000024271	ENSRROG00000035947	Rhinopithecus_roxellana
ENSRBIP00000022323	ENSRBIG00000035111	Rhinopithecus_bieti
ENSPANP00000039198	ENSPANG00000014231	Papio_anubis
ENSTGEP00000008035	ENSTGEG00000006554	Theropithecus_gelada
ENSCATP00000033035	ENSCATG00000039531	Cercocebus_atys
ENSMMUP00000049158	ENSMMUG00000001979	Macaca_mulatta
ENSMNEP00000043796	ENSMNEG00000044518	Macaca_nemestrina
ENSMFAP00000019869	ENSMFAG00000032909	Macaca_fascicularis
ENSMLEP00000034290	ENSMLEG00000041316	Mandrillus_leucophaeus
ENSCSAP00000008404	ENSCSAG00000012219	Chlorocebus_sabaeus
ENSCCAP00000021486	ENSCCAG00000028569	Cebus_capucinus_imitator
ENSCJAP00000006309	ENSCJAG00000003462	Callithrix_jacchus
ENSSBOP00000000110	ENSSBOG00000000413	Saimiri_boliviensis_boliviensis
ENSANAP00000023112	ENSANAG00000029297	Aotus_nancymaae
ENSTSYP00000008297	ENSTSYG00000009042	Carlito_syrichta
ENSMICP00000044370	ENSMICG00000027369	Microcebus_murinus
ENSPSMP00000027885	ENSPSMG00000019438	Prolemur_simus
ENSPCOP00000010141	ENSPCOG00000016513	Propithecus_coquereli
ENSOGAP00000008239	ENSOGAG00000009187	Otolemur_garnettii
ENSUAMP00000006523	ENSUAMG00000005711	Ursus_americanus
ENSUMAP00000022875	ENSUMAG00000016677	Ursus_maritimus
ENSAMEP00000017679	ENSAMEG00000016719	Ailuropoda_melanoleuca
ENSMPUP00000018181	ENSMPUG00000018299	Mustela_putorius_furo
ENSNVIP00000002288	ENSNVIG00000001734	Neovison_vison
ENSCAFP00020025973	ENSCAFG00020020388	Canis_lupus_dingo
ENSCAFP00000053812	ENSCAFG00000006247	Canis_lupus_familiaris
ENSVVUP00000033825	ENSVVUG00000024430	Vulpes_vulpes
ENSPTIP00000003467	ENSPTIG00000006202	Panthera_tigris_altaica
ENSPPRP00000013966	ENSPPRG00000007025	Panthera_pardus
ENSFCAP00000017430	ENSFCAG00000031520	Felis_catus
ENSECAP00000005425	ENSECAG00000007183	Equus_caballus
ENSEASP00005004585	ENSEASG00005003478	Equus_asinus_asinus
ENSPVAP00000010984	ENSPVAG00000011650	Pteropus_vampyrus
ENSMLUP00000005262	ENSMLUG00000005753	Myotis_lucifugus
ENSBIXP00000043268	ENSBIXG00000027359	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040034	ENSBIXG00005022548	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000024250	ENSBMUG00000018208	Bos_mutus
ENSBTAP00000019866	ENSBTAG00000014920	Bos_taurus
ENSBBBP00000002202	ENSBBBG00000011353	Bison_bison_bison
ENSCHIP00000021709	ENSCHIG00000019936	Capra_hircus
ENSOARP00000016521	ENSOARG00000015397	Ovis_aries
ENSTTRP00000004910	ENSTTRG00000005209	Tursiops_truncatus
ENSSSCP00000016326	ENSSSCG00000015399	Sus_scrofa_strain_reference
ENSVPAP00000003693	ENSVPAG00000003976	Vicugna_pacos
ENSSARP00000011612	ENSSARG00000012860	Sorex_araneus
ENSEEUP00000003812	ENSEEUG00000004171	Erinaceus_europaeus
ENSLAFP00000008152	ENSLAFG00000009722	Loxodonta_africana
ENSPCAP00000010771	ENSPCAG00000011506	Procavia_capensis
ENSHGLP00100013285	ENSHGLG00100009837	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000021339	ENSHGLG00000015250	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000004080	ENSFDAG00000006309	Fukomys_damarensis
ENSCLAP00000009238	ENSCLAG00000006430	Chinchilla_lanigera
ENSODEP00000009640	ENSODEG00000007213	Octodon_degus
ENSCPOP00000010615	ENSCPOG00000011802	Cavia_porcellus
ENSCAPP00000012403	ENSCAPG00000013268	Cavia_aperea
ENSOPRP00000015277	ENSOPRG00000016724	Ochotona_princeps
ENSETEP00000007590	ENSETEG00000009337	Echinops_telfairi
ENSCHOP00000012116	ENSCHOG00000013685	Choloepus_hoffmanni
ENSDNOP00000020918	ENSDNOG00000031661	Dasypus_novemcinctus
ENSOANP00000020629	ENSOANG00000013049	Ornithorhynchus_anatinus
ENSPVIP00000005347	ENSPVIG00000004342	Pogona_vitticeps
ENSACAP00000015935	ENSACAG00000016165	Anolis_carolinensis
ENSNSUP00000005126	ENSNSUG00000004091	Notechis_scutatus
ENSSMRP00000011960	ENSSMRG00000009370	Salvator_merianae
ENSSPUP00000006926	ENSSPUG00000005333	Sphenodon_punctatus
ENSAOWP00000019347	ENSAOWG00000013139	Apteryx_owenii
ENSAHAP00000021848	ENSAHAG00000015350	Apteryx_haastii
ENSARWP00000000221	ENSARWG00000000215	Apteryx_rowi
ENSDNVP00000017097	ENSDNVG00000011955	Dromaius_novaehollandiae
ENSNPEP00000021195	ENSNPEG00000015720	Nothoprocta_perdicaria
ENSZALP00000011963	ENSZALG00000010081	Zonotrichia_albicollis
ENSJHYP00000003857	ENSJHYG00000003171	Junco_hyemalis
ENSSCAP00000011853	ENSSCAG00000008860	Serinus_canaria
ENSLSDP00000008601	ENSLSDG00000006408	Lonchura_striata_domestica
ENSTGUP00000002582	ENSTGUG00000002487	Taeniopygia_guttata
ENSFALP00000011083	ENSFALG00000010590	Ficedula_albicollis
ENSCCEP00000011535	ENSCCEG00000011258	Cyanistes_caeruleus
ENSPMJP00000002722	ENSPMJG00000002363	Parus_major
ENSLCOP00000013436	ENSLCOG00000009616	Lepidothrix_coronata
ENSMVIP00005010958	ENSMVIG00005008010	Manacus_vitellinus
ENSMUNP00000021012	ENSMUNG00000015925	Melopsittacus_undulatus
ENSCPGP00000025898	ENSCPGG00000017864	Calidris_pygmaea
ENSCPUP00000021990	ENSCPUG00000014942	Calidris_pugnax
ENSGALP00000051150	ENSGALG00000038225	Gallus_gallus
ENSCJPP00005005148	ENSCJPG00005004978	Coturnix_japonica
ENSMGAP00000005371	ENSMGAG00000005350	Meleagris_gallopavo
ENSNMEP00000002877	ENSNMEG00000003486	Numida_meleagris
ENSABRP00000016082	ENSABRG00000014110	Anser_brachyrhynchus
ENSAPLP00000020418	ENSAPLG00000013554	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005021727	ENSCPRG00005015034	Crocodylus_porosus
ENSGAGP00000016010	ENSGAGG00000011815	Gopherus_agassizii
ENSCABP00000020217	ENSCABG00000014915	Chelonoidis_abingdonii
ENSCPBP00000035252	ENSCPBG00000024546	Chrysemys_picta_bellii
ENSPSIP00000019673	ENSPSIG00000017343	Pelodiscus_sinensis
ENSXETP00000011406	ENSXETG00000013547	Xenopus_tropicalis
ENSLACP00000017973	ENSLACG00000015836	Latimeria_chalumnae
ENSTNIP00000022396	ENSTNIG00000019199	Tetraodon_nigroviridis
ENSPMAP00000003746	ENSPMAG00000003444	Petromyzon_marinus
