ENSLCAP00010011100	ENSLCAG00010005264	Lates_calcarifer
ENSCCNP00000021741	ENSCCNG00000021450	Castor_canadensis
ENSAMXP00005031663	ENSAMXG00005015498	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000032704	ENSPKIG00000012692	Paramormyrops_kingsleyae
ENSORLP00015009784	ENSORLG00015010583	Oryzias_latipes_ASM223469v1
ENSPMJP00000001683	ENSPMJG00000001380	Parus_major
ENSHHUP00000030697	ENSHHUG00000019547	Hucho_hucho
ENSSHAP00000011522	ENSSHAG00000009903	Sarcophilus_harrisii
ENSGACP00000000682	ENSGACG00000000529	Gasterosteus_aculeatus
ENSEEUP00000007548	ENSEEUG00000008311	Erinaceus_europaeus
ENSVURP00010029578	ENSVURG00010022623	Vombatus_ursinus
ENSSBOP00000008115	ENSSBOG00000020956	Saimiri_boliviensis_boliviensis
ENSPSIP00000005493	ENSPSIG00000005111	Pelodiscus_sinensis
ENSPVIP00000031950	ENSPVIG00000023464	Pogona_vitticeps
ENSAPEP00000024138	ENSAPEG00000017156	Amphiprion_percula
ENSMMOP00000015624	ENSMMOG00000011929	Mola_mola
ENSXMAP00000037656	ENSXMAG00000029366	Xiphophorus_maculatus
ENSAMXP00000018898	ENSAMXG00000018348	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDORP00000019705	ENSDORG00000024675	Dipodomys_ordii
ENSPANP00000043871	ENSPANG00000033502	Papio_anubis
ENSBSLP00000021372	ENSBSLG00000011028	Betta_splendens
ENSELUP00000036566	ENSELUG00000015911	Esox_lucius
ENSMUNP00000007290	ENSMUNG00000005848	Melopsittacus_undulatus
ENSMLEP00000015750	ENSMLEG00000031997	Mandrillus_leucophaeus
ENSMUSP00000061800	ENSMUSG00000001017	Mus_musculus_strain_reference_(CL57BL6)
ENSSHAP00000008528	ENSSHAG00000007385	Sarcophilus_harrisii
ENSCGRP00001004181	ENSCGRG00001005246	Cricetulus_griseus_CHOK1GS_HDv1
ENSHHUP00000079324	ENSHHUG00000046247	Hucho_hucho
ENSMZEP00005023423	ENSMZEG00005017532	Maylandia_zebra
ENSBTAP00000069496	ENSBTAG00000005166	Bos_taurus
ENSEBUP00000000185	ENSEBUG00000000416	Eptatretus_burgeri
