ENSARWP00000019154	ENSARWG00000013137	Apteryx_rowi	ENSARWT00000021752
ENSNPEP00000014351	ENSNPEG00000010747	Nothoprocta_perdicaria	ENSNPET00000014706
ENSCPGP00000025524	ENSCPGG00000017609	Calidris_pygmaea
ENSCPUP00000007599	ENSCPUG00000005486	Calidris_pugnax
ENSCCEP00000024983	ENSCCEG00000022118	Cyanistes_caeruleus
ENSPMJP00000017634	ENSPMJG00000013251	Parus_major
ENSTGUP00000003688	ENSTGUG00000003591	Taeniopygia_guttata
ENSLSDP00000022715	ENSLSDG00000016044	Lonchura_striata_domestica
ENSSCAP00000011022	ENSSCAG00000008313	Serinus_canaria
ENSJHYP00000021192	ENSJHYG00000016036	Junco_hyemalis
ENSFALP00000015569	ENSFALG00000014955	Ficedula_albicollis
ENSNMEP00000016308	ENSNMEG00000014405	Numida_meleagris
ENSOPRP00000014122	ENSOPRG00000015472	Ochotona_princeps
