ENSSDAP00000001700	ENSSDAG00000001674	Spermophilus_dauricus
ENSCAPP00000015322	ENSCAPG00000015475	Cavia_aperea
ENSPTEP00000009170	ENSPTEG00000010392	Piliocolobus_tephrosceles
ENSCSAP00000009645	ENSCSAG00000013485	Chlorocebus_sabaeus
ENSCJAP00000071094	ENSCJAG00000067998	Callithrix_jacchus
ENSHGLP00100007405	ENSHGLG00100005541	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001388	ENSHGLG00000001074	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00000004861	ENSCGRG00000003570	Cricetulus_griseus_CriGri_1.0
ENSSARP00000012932	ENSSARG00000014298	Sorex_araneus
ENSEEUP00000006565	ENSEEUG00000007228	Erinaceus_europaeus
ENSETEP00000002707	ENSETEG00000003306	Echinops_telfairi
ENSPCIP00000031238	ENSPCIG00000023218	Phascolarctos_cinereus
ENSMEUP00000006161	ENSMEUG00000006755	Notamacropus_eugenii
ENSSHAP00000005421	ENSSHAG00000004736	Sarcophilus_harrisii
ENSOANP00000021363	ENSOANG00000013544	Ornithorhynchus_anatinus
ENSABRP00000009276	ENSABRG00000008298	Anser_brachyrhynchus
ENSMGAP00000010419	ENSMGAG00000010069	Meleagris_gallopavo
ENSMUNP00000006400	ENSMUNG00000005161	Melopsittacus_undulatus
ENSAHAP00000028043	ENSAHAG00000019486	Apteryx_haastii
ENSSCAP00000014284	ENSSCAG00000010505	Serinus_canaria
ENSZALP00000000067	ENSZALG00000000086	Zonotrichia_albicollis
ENSCCEP00000006666	ENSCCEG00000007114	Cyanistes_caeruleus
ENSCPRP00005001140	ENSCPRG00005000881	Crocodylus_porosus
ENSNSUP00000018905	ENSNSUG00000013799	Notechis_scutatus
ENSPVIP00000009226	ENSPVIG00000007355	Pogona_vitticeps
ENSSMRP00000028033	ENSSMRG00000021562	Salvator_merianae
ENSSPUP00000017016	ENSSPUG00000013166	Sphenodon_punctatus
ENSHCOP00000007585	ENSHCOG00000009649	Hippocampus_comes
ENSPMGP00000006682	ENSPMGG00000005593	Periophthalmus_magnuspinnatus
ENSLCRP00005001883	ENSLCRG00005000958	Larimichthys_crocea
ENSLBEP00000004842	ENSLBEG00000003741	Labrus_bergylta
ENSCGOP00000035672	ENSCGOG00000016521	Cottoperca_gobio
ENSGACP00000010648	ENSGACG00000008044	Gasterosteus_aculeatus
ENSTNIP00000005228	ENSTNIG00000002674	Tetraodon_nigroviridis
ENSTRUP00000056481	ENSTRUG00000020443	Takifugu_rubripes
ENSMMOP00000024220	ENSMMOG00000018426	Mola_mola
ENSLCAP00010049278	ENSLCAG00010022914	Lates_calcarifer
ENSSMAP00000029942	ENSSMAG00000018363	Scophthalmus_maximus
ENSSDUP00000029795	ENSSDUG00000021494	Seriola_dumerili
ENSSLDP00000029489	ENSSLDG00000022756	Seriola_lalandi_dorsalis
ENSMAMP00000021606	ENSMAMG00000014520	Mastacembelus_armatus
ENSMALP00000018419	ENSMALG00000012835	Monopterus_albus
ENSATEP00000017767	ENSATEG00000012361	Anabas_testudineus
ENSBSLP00000007427	ENSBSLG00000003635	Betta_splendens
ENSAOCP00000004780	ENSAOCG00000000471	Amphiprion_ocellaris
ENSAPEP00000018117	ENSAPEG00000012951	Amphiprion_percula
ENSAPOP00000028814	ENSAPOG00000014293	Acanthochromis_polyacanthus
ENSSPAP00000005058	ENSSPAG00000003921	Stegastes_partitus
ENSPRNP00000031906	ENSPRNG00000015997	Parambassis_ranga
ENSACLP00000033861	ENSACLG00000022942	Astatotilapia_calliptera
ENSMZEP00005002805	ENSMZEG00005002193	Maylandia_zebra
ENSPNYP00000030607	ENSPNYG00000023067	Pundamilia_nyererei
ENSHBUP00000005019	ENSHBUG00000006349	Haplochromis_burtoni
ENSNBRP00000006087	ENSNBRG00000004803	Neolamprologus_brichardi
ENSONIP00000013317	ENSONIG00000010592	Oreochromis_niloticus
ENSACIP00000023996	ENSACIG00000018638	Amphilophus_citrinellus
ENSORLP00015034745	ENSORLG00015020873	Oryzias_latipes_ASM223469v1
ENSORLP00020004822	ENSORLG00020005615	Oryzias_latipes_ASM223471v1
ENSORLP00000022951	ENSORLG00000018329	Oryzias_latipes_ASM223467v1
ENSOMEP00000019929	ENSOMEG00000021740	Oryzias_melastigma
ENSGWIP00000049566	ENSGWIG00000024177	Gouania_willdenowi
ENSXCOP00000026507	ENSXCOG00000019793	Xiphophorus_couchianus
ENSXMAP00000009598	ENSXMAG00000009578	Xiphophorus_maculatus
ENSGAFP00000005336	ENSGAFG00000003645	Gambusia_affinis
ENSPFOP00000000207	ENSPFOG00000000221	Poecilia_formosa
ENSPMEP00000021607	ENSPMEG00000001930	Poecilia_mexicana
ENSPLAP00000021706	ENSPLAG00000005665	Poecilia_latipinna
ENSPREP00000009147	ENSPREG00000006245	Poecilia_reticulata
ENSFHEP00000031490	ENSFHEG00000017423	Fundulus_heteroclitus
ENSCVAP00000022001	ENSCVAG00000004389	Cyprinodon_variegatus
ENSKMAP00000012941	ENSKMAG00000009712	Kryptolebias_marmoratus
ENSCSEP00000033960	ENSCSEG00000021781	Cynoglossus_semilaevis
ENSGMOP00000014307	ENSGMOG00000013384	Gadus_morhua
ENSHHUP00000077393	ENSHHUG00000045220	Hucho_hucho
ENSHHUP00000064049	ENSHHUG00000037835	Hucho_hucho
ENSELUP00000026776	ENSELUG00000002780	Esox_lucius
ENSCHAP00000043152	ENSCHAG00000020088	Clupea_harengus
ENSAMXP00000036213	ENSAMXG00000042120	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000039728
ENSAMXP00005002319	ENSAMXG00005001283	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001631	ENSPNAG00000008269	Pygocentrus_nattereri
ENSEEEP00000041017	ENSEEEG00000019423	Electrophorus_electricus
ENSIPUP00000018336	ENSIPUG00000012465	Ictalurus_punctatus
ENSDARP00000085236	ENSDARG00000062636	Danio_rerio
ENSDCDP00000039407	ENSDCDG00000026207	Denticeps_clupeoides
ENSPKIP00000039876	ENSPKIG00000017070	Paramormyrops_kingsleyae
ENSSFOP00015014819	ENSSFOG00015009558	Scleropages_formosus
ENSLOCP00000017194	ENSLOCG00000013948	Lepisosteus_oculatus
ENSECRP00000033194	ENSECRG00000022476	Erpetoichthys_calabaricus
