ENSFALP00000014822	ENSFALG00000014206	Ficedula_albicollis
ENSPMJP00000001055	ENSPMJG00000000873	Parus_major
ENSSCAP00000004164	ENSSCAG00000003433	Serinus_canaria
ENSLSDP00000020727	ENSLSDG00000014680	Lonchura_striata_domestica
ENSZALP00000016754	ENSZALG00000013564	Zonotrichia_albicollis
ENSLCOP00000018262	ENSLCOG00000012907	Lepidothrix_coronata
ENSMVIP00005011684	ENSMVIG00005008553	Manacus_vitellinus
ENSMGAP00000011028	ENSMGAG00000010619	Meleagris_gallopavo
ENSNMEP00000010190	ENSNMEG00000009715	Numida_meleagris
ENSCPGP00000022619	ENSCPGG00000015710	Calidris_pygmaea
ENSCCEP00000002068	ENSCCEG00000002391	Cyanistes_caeruleus
ENSMUNP00000019623	ENSMUNG00000015008	Melopsittacus_undulatus
ENSARWP00000004747	ENSARWG00000003441	Apteryx_rowi
ENSDNVP00000005513	ENSDNVG00000003968	Dromaius_novaehollandiae
ENSNPEP00000012934	ENSNPEG00000009661	Nothoprocta_perdicaria
ENSNSUP00000024515	ENSNSUG00000017709	Notechis_scutatus
ENSSMRP00000007919	ENSSMRG00000006346	Salvator_merianae
ENSOANP00000029961	ENSOANG00000031029	Ornithorhynchus_anatinus
