ENSVURP00010005925	ENSVURG00010004600	Vombatus_ursinus
ENSPCIP00000023880	ENSPCIG00000018062	Phascolarctos_cinereus
ENSSHAP00000010876	ENSSHAG00000009377	Sarcophilus_harrisii
ENSPPRP00000027605	ENSPPRG00000019178	Panthera_pardus
ENSPTIP00000003664	ENSPTIG00000006357	Panthera_tigris_altaica
ENSFCAP00000002446	ENSFCAG00000002661	Felis_catus
ENSECAP00000050175	ENSECAG00000043604	Equus_caballus
ENSSSCP00000015484	ENSSSCG00000014554	Sus_scrofa_strain_reference
ENSSARP00000004402	ENSSARG00000004872	Sorex_araneus
ENSUAMP00000017466	ENSUAMG00000013862	Ursus_americanus
ENSUMAP00000006596	ENSUMAG00000005167	Ursus_maritimus
ENSCAFP00020009302	ENSCAFG00020007523	Canis_lupus_dingo
ENSVVUP00000020477	ENSVVUG00000015081	Vulpes_vulpes
ENSCAFP00000009606	ENSCAFG00000006415	Canis_lupus_familiaris
ENSNVIP00000006186	ENSNVIG00000004940	Neovison_vison
ENSOARP00000009879	ENSOARG00000009206	Ovis_aries
ENSCHIP00000000089	ENSCHIG00000000083	Capra_hircus
ENSBIXP00005045762	ENSBIXG00005029237	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000027828	ENSBIXG00000008799	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000029856	ENSBTAG00000022142	Bos_taurus
ENSBMUP00000029340	ENSBMUG00000021963	Bos_mutus
ENSBBBP00000027694	ENSBBBG00000008698	Bison_bison_bison
ENSPVAP00000016694	ENSPVAG00000017697	Pteropus_vampyrus
ENSPEMP00000014611	ENSPEMG00000014370	Peromyscus_maniculatus_bairdii
ENSMOCP00000007063	ENSMOCG00000006823	Microtus_ochrogaster
ENSCGRP00000007072	ENSCGRG00000005144	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001004195	ENSCGRG00001005276	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015036872	ENSCGRG00015027666	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000023126	ENSMAUG00000020366	Mesocricetus_auratus
ENSMSIP00000009778	ENSMSIG00000008595	Mus_spicilegus
ENSMUSP00000048722	ENSMUSG00000038801	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0086486	MGP_SPRETEiJ_G0031771	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0083068	MGP_CAROLIEiJ_G0030660	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0019843	MGP_PahariEiJ_G0013860	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017137	ENSRNOG00000012847	Rattus_norvegicus
ENSMUGP00000013384	ENSMUGG00000011617	Meriones_unguiculatus
ENSNGAP00000023276	ENSNGAG00000021887	Nannospalax_galili
ENSJJAP00000004035	ENSJJAG00000008191	Jaculus_jaculus
ENSOCUP00000012447	ENSOCUG00000014481	Oryctolagus_cuniculus
