ENSCSEP00000033569	ENSCSEG00000021543	Cynoglossus_semilaevis
ENSCGRP00000022699	ENSCGRG00000016443	Cricetulus_griseus_CriGri_1.0
ENSZALP00000009865	ENSZALG00000008403	Zonotrichia_albicollis	ENSZALT00000013685
ENSSFOP00015019787	ENSSFOG00015012728	Scleropages_formosus
ENSTNIP00000007644	ENSTNIG00000004979	Tetraodon_nigroviridis
ENSCLAP00000020500	ENSCLAG00000014044	Chinchilla_lanigera
ENSPTEP00000016116	ENSPTEG00000017718	Piliocolobus_tephrosceles
ENSCVAP00000027526	ENSCVAG00000013930	Cyprinodon_variegatus
ENSHGLP00100016123	ENSHGLG00100011901	Heterocephalus_glaber_HetGla_1.0
ENSEBUP00000012157	ENSEBUG00000007753	Eptatretus_burgeri
ENSTBEP00000011590	ENSTBEG00000013391	Tupaia_belangeri
ENSMODP00000016242	ENSMODG00000012983	Monodelphis_domestica
ENSLCOP00000020177	ENSLCOG00000014300	Lepidothrix_coronata	ENSLCOT00000021328
ENSCATP00000039056	ENSCATG00000042192	Cercocebus_atys
ENSMZEP00005021495	ENSMZEG00005016145	Maylandia_zebra
ENSNPEP00000006204	ENSNPEG00000004671	Nothoprocta_perdicaria	ENSNPET00000006358
ENSPKIP00000005139	ENSPKIG00000021941	Paramormyrops_kingsleyae
ENSMMMP00000016240	ENSMMMG00000014438	Marmota_marmota_marmota
ENSPFOP00000022859	ENSPFOG00000022214	Poecilia_formosa
ENSXMAP00000029281	ENSXMAG00000022295	Xiphophorus_maculatus
ENSPSMP00000030287	ENSPSMG00000021024	Prolemur_simus
ENSPTRP00000013823	ENSPTRG00000008097	Pan_troglodytes
ENSEEUP00000003273	ENSEEUG00000003613	Erinaceus_europaeus
ENSTSYP00000016217	ENSTSYG00000029824	Carlito_syrichta
ENSCPUP00000019209	ENSCPUG00000013245	Calidris_pugnax
ENSCGRP00015036050	ENSCGRG00015027050	Cricetulus_griseus_CriGri-PICR
ENSXETP00000039844	ENSXETG00000000005	Xenopus_tropicalis
ENSHHUP00000087389	ENSHHUG00000050547	Hucho_hucho
ENSDCDP00000024633	ENSDCDG00000018508	Denticeps_clupeoides
ENSHHUP00000043914	ENSHHUG00000026929	Hucho_hucho
ENSJHYP00000017097	ENSJHYG00000013057	Junco_hyemalis	ENSJHYT00000020620
ENSLCRP00005062454	ENSLCRG00005022936	Larimichthys_crocea
ENSTRUP00000050361	ENSTRUG00000019619	Takifugu_rubripes
ENSNLEP00000000794	ENSNLEG00000000675	Nomascus_leucogenys
ENSELUP00000015219	ENSELUG00000015203	Esox_lucius
ENSPLAP00000027624	ENSPLAG00000016360	Poecilia_latipinna
ENSPMJP00000003024	ENSPMJG00000002660	Parus_major
ENSMEUP00000014001	ENSMEUG00000015342	Notamacropus_eugenii
ENSEASP00005021219	ENSEASG00005014536	Equus_asinus_asinus
ENSMMOP00000003263	ENSMMOG00000002614	Mola_mola
ENSNGAP00000010265	ENSNGAG00000012727	Nannospalax_galili
ENSKMAP00000004890	ENSKMAG00000003727	Kryptolebias_marmoratus
ENSMICP00000016593	ENSMICG00000032478	Microcebus_murinus
ENSGAFP00000022288	ENSGAFG00000015061	Gambusia_affinis
ENSMUGP00000005434	ENSMUGG00000004997	Meriones_unguiculatus
ENSPSIP00000012432	ENSPSIG00000011197	Pelodiscus_sinensis	ENSPSIT00000012493
ENSCGOP00000005142	ENSCGOG00000002630	Cottoperca_gobio
