FBpp0082464	FBgn0028662	Drosophila_melanogaster	FBtr0083005
FBpp0288461	FBgn0262514	Drosophila_melanogaster	FBtr0290022
T01H3.1.2	WBGene00006913	Caenorhabditis_elegans_strain_N2	T01H3.1.2
ENSCPGP00000017024	ENSCPGG00000011938	Calidris_pygmaea
ENSCPUP00000003311	ENSCPUG00000002514	Calidris_pugnax
ENSTGUP00000007770	ENSTGUG00000007525	Taeniopygia_guttata
ENSLSDP00000016909	ENSLSDG00000012157	Lonchura_striata_domestica
ENSFALP00000005547	ENSFALG00000005323	Ficedula_albicollis
ENSPMJP00000026752	ENSPMJG00000019506	Parus_major
ENSJHYP00000006575	ENSJHYG00000005293	Junco_hyemalis
ENSZALP00000008878	ENSZALG00000007688	Zonotrichia_albicollis
ENSSCAP00000000403	ENSSCAG00000000344	Serinus_canaria
ENSLCOP00000001172	ENSLCOG00000000980	Lepidothrix_coronata
ENSMVIP00005017597	ENSMVIG00005012555	Manacus_vitellinus
ENSMUNP00000009548	ENSMUNG00000007540	Melopsittacus_undulatus
ENSMGAP00000010319	ENSMGAG00000009960	Meleagris_gallopavo
ENSCJPP00005011321	ENSCJPG00005009724	Coturnix_japonica
ENSGALP00000062531	ENSGALG00000010091	Gallus_gallus
ENSNMEP00000025098	ENSNMEG00000021282	Numida_meleagris
ENSAHAP00000020739	ENSAHAG00000014572	Apteryx_haastii
ENSAOWP00000014234	ENSAOWG00000009717	Apteryx_owenii
ENSARWP00000001618	ENSARWG00000001303	Apteryx_rowi
ENSDNVP00000003463	ENSDNVG00000002448	Dromaius_novaehollandiae
ENSABRP00000021120	ENSABRG00000017926	Anser_brachyrhynchus
ENSNPEP00000018398	ENSNPEG00000013707	Nothoprocta_perdicaria
ENSCCEP00000017105	ENSCCEG00000015890	Cyanistes_caeruleus
ENSCPBP00000004342	ENSCPBG00000003511	Chrysemys_picta_bellii
ENSCPBP00000033774	ENSCPBG00000023591	Chrysemys_picta_bellii
ENSCABP00000008536	ENSCABG00000006450	Chelonoidis_abingdonii
ENSGAGP00000010197	ENSGAGG00000007992	Gopherus_agassizii
ENSPVIP00000030792	ENSPVIG00000022648	Pogona_vitticeps	ENSPVIT00000037749
ENSACAP00000014113	ENSACAG00000014356	Anolis_carolinensis	ENSACAT00000014403
ENSNSUP00000021364	ENSNSUG00000015512	Notechis_scutatus
ENSSMRP00000023723	ENSSMRG00000018404	Salvator_merianae
ENSSPUP00000004062	ENSSPUG00000003139	Sphenodon_punctatus
ENSVURP00010024856	ENSVURG00010019039	Vombatus_ursinus
ENSMEUP00000012966	ENSMEUG00000014214	Notamacropus_eugenii
ENSPCIP00000020489	ENSPCIG00000015595	Phascolarctos_cinereus
ENSMODP00000046406	ENSMODG00000002974	Monodelphis_domestica
ENSSHAP00000008227	ENSSHAG00000007128	Sarcophilus_harrisii
ENSPPYP00000001666	ENSPPYG00000001438	Pongo_abelii
ENSOGAP00000001052	ENSOGAG00000001176	Otolemur_garnettii
ENSOCUP00000005107	ENSOCUG00000005895	Oryctolagus_cuniculus
ENSOPRP00000012560	ENSOPRG00000013776	Ochotona_princeps
ENSMICP00000010036	ENSMICG00000011028	Microcebus_murinus
ENSTSYP00000019604	ENSTSYG00000029871	Carlito_syrichta
ENSUAMP00000034810	ENSUAMG00000026455	Ursus_americanus
ENSUMAP00000033761	ENSUMAG00000024330	Ursus_maritimus
ENSAMEP00000001158	ENSAMEG00000001086	Ailuropoda_melanoleuca
ENSMPUP00000013492	ENSMPUG00000013595	Mustela_putorius_furo
ENSNVIP00000023244	ENSNVIG00000018098	Neovison_vison
ENSCAFP00000007255	ENSCAFG00000004854	Canis_lupus_familiaris
ENSCAFP00020021946	ENSCAFG00020017331	Canis_lupus_dingo
ENSVVUP00000010834	ENSVVUG00000007995	Vulpes_vulpes
ENSFCAP00000006030	ENSFCAG00000006489	Felis_catus
ENSPPRP00000021289	ENSPPRG00000012150	Panthera_pardus
ENSPTIP00000011423	ENSPTIG00000011845	Panthera_tigris_altaica
ENSSARP00000005613	ENSSARG00000006185	Sorex_araneus
ENSECAP00000021815	ENSECAG00000024290	Equus_caballus
ENSEASP00005002286	ENSEASG00005001762	Equus_asinus_asinus
ENSPVAP00000008955	ENSPVAG00000009506	Pteropus_vampyrus
ENSCHIP00000017454	ENSCHIG00000017292	Capra_hircus
ENSOARP00000000679	ENSOARG00000000665	Ovis_aries
ENSBIXP00005029619	ENSBIXG00005009579	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000041591	ENSBIXG00000025725	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000025144	ENSBTAG00000018889	Bos_taurus
ENSBIXP00000010644	ENSBIXG00000002457	Bos_indicus_x_Bos_taurus_UOA_Angus_1
