ENSSHAP00000019802	ENSSHAG00000016807	Sarcophilus_harrisii
ENSMODP00000046535	ENSMODG00000020235	Monodelphis_domestica
ENSVURP00010023211	ENSVURG00010017779	Vombatus_ursinus
ENSPCIP00000040355	ENSPCIG00000029535	Phascolarctos_cinereus
ENSMEUP00000001464	ENSMEUG00000001582	Notamacropus_eugenii
ENSPVAP00000001043	ENSPVAG00000001105	Pteropus_vampyrus
ENSMLUP00000010492	ENSMLUG00000011486	Myotis_lucifugus
ENSEASP00005028914	ENSEASG00005019674	Equus_asinus_asinus
ENSECAP00000005117	ENSECAG00000005203	Equus_caballus
ENSBIXP00000026114	ENSBIXG00000028215	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044947	ENSBIXG00005028839	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000012583	ENSBTAG00000009565	Bos_taurus
ENSBMUP00000021539	ENSBMUG00000016181	Bos_mutus
ENSBBBP00000018449	ENSBBBG00000009045	Bison_bison_bison
ENSCHIP00000012349	ENSCHIG00000014118	Capra_hircus
ENSOARP00000016968	ENSOARG00000015801	Ovis_aries
ENSTTRP00000014809	ENSTTRG00000015626	Tursiops_truncatus
ENSSSCP00000060406	ENSSSCG00000014146	Sus_scrofa_strain_reference
ENSVPAP00000006231	ENSVPAG00000006707	Vicugna_pacos
ENSUMAP00000006721	ENSUMAG00000004678	Ursus_maritimus
ENSUAMP00000036694	ENSUAMG00000027677	Ursus_americanus
ENSAMEP00000014138	ENSAMEG00000013362	Ailuropoda_melanoleuca
ENSMPUP00000007937	ENSMPUG00000007995	Mustela_putorius_furo
ENSNVIP00000023488	ENSNVIG00000018196	Neovison_vison
ENSCAFP00020005840	ENSCAFG00020003475	Canis_lupus_dingo
ENSCAFP00000050763	ENSCAFG00000008410	Canis_lupus_familiaris
ENSVVUP00000031896	ENSVVUG00000022666	Vulpes_vulpes
ENSPPRP00000027106	ENSPPRG00000018762	Panthera_pardus
ENSPTIP00000000855	ENSPTIG00000001406	Panthera_tigris_altaica
