ENSBIXP00005026453	ENSBIXG00005028804	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000022247	ENSBIXG00000025173	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000006186	ENSBTAG00000004715	Bos_taurus
ENSCHIP00000015575	ENSCHIG00000016168	Capra_hircus
ENSTTRP00000002147	ENSTTRG00000002293	Tursiops_truncatus
ENSEEUP00000003743	ENSEEUG00000004136	Erinaceus_europaeus
ENSNVIP00000017013	ENSNVIG00000013340	Neovison_vison
ENSMPUP00000014333	ENSMPUG00000014440	Mustela_putorius_furo
ENSUAMP00000023192	ENSUAMG00000018191	Ursus_americanus
ENSCAFP00020007605	ENSCAFG00020006133	Canis_lupus_dingo
ENSCAFP00000004752	ENSCAFG00000003186	Canis_lupus_familiaris
ENSCAFP00020031450	ENSCAFG00020024541	Canis_lupus_dingo
ENSCAFP00000055576	ENSCAFG00000031123	Canis_lupus_familiaris
ENSVVUP00000006114	ENSVVUG00000004767	Vulpes_vulpes
ENSPPRP00000027792	ENSPPRG00000019520	Panthera_pardus
ENSFCAP00000050400	ENSFCAG00000030569	Felis_catus
ENSECAP00000038476	ENSECAG00000035155	Equus_caballus
ENSECAP00000010367	ENSECAG00000012589	Equus_caballus
ENSEASP00005019334	ENSEASG00005013289	Equus_asinus_asinus
ENSPVAP00000001881	ENSPVAG00000001991	Pteropus_vampyrus
ENSMLUP00000012215	ENSMLUG00000013427	Myotis_lucifugus
ENSSTOP00000021157	ENSSTOG00000023219	Ictidomys_tridecemlineatus
ENSUPAP00010021143	ENSUPAG00010016799	Urocitellus_parryii
ENSHGLP00000014050	ENSHGLG00000010032	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014542	ENSHGLG00100010758	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100023054	ENSHGLG00100016946	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009441	ENSFDAG00000017449	Fukomys_damarensis
ENSHGLP00000017345	ENSHGLG00000012418	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013883	ENSHGLG00100010272	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013466	ENSHGLG00000009626	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000012198	ENSFDAG00000019582	Fukomys_damarensis
ENSCLAP00000021531	ENSCLAG00000014736	Chinchilla_lanigera
ENSODEP00000008835	ENSODEG00000006600	Octodon_degus
ENSODEP00000020960	ENSODEG00000015444	Octodon_degus
ENSCPOP00000025622	ENSCPOG00000031693	Cavia_porcellus
ENSDORP00000022981	ENSDORG00000025387	Dipodomys_ordii
ENSCCNP00000032824	ENSCCNG00000031125	Castor_canadensis
