ENSGALP00000040104	ENSGALG00000000606	Gallus_gallus
ENSCJPP00005007403	ENSCJPG00005006829	Coturnix_japonica
ENSABRP00000018970	ENSABRG00000016277	Anser_brachyrhynchus
ENSSCAP00000008259	ENSSCAG00000006309	Serinus_canaria
ENSLSDP00000017661	ENSLSDG00000012635	Lonchura_striata_domestica
ENSJHYP00000021026	ENSJHYG00000015888	Junco_hyemalis
ENSZALP00000020324	ENSZALG00000016000	Zonotrichia_albicollis
ENSCPGP00000014232	ENSCPGG00000010080	Calidris_pygmaea
ENSNPEP00000003546	ENSNPEG00000002708	Nothoprocta_perdicaria
ENSCPRP00005008713	ENSCPRG00005006232	Crocodylus_porosus
ENSCPBP00000013594	ENSCPBG00000010155	Chrysemys_picta_bellii
ENSACAP00000004074	ENSACAG00000004202	Anolis_carolinensis
ENSPVIP00000009597	ENSPVIG00000007642	Pogona_vitticeps
ENSNSUP00000003185	ENSNSUG00000002513	Notechis_scutatus
ENSSMRP00000004390	ENSSMRG00000003634	Salvator_merianae
ENSSPUP00000010316	ENSSPUG00000007980	Sphenodon_punctatus
ENSHGLP00000005974	ENSHGLG00000004366	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022674	ENSHGLG00100016670	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000015834	ENSODEG00000011676	Octodon_degus
ENSJJAP00000023296	ENSJJAG00000023105	Jaculus_jaculus
ENSMICP00000035203	ENSMICG00000038748	Microcebus_murinus
ENSBIXP00005037478	ENSBIXG00005019330	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006683	ENSBIXG00000012770	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000068254	ENSBTAG00000006574	Bos_taurus
ENSCHIP00000001636	ENSCHIG00000003028	Capra_hircus
ENSSSCP00000037990	ENSSSCG00000036967	Sus_scrofa_strain_reference
ENSTTRP00000010641	ENSTTRG00000011223	Tursiops_truncatus
ENSECAP00000018735	ENSECAG00000021194	Equus_caballus
ENSPVAP00000014072	ENSPVAG00000014931	Pteropus_vampyrus
ENSLAFP00000012591	ENSLAFG00000015043	Loxodonta_africana
ENSPCAP00000006917	ENSPCAG00000007412	Procavia_capensis
ENSNVIP00000018645	ENSNVIG00000014610	Neovison_vison
ENSAMEP00000012594	ENSAMEG00000011970	Ailuropoda_melanoleuca
ENSCAFP00020020398	ENSCAFG00020016164	Canis_lupus_dingo
ENSPPRP00000009421	ENSPPRG00000003884	Panthera_pardus
ENSFCAP00000051134	ENSFCAG00000018232	Felis_catus
ENSEEUP00000012686	ENSEEUG00000013913	Erinaceus_europaeus
MGP_SPRETEiJ_P0021063	MGP_SPRETEiJ_G0015439	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0021063
ENSMSIP00000019947	ENSMSIG00000016944	Mus_spicilegus
MGP_CAROLIEiJ_P0020013	MGP_CAROLIEiJ_G0014632	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000027684	ENSMUSG00000026426	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0075305	MGP_PahariEiJ_G0027868	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008163	ENSRNOG00000005988	Rattus_norvegicus
ENSMUGP00000009182	ENSMUGG00000008214	Meriones_unguiculatus
ENSCGRP00001022165	ENSCGRG00001020777	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009330	ENSCGRG00000006810	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032910	ENSCGRG00015024813	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004453	ENSMAUG00000005741	Mesocricetus_auratus
ENSPEMP00000007108	ENSPEMG00000009150	Peromyscus_maniculatus_bairdii
ENSMOCP00000011440	ENSMOCG00000011687	Microtus_ochrogaster
ENSNGAP00000005355	ENSNGAG00000007576	Nannospalax_galili
ENSSTOP00000025666	ENSSTOG00000033383	Ictidomys_tridecemlineatus
ENSMMMP00000014313	ENSMMMG00000012740	Marmota_marmota_marmota
ENSSTOP00000012533	ENSSTOG00000013990	Ictidomys_tridecemlineatus
ENSUPAP00010010742	ENSUPAG00010008698	Urocitellus_parryii
ENSSDAP00000005139	ENSSDAG00000004802	Spermophilus_dauricus
ENSOCUP00000016892	ENSOCUG00000023009	Oryctolagus_cuniculus
ENSPTRP00000063980	ENSPTRG00000001846	Pan_troglodytes
ENSPPAP00000016955	ENSPPAG00000031562	Pan_paniscus
ENSP00000272217	ENSG00000143862	Homo_sapiens
ENSGGOP00000023175	ENSGGOG00000027790	Gorilla_gorilla
ENSPPYP00000000394	ENSPPYG00000000352	Pongo_abelii
ENSCATP00000038352	ENSCATG00000041869	Cercocebus_atys
ENSTGEP00000024767	ENSTGEG00000020008	Theropithecus_gelada
ENSMFAP00000009580	ENSMFAG00000000767	Macaca_fascicularis
ENSMNEP00000033080	ENSMNEG00000039827	Macaca_nemestrina
ENSCSAP00000010230	ENSCSAG00000014093	Chlorocebus_sabaeus
ENSPANP00000014992	ENSPANG00000006549	Papio_anubis
ENSRBIP00000042332	ENSRBIG00000044455	Rhinopithecus_bieti
ENSRROP00000031357	ENSRROG00000039378	Rhinopithecus_roxellana
ENSCCAP00000001110	ENSCCAG00000007022	Cebus_capucinus_imitator
ENSCJAP00000010794	ENSCJAG00000005865	Callithrix_jacchus
ENSANAP00000026118	ENSANAG00000030745	Aotus_nancymaae
ENSTSYP00000023573	ENSTSYG00000031729	Carlito_syrichta
