ENSMUGP00000020565	ENSMUGG00000017313	Meriones_unguiculatus
ENSMZEP00005015950	ENSMZEG00005011973	Maylandia_zebra
ENSCMIP00000012868	ENSCMIG00000006518	Callorhinchus_milii
ENSORLP00020027103	ENSORLG00020009923	Oryzias_latipes_ASM223471v1
ENSAMXP00000014724	ENSAMXG00000014312	Astyanax_mexicanus_Astyanax_mexicanus-2.0
MGP_SPRETEiJ_P0037315	MGP_SPRETEiJ_G0019834	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0037315
ENSSHAP00000014316	ENSSHAG00000012231	Sarcophilus_harrisii
ENSOANP00000033034	ENSOANG00000031828	Ornithorhynchus_anatinus	ENSOANT00000042280
ENSVVUP00000020013	ENSVVUG00000014784	Vulpes_vulpes
ENSDCDP00000022651	ENSDCDG00000017336	Denticeps_clupeoides
ENSPKIP00000007454	ENSPKIG00000023335	Paramormyrops_kingsleyae
ENSONIP00000025657	ENSONIG00000020360	Oreochromis_niloticus
ENSAOCP00000003598	ENSAOCG00000006903	Amphiprion_ocellaris
ENSTGEP00000033260	ENSTGEG00000026563	Theropithecus_gelada
ENSSBOP00000001687	ENSSBOG00000008269	Saimiri_boliviensis_boliviensis
ENSUPAP00010001445	ENSUPAG00010001242	Urocitellus_parryii
ENSPREP00000027722	ENSPREG00000018749	Poecilia_reticulata
ENSJHYP00000016997	ENSJHYG00000012986	Junco_hyemalis
ENSODEP00000000466	ENSODEG00000000403	Octodon_degus
ENSAPLP00000002872	ENSAPLG00000003397	Anas_platyrhynchos_platyrhynchos
ENSPANP00000026371	ENSPANG00000008978	Papio_anubis
ENSCGOP00000001582	ENSCGOG00000000923	Cottoperca_gobio
ENSDARP00000097837	ENSDARG00000074804	Danio_rerio
ENSTGUP00000016928	ENSTGUG00000016634	Taeniopygia_guttata
ENSAHAP00000024997	ENSAHAG00000017433	Apteryx_haastii
ENSMOCP00000021324	ENSMOCG00000018713	Microtus_ochrogaster
ENSELUP00000030584	ENSELUG00000007854	Esox_lucius
ENSOANP00000029974	ENSOANG00000029238	Ornithorhynchus_anatinus
ENSGMOP00000009773	ENSGMOG00000009122	Gadus_morhua
ENSCGRP00000016983	ENSCGRG00000012349	Cricetulus_griseus_CriGri_1.0
ENSPSIP00000002892	ENSPSIG00000002806	Pelodiscus_sinensis
ENSARWP00000027867	ENSARWG00000018819	Apteryx_rowi
ENSCPUP00000029243	ENSCPUG00000019601	Calidris_pugnax
ENSETEP00000012219	ENSETEG00000015078	Echinops_telfairi
ENSPMJP00000005898	ENSPMJG00000005075	Parus_major
ENSXMAP00000037140	ENSXMAG00000002005	Xiphophorus_maculatus
