ENSOMEP00000027828	ENSOMEG00000010520	Oryzias_melastigma
ENSACLP00000017506	ENSACLG00000011945	Astatotilapia_calliptera
ENSPLAP00000008815	ENSPLAG00000011453	Poecilia_latipinna
ENSNBRP00000020233	ENSNBRG00000015581	Neolamprologus_brichardi
ENSXETP00000053390	ENSXETG00000018645	Xenopus_tropicalis
ENSPRNP00000021583	ENSPRNG00000011149	Parambassis_ranga
ENSLCRP00005014479	ENSLCRG00005006203	Larimichthys_crocea
ENSDCDP00000037543	ENSDCDG00000025129	Denticeps_clupeoides
ENSJHYP00000011497	ENSJHYG00000008971	Junco_hyemalis
ENSORLP00015033459	ENSORLG00015018897	Oryzias_latipes_ASM223469v1
ENSACLP00000017464	ENSACLG00000011926	Astatotilapia_calliptera
ENSGWIP00000012854	ENSGWIG00000007427	Gouania_willdenowi
ENSCSEP00000020038	ENSCSEG00000012798	Cynoglossus_semilaevis
ENSKMAP00000018860	ENSKMAG00000014028	Kryptolebias_marmoratus
ENSVURP00010007621	ENSVURG00010005876	Vombatus_ursinus
ENSACIP00000003811	ENSACIG00000003020	Amphilophus_citrinellus
ENSAPEP00000008235	ENSAPEG00000005961	Amphiprion_percula
ENSGAFP00000004907	ENSGAFG00000003348	Gambusia_affinis
ENSMAMP00000003134	ENSMAMG00000002177	Mastacembelus_armatus
ENSMAMP00000035202	ENSMAMG00000023628	Mastacembelus_armatus
ENSLCRP00005015380	ENSLCRG00005006524	Larimichthys_crocea
ENSFHEP00000004852	ENSFHEG00000005807	Fundulus_heteroclitus
ENSXMAP00000028448	ENSXMAG00000029995	Xiphophorus_maculatus
ENSSHAP00000002593	ENSSHAG00000002294	Sarcophilus_harrisii
ENSATEP00000003864	ENSATEG00000002726	Anabas_testudineus
ENSMZEP00005034095	ENSMZEG00005025486	Maylandia_zebra
ENSHCOP00000020599	ENSHCOG00000006816	Hippocampus_comes
ENSLBEP00000034324	ENSLBEG00000025824	Labrus_bergylta
ENSSPAP00000028587	ENSSPAG00000021518	Stegastes_partitus
ENSLBEP00000033636	ENSLBEG00000025333	Labrus_bergylta
ENSPNAP00000018331	ENSPNAG00000003839	Pygocentrus_nattereri
ENSMAMP00000024425	ENSMAMG00000016428	Mastacembelus_armatus
ENSACLP00000015162	ENSACLG00000010328	Astatotilapia_calliptera
ENSPNYP00000007484	ENSPNYG00000005742	Pundamilia_nyererei
ENSAPOP00000011886	ENSAPOG00000014520	Acanthochromis_polyacanthus
ENSLCRP00005027219	ENSLCRG00005010850	Larimichthys_crocea
ENSPMGP00000016569	ENSPMGG00000013608	Periophthalmus_magnuspinnatus
ENSPREP00000011609	ENSPREG00000007907	Poecilia_reticulata
ENSEEEP00000034253	ENSEEEG00000016318	Electrophorus_electricus
ENSONIP00000024870	ENSONIG00000019758	Oreochromis_niloticus
ENSELUP00000040431	ENSELUG00000020907	Esox_lucius
ENSPRNP00000005790	ENSPRNG00000003488	Parambassis_ranga
ENSSDUP00000018205	ENSSDUG00000013296	Seriola_dumerili
ENSTRUP00000049316	ENSTRUG00000021889	Takifugu_rubripes
ENSSDUP00000023886	ENSSDUG00000017371	Seriola_dumerili
ENSPREP00000019034	ENSPREG00000012876	Poecilia_reticulata
ENSGAFP00000009189	ENSGAFG00000006256	Gambusia_affinis
ENSCHAP00000045038	ENSCHAG00000020933	Clupea_harengus
ENSONIP00000020673	ENSONIG00000016415	Oreochromis_niloticus
ENSNBRP00000002072	ENSNBRG00000001678	Neolamprologus_brichardi
ENSAMXP00005026506	ENSAMXG00005013349	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHHUP00000034930	ENSHHUG00000021987	Hucho_hucho
ENSAMXP00000052570	ENSAMXG00000038507	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000040175
ENSMMOP00000012827	ENSMMOG00000009859	Mola_mola
ENSSPAP00000028630	ENSSPAG00000021555	Stegastes_partitus
ENSAOCP00000010690	ENSAOCG00000014906	Amphiprion_ocellaris
ENSHBUP00000014542	ENSHBUG00000016405	Haplochromis_burtoni
ENSXCOP00000020599	ENSXCOG00000015432	Xiphophorus_couchianus
ENSBSLP00000036459	ENSBSLG00000017817	Betta_splendens
ENSTRUP00000050035	ENSTRUG00000024595	Takifugu_rubripes
ENSPKIP00000009390	ENSPKIG00000024522	Paramormyrops_kingsleyae
ENSPNYP00000012963	ENSPNYG00000009815	Pundamilia_nyererei
ENSELUP00000008631	ENSELUG00000009258	Esox_lucius
ENSSLDP00000019543	ENSSLDG00000015321	Seriola_lalandi_dorsalis
ENSAOCP00000009923	ENSAOCG00000002028	Amphiprion_ocellaris
ENSIPUP00000003532	ENSIPUG00000002513	Ictalurus_punctatus
ENSAPEP00000025702	ENSAPEG00000018297	Amphiprion_percula
ENSHHUP00000066521	ENSHHUG00000039233	Hucho_hucho
ENSGALP00000073268	ENSGALG00000052856	Gallus_gallus
ENSSLDP00000020165	ENSSLDG00000015777	Seriola_lalandi_dorsalis
ENSACIP00000001982	ENSACIG00000001593	Amphilophus_citrinellus
ENSPMEP00000032255	ENSPMEG00000000429	Poecilia_mexicana
ENSORLP00020001956	ENSORLG00020002684	Oryzias_latipes_ASM223471v1
ENSLBEP00000011018	ENSLBEG00000008495	Labrus_bergylta
ENSSFOP00015030678	ENSSFOG00015019679	Scleropages_formosus
ENSLCAP00010048705	ENSLCAG00010022651	Lates_calcarifer
ENSHHUP00000060276	ENSHHUG00000035756	Hucho_hucho
ENSLCAP00010014738	ENSLCAG00010006989	Lates_calcarifer
ENSCGOP00000004105	ENSCGOG00000002163	Cottoperca_gobio
ENSMALP00000028172	ENSMALG00000019524	Monopterus_albus
ENSECRP00000031935	ENSECRG00000021641	Erpetoichthys_calabaricus
ENSGACP00000005619	ENSGACG00000004267	Gasterosteus_aculeatus
ENSLSDP00000018155	ENSLSDG00000012960	Lonchura_striata_domestica
ENSCSEP00000008561	ENSCSEG00000005467	Cynoglossus_semilaevis
ENSPVIP00000028644	ENSPVIG00000021195	Pogona_vitticeps
ENSATEP00000014732	ENSATEG00000010268	Anabas_testudineus
ENSORLP00020014435	ENSORLG00020015443	Oryzias_latipes_ASM223471v1
ENSGACP00000009827	ENSGACG00000007412	Gasterosteus_aculeatus
ENSFHEP00000027641	ENSFHEG00000011229	Fundulus_heteroclitus
ENSSMAP00000002159	ENSSMAG00000001339	Scophthalmus_maximus
ENSPMEP00000032821	ENSPMEG00000020957	Poecilia_mexicana
ENSATEP00000034315	ENSATEG00000023580	Anabas_testudineus
ENSPNYP00000007471	ENSPNYG00000005710	Pundamilia_nyererei
ENSIPUP00000003550	ENSIPUG00000002521	Ictalurus_punctatus
ENSMODP00000056428	ENSMODG00000042698	Monodelphis_domestica
ENSLCAP00010003193	ENSLCAG00010001670	Lates_calcarifer
ENSTNIP00000012554	ENSTNIG00000009674	Tetraodon_nigroviridis
ENSPLAP00000004208	ENSPLAG00000005849	Poecilia_latipinna
ENSXCOP00000026564	ENSXCOG00000019833	Xiphophorus_couchianus
ENSGMOP00000004045	ENSGMOG00000003821	Gadus_morhua
ENSORLP00000043977	ENSORLG00000023072	Oryzias_latipes_ASM223467v1
ENSSFOP00015030653	ENSSFOG00015019669	Scleropages_formosus
ENSHBUP00000019083	ENSHBUG00000021231	Haplochromis_burtoni
ENSMALP00000009517	ENSMALG00000006768	Monopterus_albus
ENSHHUP00000013631	ENSHHUG00000008405	Hucho_hucho
ENSSMAP00000006537	ENSSMAG00000004042	Scophthalmus_maximus
ENSPCIP00000011373	ENSPCIG00000009136	Phascolarctos_cinereus
ENSXMAP00000040381	ENSXMAG00000027309	Xiphophorus_maculatus
ENSPFOP00000008199	ENSPFOG00000008269	Poecilia_formosa
ENSCGOP00000003090	ENSCGOG00000001638	Cottoperca_gobio
ENSCHAP00000003424	ENSCHAG00000002192	Clupea_harengus
ENSNPEP00000012750	ENSNPEG00000009525	Nothoprocta_perdicaria
ENSMZEP00005035606	ENSMZEG00005026600	Maylandia_zebra
ENSCVAP00000006818	ENSCVAG00000008420	Cyprinodon_variegatus
ENSPREP00000011675	ENSPREG00000007939	Poecilia_reticulata
ENSNSUP00000003106	ENSNSUG00000002539	Notechis_scutatus
