C24H12.2.1	WBGene00016072	Caenorhabditis_elegans_strain_N2	C24H12.2.1
C24H12.5b.1	WBGene00016074	Caenorhabditis_elegans_strain_N2	C24H12.5b.1
ENSCINP00000034459	ENSCING00000024547	Ciona_intestinalis
ENSCSAVP00000011146	ENSCSAVG00000006517	Ciona_savignyi
ENSPMAP00000005812	ENSPMAG00000005278	Petromyzon_marinus	ENSPMAT00000005839
ENSEBUP00000016379	ENSEBUG00000010272	Eptatretus_burgeri	ENSEBUT00000016955
ENSCABP00000002935	ENSCABG00000002252	Chelonoidis_abingdonii
ENSMUSP00000125172	ENSMUSG00000116933	Mus_musculus_strain_reference_(CL57BL6)
ENSCLAP00000010731	ENSCLAG00000007407	Chinchilla_lanigera
ENSODEP00000004792	ENSODEG00000003639	Octodon_degus
ENSCPOP00000004352	ENSCPOG00000004837	Cavia_porcellus
ENSCAPP00000015207	ENSCAPG00000015396	Cavia_aperea
ENSHGLP00000025234	ENSHGLG00000017980	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023199	ENSHGLG00100017047	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018058	ENSFDAG00000010125	Fukomys_damarensis
ENSSTOP00000007829	ENSSTOG00000008739	Ictidomys_tridecemlineatus
ENSSDAP00000011026	ENSSDAG00000009970	Spermophilus_dauricus
ENSUPAP00010002855	ENSUPAG00010002359	Urocitellus_parryii
ENSMMMP00000001431	ENSMMMG00000001308	Marmota_marmota_marmota
ENSCCNP00000032876	ENSCCNG00000031164	Castor_canadensis
ENSDORP00000011121	ENSDORG00000011831	Dipodomys_ordii
ENSMSIP00000007750	ENSMSIG00000006924	Mus_spicilegus
ENSMUSP00000023682	ENSMUSG00000022960	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0044213	MGP_SPRETEiJ_G0021872	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0042309	MGP_CAROLIEiJ_G0020966	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0029671	MGP_PahariEiJ_G0016671	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000058017	ENSRNOG00000002012	Rattus_norvegicus
ENSMUGP00000015010	ENSMUGG00000012941	Meriones_unguiculatus
ENSCGRP00001007815	ENSCGRG00001010184	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015018156	ENSCGRG00015013895	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025384	ENSCGRG00000018381	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000005794	ENSMAUG00000007860	Mesocricetus_auratus
ENSPEMP00000026861	ENSPEMG00000022835	Peromyscus_maniculatus_bairdii
ENSMOCP00000015512	ENSMOCG00000014685	Microtus_ochrogaster
ENSNGAP00000020918	ENSNGAG00000020262	Nannospalax_galili
ENSJJAP00000012069	ENSJJAG00000015212	Jaculus_jaculus
ENSOCUP00000033533	ENSOCUG00000003875	Oryctolagus_cuniculus
ENSOPRP00000004689	ENSOPRG00000005103	Ochotona_princeps
ENSPTRP00000023872	ENSPTRG00000034273	Pan_troglodytes
ENSPTRP00000086085	ENSPTRG00000044485	Pan_troglodytes
ENSPPAP00000019446	ENSPPAG00000032880	Pan_paniscus
ENSP00000307143	ENSG00000159147	Homo_sapiens
ENSGGOP00000012025	ENSGGOG00000012322	Gorilla_gorilla
ENSPPYP00000012704	ENSPPYG00000011381	Pongo_abelii
ENSNLEP00000004916	ENSNLEG00000004043	Nomascus_leucogenys
ENSPANP00000038838	ENSPANG00000029875	Papio_anubis
ENSMFAP00000019379	ENSMFAG00000032700	Macaca_fascicularis
ENSMLEP00000006900	ENSMLEG00000027342	Mandrillus_leucophaeus
ENSCATP00000028782	ENSCATG00000037663	Cercocebus_atys
ENSCSAP00000006071	ENSCSAG00000009862	Chlorocebus_sabaeus
ENSMFAP00000013620	ENSMFAG00000028965	Macaca_fascicularis
ENSMMUP00000004935	ENSMMUG00000003701	Macaca_mulatta
ENSMNEP00000012065	ENSMNEG00000030330	Macaca_nemestrina
ENSTGEP00000033657	ENSTGEG00000026858	Theropithecus_gelada
ENSPANP00000013062	ENSPANG00000016795	Papio_anubis
ENSPTEP00000008277	ENSPTEG00000009408	Piliocolobus_tephrosceles
ENSCANP00000034164	ENSCANG00000040742	Colobus_angolensis_palliatus
ENSRROP00000036754	ENSRROG00000041828	Rhinopithecus_roxellana
ENSRBIP00000000575	ENSRBIG00000002546	Rhinopithecus_bieti
ENSCCAP00000028868	ENSCCAG00000032431	Cebus_capucinus_imitator
ENSCCAP00000015165	ENSCCAG00000025338	Cebus_capucinus_imitator
ENSSBOP00000035791	ENSSBOG00000034050	Saimiri_boliviensis_boliviensis
ENSCJAP00000005542	ENSCJAG00000003034	Callithrix_jacchus
ENSANAP00000029856	ENSANAG00000032682	Aotus_nancymaae
ENSTSYP00000025384	ENSTSYG00000008380	Carlito_syrichta
ENSMICP00000032217	ENSMICG00000004626	Microcebus_murinus
ENSMICP00000045281	ENSMICG00000047222	Microcebus_murinus
ENSPCOP00000006894	ENSPCOG00000014646	Propithecus_coquereli
ENSPSMP00000018942	ENSPSMG00000013324	Prolemur_simus
ENSOGAP00000018627	ENSOGAG00000032566	Otolemur_garnettii
ENSTBEP00000004603	ENSTBEG00000005338	Tupaia_belangeri
ENSTGEP00000010726	ENSTGEG00000008760	Theropithecus_gelada
ENSMNEP00000037859	ENSMNEG00000041983	Macaca_nemestrina
ENSPVAP00000010545	ENSPVAG00000011188	Pteropus_vampyrus
ENSMLUP00000002241	ENSMLUG00000002469	Myotis_lucifugus
ENSUAMP00000019008	ENSUAMG00000015028	Ursus_americanus
ENSUMAP00000027650	ENSUMAG00000020066	Ursus_maritimus
ENSAMEP00000015653	ENSAMEG00000014866	Ailuropoda_melanoleuca
ENSMPUP00000001283	ENSMPUG00000001294	Mustela_putorius_furo
ENSNVIP00000007678	ENSNVIG00000006058	Neovison_vison
ENSCAFP00000013698	ENSCAFG00000009309	Canis_lupus_familiaris
ENSCAFP00000033036	ENSCAFG00000028769	Canis_lupus_familiaris
ENSCAFP00020032466	ENSCAFG00020025283	Canis_lupus_dingo
ENSVVUP00000031581	ENSVVUG00000022969	Vulpes_vulpes
ENSPPRP00000027154	ENSPPRG00000018486	Panthera_pardus
ENSPTIP00000025280	ENSPTIG00000021107	Panthera_tigris_altaica
ENSFCAP00000056875	ENSFCAG00000019250	Felis_catus
ENSECAP00000006014	ENSECAG00000007826	Equus_caballus
ENSEASP00005008617	ENSEASG00005006187	Equus_asinus_asinus
ENSBIXP00005045846	ENSBIXG00005029255	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000023948	ENSBIXG00000026266	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000046527	ENSBTAG00000035175	Bos_taurus
ENSBMUP00000011250	ENSBMUG00000008602	Bos_mutus
ENSBBBP00000009737	ENSBBBG00000017889	Bison_bison_bison
ENSOARP00000013938	ENSOARG00000013016	Ovis_aries
ENSCHIP00000022716	ENSCHIG00000020590	Capra_hircus
ENSTTRP00000004445	ENSTTRG00000004719	Tursiops_truncatus
ENSSSCP00000056514	ENSSSCG00000027089	Sus_scrofa_strain_reference
ENSVPAP00000008518	ENSVPAG00000009151	Vicugna_pacos
ENSEEUP00000002227	ENSEEUG00000002440	Erinaceus_europaeus
ENSSARP00000011215	ENSSARG00000012411	Sorex_araneus
ENSLAFP00000013702	ENSLAFG00000016319	Loxodonta_africana
ENSPCAP00000009644	ENSPCAG00000010335	Procavia_capensis
ENSETEP00000015745	ENSETEG00000019380	Echinops_telfairi
ENSETEP00000012060	ENSETEG00000014879	Echinops_telfairi
ENSDNOP00000014330	ENSDNOG00000018454	Dasypus_novemcinctus
ENSCHOP00000009131	ENSCHOG00000010310	Choloepus_hoffmanni
ENSPCIP00000016759	ENSPCIG00000012882	Phascolarctos_cinereus
ENSVURP00010005413	ENSVURG00010003807	Vombatus_ursinus
ENSMEUP00000010388	ENSMEUG00000011388	Notamacropus_eugenii
ENSSHAP00000009295	ENSSHAG00000008044	Sarcophilus_harrisii
ENSMODP00000026335	ENSMODG00000021060	Monodelphis_domestica
ENSOANP00000003858	ENSOANG00000002434	Ornithorhynchus_anatinus
ENSGAGP00000000739	ENSGAGG00000000167	Gopherus_agassizii
ENSCPBP00000006872	ENSCPBG00000005406	Chrysemys_picta_bellii
ENSPSIP00000008392	ENSPSIG00000007638	Pelodiscus_sinensis
ENSCPRP00005021768	ENSCPRG00005015125	Crocodylus_porosus
ENSSPUP00000016592	ENSSPUG00000012765	Sphenodon_punctatus
ENSAHAP00000026700	ENSAHAG00000018591	Apteryx_haastii
ENSAOWP00000026432	ENSAOWG00000017821	Apteryx_owenii
ENSARWP00000019882	ENSARWG00000013624	Apteryx_rowi
ENSDNVP00000021679	ENSDNVG00000015134	Dromaius_novaehollandiae
ENSCPUP00000018161	ENSCPUG00000012494	Calidris_pugnax
ENSCPGP00000018353	ENSCPGG00000012840	Calidris_pygmaea
ENSMUNP00000008147	ENSMUNG00000006509	Melopsittacus_undulatus
ENSABRP00000019347	ENSABRG00000016599	Anser_brachyrhynchus
ENSAPLP00000008367	ENSAPLG00000008688	Anas_platyrhynchos_platyrhynchos
ENSGALP00000057506	ENSGALG00000038649	Gallus_gallus
ENSCJPP00005006698	ENSCJPG00005006211	Coturnix_japonica
ENSMGAP00000015379	ENSMGAG00000014525	Meleagris_gallopavo
