ENSHHUP00000070921	ENSHHUG00000041684	Hucho_hucho	ENSHHUT00000073280
ENSHHUP00000077255	ENSHHUG00000045149	Hucho_hucho	ENSHHUT00000079765
ENSGMOP00000013592	ENSGMOG00000012698	Gadus_morhua	ENSGMOT00000013950
ENSSLDP00000021551	ENSSLDG00000016831	Seriola_lalandi_dorsalis
ENSPKIP00000015627	ENSPKIG00000002276	Paramormyrops_kingsleyae
ENSVPAP00000002137	ENSVPAG00000002311	Vicugna_pacos
ENSSARP00000004093	ENSSARG00000004418	Sorex_araneus
ENSUAMP00000002643	ENSUAMG00000002404	Ursus_americanus
ENSCLAP00000013516	ENSCLAG00000009343	Chinchilla_lanigera
ENSODEP00000008465	ENSODEG00000006320	Octodon_degus
ENSHGLP00000002929	ENSHGLG00000002182	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021592	ENSFDAG00000007593	Fukomys_damarensis
ENSCPOP00000022922	ENSCPOG00000035132	Cavia_porcellus
ENSDORP00000026797	ENSDORG00000024839	Dipodomys_ordii
ENSSTOP00000029954	ENSSTOG00000032020	Ictidomys_tridecemlineatus
ENSCGRP00000021477	ENSCGRG00000015595	Cricetulus_griseus_CriGri_1.0
ENSCAPP00000003532	ENSCAPG00000006252	Cavia_aperea
ENSRNOP00000065586	ENSRNOG00000046521	Rattus_norvegicus
ENSETEP00000006716	ENSETEG00000008257	Echinops_telfairi
ENSPCAP00000000496	ENSPCAG00000000424	Procavia_capensis
ENSCHOP00000004079	ENSCHOG00000004585	Choloepus_hoffmanni
ENSOANP00000015915	ENSOANG00000010038	Ornithorhynchus_anatinus
