ENSUAMP00000018144	ENSUAMG00000014407	Ursus_americanus	ENSUAMT00000020314
ENSUMAP00000034993	ENSUMAG00000025168	Ursus_maritimus	ENSUMAT00000041375
ENSMPUP00000017511	ENSMPUG00000017624	Mustela_putorius_furo
ENSNVIP00000013098	ENSNVIG00000010359	Neovison_vison
ENSCAFP00000033603	ENSCAFG00000024605	Canis_lupus_familiaris
ENSCAFP00020017475	ENSCAFG00020013988	Canis_lupus_dingo
ENSVVUP00000022014	ENSVVUG00000016167	Vulpes_vulpes
ENSPTIP00000004091	ENSPTIG00000006686	Panthera_tigris_altaica
ENSPPRP00000027125	ENSPPRG00000018316	Panthera_pardus
ENSFCAP00000049000	ENSFCAG00000044444	Felis_catus
ENSVPAP00000010420	ENSVPAG00000011192	Vicugna_pacos
ENSSSCP00000007892	ENSSSCG00000007408	Sus_scrofa_strain_reference
ENSBTAP00000023389	ENSBTAG00000017587	Bos_taurus
ENSECAP00000020222	ENSECAG00000022824	Equus_caballus
ENSEASP00005034243	ENSEASG00005023382	Equus_asinus_asinus
ENSPVAP00000014033	ENSPVAG00000014890	Pteropus_vampyrus
ENSEEUP00000002187	ENSEEUG00000002403	Erinaceus_europaeus
ENSPPAP00000024824	ENSPPAG00000035545	Pan_paniscus
ENSPTRP00000023282	ENSPTRG00000013554	Pan_troglodytes
ENSGGOP00000006888	ENSGGOG00000007042	Gorilla_gorilla
ENSP00000320532	ENSG00000180205	Homo_sapiens
ENSPPYP00000012362	ENSPPYG00000011063	Pongo_abelii
ENSNLEP00000008219	ENSNLEG00000006750	Nomascus_leucogenys
ENSRROP00000021571	ENSRROG00000034695	Rhinopithecus_roxellana
ENSRBIP00000009331	ENSRBIG00000028554	Rhinopithecus_bieti
ENSPTEP00000023434	ENSPTEG00000024143	Piliocolobus_tephrosceles
ENSCANP00000014656	ENSCANG00000030781	Colobus_angolensis_palliatus
ENSMFAP00000002826	ENSMFAG00000036538	Macaca_fascicularis
ENSMMUP00000068223	ENSMMUG00000062371	Macaca_mulatta
ENSMNEP00000045600	ENSMNEG00000045302	Macaca_nemestrina
ENSCSAP00000010579	ENSCSAG00000014453	Chlorocebus_sabaeus
ENSTGEP00000024660	ENSTGEG00000019930	Theropithecus_gelada
ENSPANP00000017641	ENSPANG00000025058	Papio_anubis
ENSMLEP00000023040	ENSMLEG00000035733	Mandrillus_leucophaeus
ENSCATP00000017067	ENSCATG00000032455	Cercocebus_atys
ENSCCAP00000020425	ENSCCAG00000028056	Cebus_capucinus_imitator
ENSSBOP00000039574	ENSSBOG00000035817	Saimiri_boliviensis_boliviensis
ENSCJAP00000073740	ENSCJAG00000057692	Callithrix_jacchus
ENSANAP00000022310	ENSANAG00000028927	Aotus_nancymaae
ENSTSYP00000013124	ENSTSYG00000014294	Carlito_syrichta
ENSPCOP00000024849	ENSPCOG00000024637	Propithecus_coquereli
ENSMICP00000018641	ENSMICG00000029861	Microcebus_murinus
ENSMOCP00000013110	ENSMOCG00000013007	Microtus_ochrogaster
ENSPEMP00000005709	ENSPEMG00000008120	Peromyscus_maniculatus_bairdii
ENSCGRP00015028875	ENSCGRG00015021853	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005700	ENSCGRG00001007538	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000013538	ENSCGRG00000009821	Cricetulus_griseus_CriGri_1.0
ENSMSIP00000026339	ENSMSIG00000022249	Mus_spicilegus
MGP_CAROLIEiJ_P0056072	MGP_CAROLIEiJ_G0024657	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0058237	MGP_SPRETEiJ_G0025577	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000104959	ENSMUSG00000074594	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0067057	MGP_PahariEiJ_G0026099	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000039834	ENSRNOG00000031380	Rattus_norvegicus
ENSMUGP00000026309	ENSMUGG00000021922	Meriones_unguiculatus
ENSNGAP00000006548	ENSNGAG00000009766	Nannospalax_galili
ENSJJAP00000023858	ENSJJAG00000023498	Jaculus_jaculus
ENSUPAP00010003319	ENSUPAG00010002742	Urocitellus_parryii
ENSSDAP00000005258	ENSSDAG00000004914	Spermophilus_dauricus
ENSMMMP00000005915	ENSMMMG00000005318	Marmota_marmota_marmota
ENSSTOP00000009163	ENSSTOG00000010219	Ictidomys_tridecemlineatus
ENSCLAP00000015079	ENSCLAG00000010391	Chinchilla_lanigera
ENSCPOP00000006674	ENSCPOG00000007400	Cavia_porcellus
ENSODEP00000012494	ENSODEG00000009260	Octodon_degus
ENSHGLP00100014665	ENSHGLG00100010856	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009465	ENSHGLG00000006793	Heterocephalus_glaber_HetGla_female_1.0
ENSCCNP00000023366	ENSCCNG00000022960	Castor_canadensis
ENSDORP00000019035	ENSDORG00000027197	Dipodomys_ordii
ENSOCUP00000001353	ENSOCUG00000001577	Oryctolagus_cuniculus
ENSLAFP00000004585	ENSLAFG00000005468	Loxodonta_africana
