FBpp0083030	FBgn0038583	Drosophila_melanogaster	FBtr0083610
C37A2.8a.1	WBGene00016494	Caenorhabditis_elegans_strain_N2	C37A2.8a.1
ENSVURP00010019537	ENSVURG00010014898	Vombatus_ursinus	ENSVURT00010022230
ENSPCIP00000019532	ENSPCIG00000014781	Phascolarctos_cinereus	ENSPCIT00000024128
ENSMEUP00000007711	ENSMEUG00000008447	Notamacropus_eugenii	ENSMEUT00000008458
ENSSHAP00000020319	ENSSHAG00000017233	Sarcophilus_harrisii	ENSSHAT00000020480
ENSMODP00000008905	ENSMODG00000007181	Monodelphis_domestica	ENSMODT00000009080
ENSMLUP00000009471	ENSMLUG00000010390	Myotis_lucifugus
ENSPVAP00000011161	ENSPVAG00000011840	Pteropus_vampyrus
ENSECAP00000000480	ENSECAG00000000540	Equus_caballus
ENSEASP00005022601	ENSEASG00005015436	Equus_asinus_asinus
ENSBIXP00000002780	ENSBIXG00000009235	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043713	ENSBIXG00005027454	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000057347	ENSBTAG00000038298	Bos_taurus
ENSBMUP00000023066	ENSBMUG00000017336	Bos_mutus
ENSBBBP00000018287	ENSBBBG00000002003	Bison_bison_bison
ENSOARP00000019708	ENSOARG00000018360	Ovis_aries
ENSCHIP00000004127	ENSCHIG00000008286	Capra_hircus
ENSTTRP00000009344	ENSTTRG00000009852	Tursiops_truncatus
ENSSSCP00000049946	ENSSSCG00000040702	Sus_scrofa_strain_reference
ENSVPAP00000001088	ENSVPAG00000001179	Vicugna_pacos
ENSNVIP00000012607	ENSNVIG00000009972	Neovison_vison
ENSNVIP00000012613	ENSNVIG00000010012	Neovison_vison
ENSMPUP00000017144	ENSMPUG00000017252	Mustela_putorius_furo
ENSUMAP00000023383	ENSUMAG00000017022	Ursus_maritimus
ENSUAMP00000016674	ENSUAMG00000013124	Ursus_americanus
ENSAMEP00000009764	ENSAMEG00000009271	Ailuropoda_melanoleuca
ENSCAFP00000006712	ENSCAFG00000004495	Canis_lupus_familiaris
ENSCAFP00020007560	ENSCAFG00020006016	Canis_lupus_dingo
ENSVVUP00000018773	ENSVVUG00000013811	Vulpes_vulpes
ENSPPRP00000022888	ENSPPRG00000013291	Panthera_pardus
ENSPTIP00000009768	ENSPTIG00000010750	Panthera_tigris_altaica
ENSFCAP00000024135	ENSFCAG00000027124	Felis_catus
ENSSARP00000004065	ENSSARG00000004489	Sorex_araneus
ENSPTRP00000025280	ENSPTRG00000014654	Pan_troglodytes
ENSPPAP00000030989	ENSPPAG00000038422	Pan_paniscus
ENSP00000373304	ENSG00000154781	Homo_sapiens
ENSGGOP00000001344	ENSGGOG00000001359	Gorilla_gorilla
ENSPPYP00000014993	ENSPPYG00000013405	Pongo_abelii
ENSNLEP00000036962	ENSNLEG00000005142	Nomascus_leucogenys
ENSPTEP00000009725	ENSPTEG00000011034	Piliocolobus_tephrosceles
ENSCANP00000031647	ENSCANG00000039476	Colobus_angolensis_palliatus
ENSRROP00000014275	ENSRROG00000031345	Rhinopithecus_roxellana
ENSRBIP00000024801	ENSRBIG00000036299	Rhinopithecus_bieti
ENSTGEP00000017257	ENSTGEG00000013946	Theropithecus_gelada
ENSPANP00000005172	ENSPANG00000021119	Papio_anubis
ENSMNEP00000038215	ENSMNEG00000042119	Macaca_nemestrina
ENSMMUP00000019401	ENSMMUG00000044822	Macaca_mulatta
ENSMFAP00000030370	ENSMFAG00000042348	Macaca_fascicularis
ENSCATP00000010815	ENSCATG00000029674	Cercocebus_atys
ENSMLEP00000009856	ENSMLEG00000029107	Mandrillus_leucophaeus
ENSCSAP00000005551	ENSCSAG00000009294	Chlorocebus_sabaeus
ENSCCAP00000025546	ENSCCAG00000030530	Cebus_capucinus_imitator
ENSSBOP00000007180	ENSSBOG00000020532	Saimiri_boliviensis_boliviensis
ENSCJAP00000031383	ENSCJAG00000017045	Callithrix_jacchus
ENSANAP00000038454	ENSANAG00000036650	Aotus_nancymaae
ENSTSYP00000019112	ENSTSYG00000008623	Carlito_syrichta
ENSPSMP00000025697	ENSPSMG00000018031	Prolemur_simus
ENSPCOP00000007123	ENSPCOG00000014779	Propithecus_coquereli
ENSOGAP00000011886	ENSOGAG00000013264	Otolemur_garnettii
ENSMOCP00000022861	ENSMOCG00000019764	Microtus_ochrogaster
ENSTBEP00000012282	ENSTBEG00000014177	Tupaia_belangeri
ENSMSIP00000011020	ENSMSIG00000009644	Mus_spicilegus
ENSMSIP00000000957	ENSMSIG00000000979	Mus_spicilegus
MGP_SPRETEiJ_P0078113	MGP_SPRETEiJ_G0029684	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000049280	ENSMUSG00000034083	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0075063	MGP_CAROLIEiJ_G0028658	Mus_caroli_strain_CAROLI_EIJ
