ENSECRP00000006020	ENSECRG00000004024	Erpetoichthys_calabaricus
ENSPKIP00000037334	ENSPKIG00000015558	Paramormyrops_kingsleyae
ENSOANP00000005215	ENSOANG00000003289	Ornithorhynchus_anatinus
ENSOANP00000032111	ENSOANG00000031957	Ornithorhynchus_anatinus
ENSOANP00000030616	ENSOANG00000031365	Ornithorhynchus_anatinus
ENSOANP00000005214	ENSOANG00000003288	Ornithorhynchus_anatinus
ENSVURP00010018054	ENSVURG00010013794	Vombatus_ursinus
ENSPCIP00000050259	ENSPCIG00000032327	Phascolarctos_cinereus
ENSMODP00000040306	ENSMODG00000028578	Monodelphis_domestica
ENSSHAP00000016117	ENSSHAG00000013719	Sarcophilus_harrisii
ENSLAFP00000026434	ENSLAFG00000026929	Loxodonta_africana
ENSLAFP00000023659	ENSLAFG00000031744	Loxodonta_africana
ENSDNOP00000018693	ENSDNOG00000041248	Dasypus_novemcinctus
ENSDNOP00000017690	ENSDNOG00000035345	Dasypus_novemcinctus
ENSPEMP00000035393	ENSPEMG00000024391	Peromyscus_maniculatus_bairdii
ENSPEMP00000034708	ENSPEMG00000026923	Peromyscus_maniculatus_bairdii
ENSPEMP00000034796	ENSPEMG00000029121	Peromyscus_maniculatus_bairdii
ENSPEMP00000035608	ENSPEMG00000030396	Peromyscus_maniculatus_bairdii
ENSPEMP00000031264	ENSPEMG00000025711	Peromyscus_maniculatus_bairdii
ENSPEMP00000007961	ENSPEMG00000009763	Peromyscus_maniculatus_bairdii
ENSPEMP00000019337	ENSPEMG00000017666	Peromyscus_maniculatus_bairdii
ENSMOCP00000011269	ENSMOCG00000011510	Microtus_ochrogaster
ENSCGRP00001019040	ENSCGRG00001018598	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000015757	ENSCGRG00000011424	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013518	ENSCGRG00015010345	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001027447	ENSCGRG00001024453	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016237	ENSCGRG00000011778	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013708	ENSCGRG00015010487	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004444	ENSMAUG00000005676	Mesocricetus_auratus
ENSMSIP00000034210	ENSMSIG00000028539	Mus_spicilegus
ENSMUSP00000090121	ENSMUSG00000044811	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0032285	MGP_SPRETEiJ_G0018228	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0030830	MGP_CAROLIEiJ_G0017380	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000034224	ENSMSIG00000028551	Mus_spicilegus
ENSMUSP00000090123	ENSMUSG00000058728	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0030837	MGP_CAROLIEiJ_G0017382	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0037562	MGP_PahariEiJ_G0018511	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0037561	MGP_PahariEiJ_G0018512	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065288	ENSRNOG00000045888	Rattus_norvegicus
ENSRNOP00000064999	ENSRNOG00000046121	Rattus_norvegicus
ENSRNOP00000073432	ENSRNOG00000057734	Rattus_norvegicus
ENSRNOP00000063963	ENSRNOG00000050974	Rattus_norvegicus
ENSRNOP00000065726	ENSRNOG00000046216	Rattus_norvegicus
ENSRNOP00000074560	ENSRNOG00000048771	Rattus_norvegicus
ENSMUGP00000026740	ENSMUGG00000022276	Meriones_unguiculatus
ENSNGAP00000024549	ENSNGAG00000022778	Nannospalax_galili
ENSHGLP00000005726	ENSHGLG00000004186	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000008451	ENSFDAG00000016711	Fukomys_damarensis
ENSCPOP00000008632	ENSCPOG00000009617	Cavia_porcellus
ENSCCNP00000004876	ENSCCNG00000005212	Castor_canadensis
ENSCCNP00000004937	ENSCCNG00000005262	Castor_canadensis
ENSDORP00000004045	ENSDORG00000004327	Dipodomys_ordii
ENSDORP00000023214	ENSDORG00000026736	Dipodomys_ordii
ENSSDAP00000025282	ENSSDAG00000022984	Spermophilus_dauricus
ENSSDAP00000026541	ENSSDAG00000024054	Spermophilus_dauricus
ENSSDAP00000023077	ENSSDAG00000020993	Spermophilus_dauricus
ENSUPAP00010008313	ENSUPAG00010006679	Urocitellus_parryii
ENSOCUP00000034627	ENSOCUG00000023392	Oryctolagus_cuniculus
ENSOCUP00000020442	ENSOCUG00000023065	Oryctolagus_cuniculus
ENSPTRP00000052756	ENSPTRG00000009611	Pan_troglodytes
ENSPPAP00000013757	ENSPPAG00000030050	Pan_paniscus
ENSP00000329507	ENSG00000167850	Homo_sapiens
ENSGGOP00000008821	ENSGGOG00000009026	Gorilla_gorilla
ENSPPYP00000009659	ENSPPYG00000008600	Pongo_abelii
ENSCANP00000022590	ENSCANG00000034727	Colobus_angolensis_palliatus
ENSPTEP00000000682	ENSPTEG00000000789	Piliocolobus_tephrosceles
ENSRROP00000007531	ENSRROG00000027660	Rhinopithecus_roxellana
ENSRBIP00000043085	ENSRBIG00000044743	Rhinopithecus_bieti
ENSMLEP00000030954	ENSMLEG00000039668	Mandrillus_leucophaeus
ENSCATP00000007138	ENSCATG00000021569	Cercocebus_atys
ENSTGEP00000033947	ENSTGEG00000027088	Theropithecus_gelada
ENSMFAP00000002712	ENSMFAG00000039038	Macaca_fascicularis
ENSMNEP00000012529	ENSMNEG00000030570	Macaca_nemestrina
ENSMMUP00000059167	ENSMMUG00000039401	Macaca_mulatta
ENSCSAP00000000902	ENSCSAG00000004574	Chlorocebus_sabaeus
ENSCCAP00000008736	ENSCCAG00000022126	Cebus_capucinus_imitator
ENSSBOP00000018454	ENSSBOG00000025855	Saimiri_boliviensis_boliviensis
ENSCJAP00000027391	ENSCJAG00000014867	Callithrix_jacchus
ENSANAP00000030134	ENSANAG00000032831	Aotus_nancymaae
ENSMICP00000045445	ENSMICG00000043041	Microcebus_murinus
ENSOGAP00000016919	ENSOGAG00000025944	Otolemur_garnettii
ENSTBEP00000001383	ENSTBEG00000001605	Tupaia_belangeri
ENSBIXP00000034711	ENSBIXG00000017775	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027244	ENSBIXG00005030868	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000039810	ENSBTAG00000008328	Bos_taurus
ENSBMUP00000030109	ENSBMUG00000022518	Bos_mutus
ENSBBBP00000026794	ENSBBBG00000008622	Bison_bison_bison
ENSBMUP00000030151	ENSBMUG00000022554	Bos_mutus
ENSBBBP00000026799	ENSBBBG00000006011	Bison_bison_bison
ENSBIXP00005027235	ENSBIXG00005030873	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000001558	ENSCHIG00000003197	Capra_hircus
ENSBIXP00000012727	ENSBIXG00000017778	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027243	ENSBIXG00005030871	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000015015	ENSBBBG00000005999	Bison_bison_bison
ENSOARP00000013445	ENSOARG00000012547	Ovis_aries
ENSVPAP00000005485	ENSVPAG00000005910	Vicugna_pacos
ENSSSCP00000018263	ENSSSCG00000017236	Sus_scrofa_strain_reference
ENSMLUP00000012486	ENSMLUG00000013717	Myotis_lucifugus
ENSMLUP00000020358	ENSMLUG00000022644	Myotis_lucifugus
ENSECAP00000007689	ENSECAG00000009798	Equus_caballus
ENSECAP00000048001	ENSECAG00000043506	Equus_caballus
ENSEASP00005027972	ENSEASG00005019013	Equus_asinus_asinus
ENSNVIP00000012238	ENSNVIG00000009727	Neovison_vison
ENSMPUP00000014100	ENSMPUG00000014209	Mustela_putorius_furo
ENSMPUP00000014102	ENSMPUG00000014211	Mustela_putorius_furo
ENSMPUP00000014097	ENSMPUG00000014206	Mustela_putorius_furo
ENSUMAP00000010764	ENSUMAG00000008100	Ursus_maritimus
ENSUAMP00000017148	ENSUAMG00000013602	Ursus_americanus
ENSVVUP00000013639	ENSVVUG00000010015	Vulpes_vulpes
ENSCAFP00000034012	ENSCAFG00000024792	Canis_lupus_familiaris
ENSFCAP00000055774	ENSFCAG00000050735	Felis_catus
ENSPTIP00000012494	ENSPTIG00000012536	Panthera_tigris_altaica
ENSEEUP00000010457	ENSEEUG00000011460	Erinaceus_europaeus
ENSSARP00000005746	ENSSARG00000006348	Sorex_araneus
ENSOANP00000005216	ENSOANG00000003290	Ornithorhynchus_anatinus
ENSCPGP00000015967	ENSCPGG00000011241	Calidris_pygmaea
ENSCPGP00000025599	ENSCPGG00000017663	Calidris_pygmaea
ENSCPGP00000010352	ENSCPGG00000007364	Calidris_pygmaea
ENSCPUP00000003137	ENSCPUG00000002410	Calidris_pugnax
ENSMUNP00000013819	ENSMUNG00000010779	Melopsittacus_undulatus
ENSCCEP00000014742	ENSCCEG00000014051	Cyanistes_caeruleus
ENSFALP00000001352	ENSFALG00000001299	Ficedula_albicollis
ENSSCAP00000000476	ENSSCAG00000000410	Serinus_canaria
ENSLSDP00000020774	ENSLSDG00000014716	Lonchura_striata_domestica
ENSMVIP00005002927	ENSMVIG00005002293	Manacus_vitellinus
ENSLCOP00000002632	ENSLCOG00000002024	Lepidothrix_coronata
ENSMVIP00005002910	ENSMVIG00005002273	Manacus_vitellinus
ENSMGAP00000009445	ENSMGAG00000009168	Meleagris_gallopavo
ENSMGAP00000009448	ENSMGAG00000009172	Meleagris_gallopavo
ENSCJPP00005027856	ENSCJPG00005021534	Coturnix_japonica
ENSGALP00000040881	ENSGALG00000007713	Gallus_gallus
ENSNMEP00000012086	ENSNMEG00000011286	Numida_meleagris
ENSABRP00000018097	ENSABRG00000015592	Anser_brachyrhynchus
ENSAPLP00000005306	ENSAPLG00000005749	Anas_platyrhynchos_platyrhynchos
ENSABRP00000018092	ENSABRG00000015589	Anser_brachyrhynchus
ENSAPLP00000017794	ENSAPLG00000026341	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000009225	ENSAHAG00000006718	Apteryx_haastii
ENSAOWP00000000003	ENSAOWG00000000003	Apteryx_owenii
ENSARWP00000010972	ENSARWG00000007607	Apteryx_rowi
ENSDNVP00000014775	ENSDNVG00000010398	Dromaius_novaehollandiae
ENSNPEP00000006477	ENSNPEG00000004898	Nothoprocta_perdicaria
ENSARWP00000010971	ENSARWG00000007605	Apteryx_rowi
ENSSPUP00000013112	ENSSPUG00000010103	Sphenodon_punctatus
ENSCPBP00000041043	ENSCPBG00000028175	Chrysemys_picta_bellii
ENSCPBP00000008092	ENSCPBG00000006356	Chrysemys_picta_bellii
ENSCABP00000015961	ENSCABG00000011904	Chelonoidis_abingdonii
ENSCABP00000015964	ENSCABG00000011907	Chelonoidis_abingdonii
ENSCABP00000015953	ENSCABG00000011900	Chelonoidis_abingdonii
ENSGAGP00000024360	ENSGAGG00000017799	Gopherus_agassizii
ENSCABP00000015939	ENSCABG00000011889	Chelonoidis_abingdonii
ENSGAGP00000024355	ENSGAGG00000017795	Gopherus_agassizii
ENSCPBP00000041033	ENSCPBG00000028168	Chrysemys_picta_bellii
