ENSLACP00000003601	ENSLACG00000003208	Latimeria_chalumnae
ENSXETP00000038499	ENSXETG00000012018	Xenopus_tropicalis
ENSSFOP00015029814	ENSSFOG00015019165	Scleropages_formosus
ENSPKIP00000019299	ENSPKIG00000004516	Paramormyrops_kingsleyae
ENSECRP00000004533	ENSECRG00000003085	Erpetoichthys_calabaricus
ENSPVIP00000027257	ENSPVIG00000020268	Pogona_vitticeps
ENSACAP00000001185	ENSACAG00000001294	Anolis_carolinensis
ENSSMRP00000001577	ENSSMRG00000001371	Salvator_merianae
ENSSPUP00000005230	ENSSPUG00000004042	Sphenodon_punctatus
ENSGAGP00000016482	ENSGAGG00000012333	Gopherus_agassizii
ENSCABP00000009087	ENSCABG00000006828	Chelonoidis_abingdonii
ENSCPBP00000040668	ENSCPBG00000027917	Chrysemys_picta_bellii
ENSPSIP00000016145	ENSPSIG00000014405	Pelodiscus_sinensis
ENSCCEP00000025850	ENSCCEG00000022831	Cyanistes_caeruleus
ENSPMJP00000021981	ENSPMJG00000016324	Parus_major
ENSFALP00000009617	ENSFALG00000009221	Ficedula_albicollis
ENSLSDP00000010149	ENSLSDG00000007482	Lonchura_striata_domestica
ENSTGUP00000009864	ENSTGUG00000009573	Taeniopygia_guttata
ENSSCAP00000005817	ENSSCAG00000004596	Serinus_canaria
ENSZALP00000008012	ENSZALG00000007037	Zonotrichia_albicollis
ENSJHYP00000021616	ENSJHYG00000016356	Junco_hyemalis
ENSMVIP00005009833	ENSMVIG00005007235	Manacus_vitellinus
ENSMUNP00000021281	ENSMUNG00000016100	Melopsittacus_undulatus
ENSCPGP00000018076	ENSCPGG00000012650	Calidris_pygmaea
ENSCPUP00000028690	ENSCPUG00000019290	Calidris_pugnax
ENSAPLP00000009451	ENSAPLG00000009745	Anas_platyrhynchos_platyrhynchos
ENSABRP00000016807	ENSABRG00000014727	Anser_brachyrhynchus
ENSMGAP00000013177	ENSMGAG00000012511	Meleagris_gallopavo
ENSCJPP00005023143	ENSCJPG00005018390	Coturnix_japonica
ENSGALP00000023228	ENSGALG00000014406	Gallus_gallus
ENSNMEP00000022401	ENSNMEG00000019179	Numida_meleagris
ENSAHAP00000007028	ENSAHAG00000005262	Apteryx_haastii	ENSAHAT00000007835
ENSAOWP00000002416	ENSAOWG00000001740	Apteryx_owenii	ENSAOWT00000002774
ENSARWP00000005230	ENSARWG00000003762	Apteryx_rowi	ENSARWT00000006011
ENSDNVP00000002992	ENSDNVG00000002149	Dromaius_novaehollandiae	ENSDNVT00000003605
ENSCPRP00005006702	ENSCPRG00005004777	Crocodylus_porosus
ENSVURP00010004591	ENSVURG00010003638	Vombatus_ursinus
ENSPCIP00000052721	ENSPCIG00000001570	Phascolarctos_cinereus
ENSMEUP00000009058	ENSMEUG00000009937	Notamacropus_eugenii
ENSMODP00000047912	ENSMODG00000000641	Monodelphis_domestica
ENSSHAP00000021540	ENSSHAG00000018246	Sarcophilus_harrisii
ENSPSMP00000003845	ENSPSMG00000003069	Prolemur_simus
ENSPCOP00000019225	ENSPCOG00000021562	Propithecus_coquereli
ENSMICP00000044695	ENSMICG00000005651	Microcebus_murinus
ENSOGAP00000011503	ENSOGAG00000012836	Otolemur_garnettii
ENSPPYP00000016348	ENSPPYG00000014634	Pongo_abelii
ENSNLEP00000038457	ENSNLEG00000016706	Nomascus_leucogenys
ENSPPAP00000009317	ENSPPAG00000027879	Pan_paniscus
ENSPTRP00000073655	ENSPTRG00000015945	Pan_troglodytes
ENSP00000423881	ENSG00000163138	Homo_sapiens
ENSGGOP00000012294	ENSGGOG00000012603	Gorilla_gorilla
ENSTGEP00000035060	ENSTGEG00000027938	Theropithecus_gelada
ENSPANP00000018510	ENSPANG00000001123	Papio_anubis
ENSMLEP00000009655	ENSMLEG00000028997	Mandrillus_leucophaeus
ENSMFAP00000013953	ENSMFAG00000029845	Macaca_fascicularis
ENSMNEP00000030978	ENSMNEG00000038893	Macaca_nemestrina
ENSMMUP00000023250	ENSMMUG00000017670	Macaca_mulatta
ENSCATP00000041950	ENSCATG00000043616	Cercocebus_atys
ENSCSAP00000012610	ENSCSAG00000016548	Chlorocebus_sabaeus
ENSRBIP00000028104	ENSRBIG00000037932	Rhinopithecus_bieti
ENSRROP00000022481	ENSRROG00000035102	Rhinopithecus_roxellana
ENSPTEP00000029610	ENSPTEG00000028982	Piliocolobus_tephrosceles
ENSCANP00000015700	ENSCANG00000031311	Colobus_angolensis_palliatus
ENSCCAP00000015242	ENSCCAG00000025385	Cebus_capucinus_imitator
ENSCJAP00000023699	ENSCJAG00000012915	Callithrix_jacchus
ENSSBOP00000014610	ENSSBOG00000024032	Saimiri_boliviensis_boliviensis
ENSANAP00000017581	ENSANAG00000026655	Aotus_nancymaae
