ENSPVAP00000011994	ENSPVAG00000012718	Pteropus_vampyrus	ENSPVAT00000012717
ENSMLUP00000016054	ENSMLUG00000017604	Myotis_lucifugus	ENSMLUT00000017608
ENSUMAP00000016740	ENSUMAG00000012291	Ursus_maritimus	ENSUMAT00000019797
ENSUAMP00000016179	ENSUAMG00000012894	Ursus_americanus	ENSUAMT00000018125
ENSAMEP00000008287	ENSAMEG00000007851	Ailuropoda_melanoleuca	ENSAMET00000008631
ENSMPUP00000004309	ENSMPUG00000004342	Mustela_putorius_furo
ENSNVIP00000019398	ENSNVIG00000015157	Neovison_vison
ENSCAFP00020012453	ENSCAFG00020010029	Canis_lupus_dingo
ENSCAFP00020003194	ENSCAFG00020002717	Canis_lupus_dingo
ENSVVUP00000018886	ENSVVUG00000013908	Vulpes_vulpes
ENSPTIP00000020354	ENSPTIG00000017842	Panthera_tigris_altaica
ENSFCAP00000019694	ENSFCAG00000031631	Felis_catus
ENSBIXP00000009282	ENSBIXG00000001872	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005011141	ENSBIXG00005015639	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000029077	ENSBTAG00000021814	Bos_taurus
ENSBBBP00000003129	ENSBBBG00000012231	Bison_bison_bison
ENSCHIP00000017546	ENSCHIG00000017351	Capra_hircus
ENSOARP00000011660	ENSOARG00000010873	Ovis_aries
ENSTTRP00000001404	ENSTTRG00000001488	Tursiops_truncatus
ENSSSCP00000004631	ENSSSCG00000004287	Sus_scrofa_strain_reference
ENSVPAP00000004605	ENSVPAG00000004969	Vicugna_pacos
ENSEASP00005005901	ENSEASG00005004346	Equus_asinus_asinus
ENSECAP00000015590	ENSECAG00000017971	Equus_caballus
ENSSARP00000012181	ENSSARG00000013493	Sorex_araneus
ENSCCNP00000004614	ENSCCNG00000004910	Castor_canadensis
ENSDORP00000021612	ENSDORG00000030010	Dipodomys_ordii
ENSCGRP00001001429	ENSCGRG00001001145	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015017750	ENSCGRG00015013646	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000014115	ENSCGRG00000010217	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000001940	ENSMAUG00000001441	Mesocricetus_auratus
ENSMOCP00000013034	ENSMOCG00000012956	Microtus_ochrogaster
ENSPEMP00000028456	ENSPEMG00000023986	Peromyscus_maniculatus_bairdii
ENSMSIP00000004701	ENSMSIG00000004310	Mus_spicilegus
MGP_SPRETEiJ_P0092451	MGP_SPRETEiJ_G0033607	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000108994	ENSMUSG00000070291	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0088814	MGP_CAROLIEiJ_G0032467	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0024446	MGP_PahariEiJ_G0015333	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000066094	ENSRNOG00000050868	Rattus_norvegicus
ENSMUGP00000021784	ENSMUGG00000018316	Meriones_unguiculatus
ENSNGAP00000013580	ENSNGAG00000015102	Nannospalax_galili
ENSJJAP00000010657	ENSJJAG00000014184	Jaculus_jaculus
ENSCPOP00000003602	ENSCPOG00000003991	Cavia_porcellus
ENSCAPP00000001977	ENSCAPG00000004247	Cavia_aperea
ENSHGLP00100016115	ENSHGLG00100011895	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001449	ENSHGLG00000001118	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000014881	ENSCLAG00000010261	Chinchilla_lanigera
ENSODEP00000022058	ENSODEG00000016207	Octodon_degus
ENSSTOP00000027610	ENSSTOG00000032538	Ictidomys_tridecemlineatus
ENSMMMP00000003294	ENSMMMG00000002997	Marmota_marmota_marmota
ENSUPAP00010016252	ENSUPAG00010012946	Urocitellus_parryii
ENSSDAP00000007704	ENSSDAG00000006986	Spermophilus_dauricus
ENSOCUP00000019339	ENSOCUG00000006338	Oryctolagus_cuniculus
ENSOPRP00000012342	ENSOPRG00000013523	Ochotona_princeps
ENSTBEP00000001729	ENSTBEG00000001984	Tupaia_belangeri
ENSCHOP00000003062	ENSCHOG00000003450	Choloepus_hoffmanni
ENSDNOP00000013637	ENSDNOG00000017589	Dasypus_novemcinctus
ENSLAFP00000010669	ENSLAFG00000012755	Loxodonta_africana
ENSPCAP00000005590	ENSPCAG00000005962	Procavia_capensis
ENSETEP00000001531	ENSETEG00000001887	Echinops_telfairi
