ENSNSUP00000000067	ENSNSUG00000000089	Notechis_scutatus
ENSACAP00000002753	ENSACAG00000002865	Anolis_carolinensis
ENSSMRP00000006942	ENSSMRG00000005620	Salvator_merianae
ENSSPUP00000020472	ENSSPUG00000015707	Sphenodon_punctatus
ENSABRP00000019110	ENSABRG00000016389	Anser_brachyrhynchus
ENSAPLP00000030148	ENSAPLG00000027294	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000008969	ENSMGAG00000008738	Meleagris_gallopavo
ENSCJPP00005016279	ENSCJPG00005013394	Coturnix_japonica
ENSGALP00000011638	ENSGALG00000007199	Gallus_gallus
ENSNMEP00000026914	ENSNMEG00000022579	Numida_meleagris
ENSLSDP00000001275	ENSLSDG00000001000	Lonchura_striata_domestica
ENSTGUP00000009846	ENSTGUG00000009558	Taeniopygia_guttata
ENSFALP00000007892	ENSFALG00000007566	Ficedula_albicollis
ENSSCAP00000005115	ENSSCAG00000004108	Serinus_canaria
ENSJHYP00000012331	ENSJHYG00000009642	Junco_hyemalis
ENSZALP00000017771	ENSZALG00000014329	Zonotrichia_albicollis
ENSLCOP00000021278	ENSLCOG00000015043	Lepidothrix_coronata
ENSMVIP00005007710	ENSMVIG00005005767	Manacus_vitellinus
ENSPMJP00000024363	ENSPMJG00000017929	Parus_major
ENSMUNP00000017519	ENSMUNG00000013459	Melopsittacus_undulatus
ENSCPGP00000026650	ENSCPGG00000018373	Calidris_pygmaea
ENSCPUP00000014243	ENSCPUG00000010026	Calidris_pugnax
ENSARWP00000005373	ENSARWG00000003845	Apteryx_rowi
ENSAHAP00000003017	ENSAHAG00000002430	Apteryx_haastii
ENSAOWP00000016266	ENSAOWG00000011084	Apteryx_owenii
ENSDNVP00000013095	ENSDNVG00000009282	Dromaius_novaehollandiae
ENSNPEP00000008682	ENSNPEG00000006526	Nothoprocta_perdicaria
ENSGAGP00000021829	ENSGAGG00000016022	Gopherus_agassizii
ENSCABP00000020026	ENSCABG00000014762	Chelonoidis_abingdonii
ENSCPBP00000015329	ENSCPBG00000011343	Chrysemys_picta_bellii
ENSPCIP00000035142	ENSPCIG00000026000	Phascolarctos_cinereus
ENSVURP00010008577	ENSVURG00010006658	Vombatus_ursinus
ENSMEUP00000003687	ENSMEUG00000004060	Notamacropus_eugenii
ENSMODP00000003847	ENSMODG00000003157	Monodelphis_domestica
ENSBMUP00000028179	ENSBMUG00000021136	Bos_mutus
ENSBBBP00000019412	ENSBBBG00000012759	Bison_bison_bison
ENSMPUP00000003146	ENSMPUG00000003179	Mustela_putorius_furo
ENSNVIP00000011960	ENSNVIG00000009500	Neovison_vison
ENSFCAP00000035357	ENSFCAG00000032445	Felis_catus
ENSMSIP00000012435	ENSMSIG00000010821	Mus_spicilegus
MGP_SPRETEiJ_P0072823	MGP_SPRETEiJ_G0028622	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000031508	ENSMUSG00000029535	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0070140	MGP_CAROLIEiJ_G0027624	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058360	MGP_PahariEiJ_G0024204	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001534	ENSRNOG00000001160	Rattus_norvegicus
ENSRNOP00000067800	ENSRNOG00000047812	Rattus_norvegicus
ENSMUGP00000000280	ENSMUGG00000000309	Meriones_unguiculatus
ENSCGRP00015002575	ENSCGRG00015002079	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015010665	ENSCGRG00015008224	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000002636	ENSCGRG00000001924	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023720	ENSCGRG00001021863	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000014279	ENSMAUG00000014091	Mesocricetus_auratus
ENSPEMP00000033603	ENSPEMG00000027703	Peromyscus_maniculatus_bairdii
ENSMOCP00000006032	ENSMOCG00000005593	Microtus_ochrogaster
ENSNGAP00000025573	ENSNGAG00000023480	Nannospalax_galili
ENSJJAP00000015506	ENSJJAG00000017654	Jaculus_jaculus
ENSJJAP00000005454	ENSJJAG00000010392	Jaculus_jaculus
ENSJJAP00000008119	ENSJJAG00000012370	Jaculus_jaculus
ENSJJAP00000016434	ENSJJAG00000018287	Jaculus_jaculus
ENSJJAP00000010448	ENSJJAG00000014051	Jaculus_jaculus
ENSCCNP00000018968	ENSCCNG00000019133	Castor_canadensis
ENSMMMP00000024149	ENSMMMG00000021147	Marmota_marmota_marmota
ENSMMMP00000024095	ENSMMMG00000021094	Marmota_marmota_marmota
ENSMMMP00000028016	ENSMMMG00000024415	Marmota_marmota_marmota
ENSSTOP00000011246	ENSSTOG00000012553	Ictidomys_tridecemlineatus
ENSUPAP00010021386	ENSUPAG00010017017	Urocitellus_parryii
