ENSMZEP00005025474	ENSMZEG00005019012	Maylandia_zebra
ENSACLP00000012433	ENSACLG00000008497	Astatotilapia_calliptera
ENSPNYP00000030135	ENSPNYG00000022726	Pundamilia_nyererei
ENSNBRP00000007798	ENSNBRG00000006074	Neolamprologus_brichardi
ENSACIP00000011343	ENSACIG00000008852	Amphilophus_citrinellus
ENSPRNP00000041729	ENSPRNG00000020450	Parambassis_ranga
ENSMAMP00000030760	ENSMAMG00000020738	Mastacembelus_armatus
ENSPFOP00000002608	ENSPFOG00000002716	Poecilia_formosa
ENSPMEP00000024222	ENSPMEG00000000120	Poecilia_mexicana
ENSPLAP00000014121	ENSPLAG00000017726	Poecilia_latipinna
ENSPREP00000027496	ENSPREG00000018598	Poecilia_reticulata
ENSXMAP00000039435	ENSXMAG00000021649	Xiphophorus_maculatus
ENSFHEP00000010294	ENSFHEG00000011600	Fundulus_heteroclitus
ENSCVAP00000017520	ENSCVAG00000020626	Cyprinodon_variegatus
ENSKMAP00000010382	ENSKMAG00000007803	Kryptolebias_marmoratus
ENSAOCP00000024391	ENSAOCG00000011164	Amphiprion_ocellaris
ENSAPEP00000034834	ENSAPEG00000024739	Amphiprion_percula
ENSAPOP00000028544	ENSAPOG00000013835	Acanthochromis_polyacanthus
ENSSPAP00000005888	ENSSPAG00000004553	Stegastes_partitus
ENSSMAP00000017465	ENSSMAG00000010725	Scophthalmus_maximus
ENSCSEP00000005937	ENSCSEG00000003836	Cynoglossus_semilaevis
ENSLCRP00005033897	ENSLCRG00005013303	Larimichthys_crocea
ENSLBEP00000000126	ENSLBEG00000000109	Labrus_bergylta
ENSSDUP00000017053	ENSSDUG00000012443	Seriola_dumerili
ENSSLDP00000025221	ENSSLDG00000019628	Seriola_lalandi_dorsalis
ENSLCAP00010044819	ENSLCAG00010020836	Lates_calcarifer
ENSATEP00000001098	ENSATEG00000000811	Anabas_testudineus
ENSBSLP00000004231	ENSBSLG00000002152	Betta_splendens
ENSMALP00000010436	ENSMALG00000007430	Monopterus_albus
ENSMMOP00000007671	ENSMMOG00000005971	Mola_mola
ENSHCOP00000020536	ENSHCOG00000006693	Hippocampus_comes
ENSORLP00000031868	ENSORLG00000025008	Oryzias_latipes_ASM223467v1
ENSORLP00015002395	ENSORLG00015003055	Oryzias_latipes_ASM223469v1
ENSOMEP00000034619	ENSOMEG00000021351	Oryzias_melastigma
ENSGWIP00000030072	ENSGWIG00000015654	Gouania_willdenowi
ENSTNIP00000004418	ENSTNIG00000002007	Tetraodon_nigroviridis
ENSTRUP00000049987	ENSTRUG00000024180	Takifugu_rubripes
ENSPMGP00000020820	ENSPMGG00000016876	Periophthalmus_magnuspinnatus
ENSGACP00000000766	ENSGACG00000000597	Gasterosteus_aculeatus
ENSGMOP00000018212	ENSGMOG00000016968	Gadus_morhua
ENSELUP00000031766	ENSELUG00000009403	Esox_lucius
ENSPKIP00000000056	ENSPKIG00000018877	Paramormyrops_kingsleyae
ENSDCDP00000057138	ENSDCDG00000033434	Denticeps_clupeoides
ENSCHAP00000023225	ENSCHAG00000011521	Clupea_harengus
ENSAMXP00005047148	ENSAMXG00005021682	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000043799	ENSAMXG00000030354	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000007524	ENSPNAG00000002698	Pygocentrus_nattereri
ENSEEEP00000033307	ENSEEEG00000015830	Electrophorus_electricus
ENSIPUP00000007002	ENSIPUG00000004851	Ictalurus_punctatus
ENSSFOP00015018239	ENSSFOG00015011705	Scleropages_formosus
ENSLOCP00000020384	ENSLOCG00000016502	Lepisosteus_oculatus
ENSPVIP00000026491	ENSPVIG00000019778	Pogona_vitticeps
ENSNSUP00000019003	ENSNSUG00000013864	Notechis_scutatus
ENSSMRP00000014262	ENSSMRG00000011100	Salvator_merianae
ENSSPUP00000010920	ENSSPUG00000008402	Sphenodon_punctatus
ENSSPUP00000010911	ENSSPUG00000008394	Sphenodon_punctatus
ENSCABP00000029855	ENSCABG00000021900	Chelonoidis_abingdonii
ENSGAGP00000022888	ENSGAGG00000016779	Gopherus_agassizii
ENSCPBP00000025205	ENSCPBG00000017935	Chrysemys_picta_bellii
ENSPSIP00000016774	ENSPSIG00000014951	Pelodiscus_sinensis
ENSARWP00000012022	ENSARWG00000008297	Apteryx_rowi
ENSAOWP00000012207	ENSAOWG00000008360	Apteryx_owenii
ENSDNVP00000005059	ENSDNVG00000003622	Dromaius_novaehollandiae
ENSVURP00010002581	ENSVURG00010002105	Vombatus_ursinus
ENSVURP00010027330	ENSVURG00010020918	Vombatus_ursinus
ENSPCIP00000020190	ENSPCIG00000015386	Phascolarctos_cinereus
ENSMODP00000043291	ENSMODG00000039373	Monodelphis_domestica
ENSOANP00000029770	ENSOANG00000028828	Ornithorhynchus_anatinus
ENSBIXP00005038455	ENSBIXG00005020478	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000072996	ENSBTAG00000026011	Bos_taurus
ENSBMUP00000017895	ENSBMUG00000013534	Bos_mutus
ENSCHIP00000025957	ENSCHIG00000022514	Capra_hircus
ENSMLUP00000000364	ENSMLUG00000000396	Myotis_lucifugus
ENSEASP00005016092	ENSEASG00005011175	Equus_asinus_asinus
ENSUAMP00000034103	ENSUAMG00000025979	Ursus_americanus
ENSUMAP00000019671	ENSUMAG00000014389	Ursus_maritimus
ENSCAFP00020016318	ENSCAFG00020013094	Canis_lupus_dingo
ENSVVUP00000009716	ENSVVUG00000007188	Vulpes_vulpes
ENSPPRP00000019484	ENSPPRG00000010833	Panthera_pardus
ENSPTIP00000014201	ENSPTIG00000013699	Panthera_tigris_altaica
ENSAMEP00000006855	ENSAMEG00000006512	Ailuropoda_melanoleuca
ENSBTAP00000030120	ENSBTAG00000010465	Bos_taurus
ENSCGRP00000025241	ENSCGRG00000018273	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001021626	ENSCGRG00001020427	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005896	ENSCGRG00015004599	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000003426	ENSPEMG00000031275	Peromyscus_maniculatus_bairdii
ENSMOCP00000007789	ENSMOCG00000007664	Microtus_ochrogaster
ENSMOCP00000021548	ENSMOCG00000018866	Microtus_ochrogaster
ENSMOCP00000019443	ENSMOCG00000017433	Microtus_ochrogaster
ENSMUSP00000093970	ENSMUSG00000071653	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000140564	ENSMUSG00000116347	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0048063	MGP_CAROLIEiJ_G0022663	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000036155	ENSMSIG00000030082	Mus_spicilegus
MGP_SPRETEiJ_P0050034	MGP_SPRETEiJ_G0023576	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000040218	ENSRNOG00000019701	Rattus_norvegicus
ENSNGAP00000016077	ENSNGAG00000016918	Nannospalax_galili
ENSJJAP00000005724	ENSJJAG00000010598	Jaculus_jaculus
ENSCLAP00000000409	ENSCLAG00000000342	Chinchilla_lanigera
ENSCPOP00000026489	ENSCPOG00000039535	Cavia_porcellus
ENSHGLP00000003524	ENSHGLG00000002601	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026538	ENSHGLG00100019462	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000010177	ENSFDAG00000017993	Fukomys_damarensis
ENSUPAP00010006384	ENSUPAG00010005135	Urocitellus_parryii
