ENSLAFP00000006045	ENSLAFG00000007187	Loxodonta_africana	ENSLAFT00000007186
ENSPCAP00000005281	ENSPCAG00000005612	Procavia_capensis	ENSPCAT00000005657
ENSETEP00000016131	ENSETEG00000019855	Echinops_telfairi	ENSETET00000019854
ENSDNOP00000017813	ENSDNOG00000043427	Dasypus_novemcinctus	ENSDNOT00000033351
ENSMLUP00000009431	ENSMLUG00000010352	Myotis_lucifugus
ENSPVAP00000007086	ENSPVAG00000007508	Pteropus_vampyrus
ENSUAMP00000016890	ENSUAMG00000013416	Ursus_americanus
ENSUMAP00000024428	ENSUMAG00000017773	Ursus_maritimus
ENSAMEP00000015688	ENSAMEG00000014893	Ailuropoda_melanoleuca
ENSNVIP00000027176	ENSNVIG00000021028	Neovison_vison
ENSMPUP00000004069	ENSMPUG00000004103	Mustela_putorius_furo
ENSCAFP00020006411	ENSCAFG00020005215	Canis_lupus_dingo
ENSCAFP00000024660	ENSCAFG00000016769	Canis_lupus_familiaris
ENSVVUP00000008020	ENSVVUG00000006054	Vulpes_vulpes
ENSPPRP00000029566	ENSPPRG00000022232	Panthera_pardus
ENSPTIP00000026238	ENSPTIG00000021721	Panthera_tigris_altaica
ENSFCAP00000057114	ENSFCAG00000030585	Felis_catus
ENSECAP00000014567	ENSECAG00000016987	Equus_caballus
ENSEASP00005026797	ENSEASG00005018276	Equus_asinus_asinus
ENSBIXP00000024297	ENSBIXG00000026508	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009172	ENSBIXG00005014119	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000020974	ENSBTAG00000015794	Bos_taurus
ENSBMUP00000020610	ENSBMUG00000015523	Bos_mutus
ENSBBBP00000008427	ENSBBBG00000016428	Bison_bison_bison
ENSCHIP00000032395	ENSCHIG00000026388	Capra_hircus
ENSOARP00000006636	ENSOARG00000006200	Ovis_aries
ENSTTRP00000013754	ENSTTRG00000014507	Tursiops_truncatus
ENSSSCP00000025811	ENSSSCG00000006474	Sus_scrofa_strain_reference
ENSVPAP00000005383	ENSVPAG00000005796	Vicugna_pacos
ENSSARP00000004021	ENSSARG00000004372	Sorex_araneus
ENSODEP00000012074	ENSODEG00000008956	Octodon_degus
ENSCPOP00000026301	ENSCPOG00000034710	Cavia_porcellus
ENSCLAP00000004421	ENSCLAG00000003143	Chinchilla_lanigera
ENSHGLP00000018334	ENSHGLG00000013140	Heterocephalus_glaber_HetGla_female_1.0
ENSUPAP00010005672	ENSUPAG00010004581	Urocitellus_parryii
ENSSDAP00000025419	ENSSDAG00000023104	Spermophilus_dauricus
ENSSTOP00000019039	ENSSTOG00000020886	Ictidomys_tridecemlineatus
ENSCCNP00000024584	ENSCCNG00000024055	Castor_canadensis
ENSDORP00000021764	ENSDORG00000029210	Dipodomys_ordii
ENSMUSP00000088493	ENSMUSG00000004891	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000038015	ENSMSIG00000031673	Mus_spicilegus
MGP_SPRETEiJ_P0060658	MGP_SPRETEiJ_G0026090	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0058329	MGP_CAROLIEiJ_G0025149	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0069289	MGP_PahariEiJ_G0026592	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000025314	ENSRNOG00000018681	Rattus_norvegicus
ENSMUGP00000029406	ENSMUGG00000024399	Meriones_unguiculatus
ENSCGRP00000023537	ENSCGRG00000017039	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001007250	ENSCGRG00001009689	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015034580	ENSCGRG00015026015	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001445	ENSMAUG00000001080	Mesocricetus_auratus
ENSPEMP00000008258	ENSPEMG00000009967	Peromyscus_maniculatus_bairdii
ENSMOCP00000013184	ENSMOCG00000013062	Microtus_ochrogaster
ENSNGAP00000002206	ENSNGAG00000001763	Nannospalax_galili
ENSOCUP00000001251	ENSOCUG00000001454	Oryctolagus_cuniculus
ENSOPRP00000000569	ENSOPRG00000000625	Ochotona_princeps
ENSOGAP00000015881	ENSOGAG00000025049	Otolemur_garnettii
ENSTBEP00000012785	ENSTBEG00000014717	Tupaia_belangeri
ENSPPAP00000026294	ENSPPAG00000036260	Pan_paniscus
