ENSPCIP00000050742	ENSPCIG00000036200	Phascolarctos_cinereus	ENSPCIT00000053924
ENSMEUP00000007079	ENSMEUG00000007751	Notamacropus_eugenii
ENSAPLP00000025438	ENSAPLG00000028485	Anas_platyrhynchos_platyrhynchos
ENSABRP00000003247	ENSABRG00000003078	Anser_brachyrhynchus
ENSMGAP00000009019	ENSMGAG00000008788	Meleagris_gallopavo
ENSGAGP00000021222	ENSGAGG00000015588	Gopherus_agassizii	ENSGAGT00000024169
ENSOANP00000031272	ENSOANG00000030886	Ornithorhynchus_anatinus
ENSLOCP00000016624	ENSLOCG00000013486	Lepisosteus_oculatus
ENSSMRP00000009219	ENSSMRG00000007355	Salvator_merianae
ENSACAP00000020350	ENSACAG00000022617	Anolis_carolinensis
ENSSPUP00000007088	ENSSPUG00000005493	Sphenodon_punctatus
ENSCHAP00000057003	ENSCHAG00000025766	Clupea_harengus
ENSPNAP00000007830	ENSPNAG00000013534	Pygocentrus_nattereri
ENSHHUP00000037651	ENSHHUG00000023559	Hucho_hucho
ENSELUP00000035378	ENSELUG00000014331	Esox_lucius
ENSLOCP00000005008	ENSLOCG00000004192	Lepisosteus_oculatus
ENSLACP00000012891	ENSLACG00000011349	Latimeria_chalumnae
ENSCMIP00000032189	ENSCMIG00000013759	Callorhinchus_milii
ENSCMIP00000045252	ENSCMIG00000018686	Callorhinchus_milii
ENSAMXP00000045880	ENSAMXG00000031457	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000009075	ENSIPUG00000006201	Ictalurus_punctatus
ENSDARP00000139278	ENSDARG00000101917	Danio_rerio
ENSXETP00000032828	ENSXETG00000016729	Xenopus_tropicalis
ENSLAFP00000013750	ENSLAFG00000016370	Loxodonta_africana
ENSPCAP00000010152	ENSPCAG00000010841	Procavia_capensis
ENSETEP00000011888	ENSETEG00000014669	Echinops_telfairi
ENSDNOP00000005247	ENSDNOG00000006747	Dasypus_novemcinctus
ENSCHOP00000007808	ENSCHOG00000008821	Choloepus_hoffmanni
ENSPVAP00000009682	ENSPVAG00000010263	Pteropus_vampyrus
ENSMLUP00000012639	ENSMLUG00000013879	Myotis_lucifugus
ENSBIXP00005023237	ENSBIXG00005026033	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
