ENSEEEP00000029004	ENSEEEG00000013916	Electrophorus_electricus
ENSDARP00000056004	ENSDARG00000038386	Danio_rerio
ENSCHAP00000007007	ENSCHAG00000004363	Clupea_harengus
ENSHHUP00000029714	ENSHHUG00000018939	Hucho_hucho
ENSHHUP00000001034	ENSHHUG00000000710	Hucho_hucho
ENSELUP00000001845	ENSELUG00000003258	Esox_lucius
ENSGACP00000026483	ENSGACG00000020048	Gasterosteus_aculeatus
ENSLBEP00000011847	ENSLBEG00000009122	Labrus_bergylta
ENSSMAP00000008525	ENSSMAG00000005248	Scophthalmus_maximus
ENSMZEP00005001358	ENSMZEG00005001134	Maylandia_zebra
ENSHBUP00000006994	ENSHBUG00000008452	Haplochromis_burtoni
ENSPNYP00000029045	ENSPNYG00000021891	Pundamilia_nyererei
ENSNBRP00000014712	ENSNBRG00000011381	Neolamprologus_brichardi
ENSONIP00000026521	ENSONIG00000021219	Oreochromis_niloticus
ENSCGOP00000050747	ENSCGOG00000022495	Cottoperca_gobio
ENSMMOP00000009128	ENSMMOG00000007056	Mola_mola
ENSSDUP00000022728	ENSSDUG00000016538	Seriola_dumerili
ENSSLDP00000005975	ENSSLDG00000004770	Seriola_lalandi_dorsalis
ENSLCAP00010057762	ENSLCAG00010026942	Lates_calcarifer
ENSBSLP00000011852	ENSBSLG00000006101	Betta_splendens
ENSAOCP00000003641	ENSAOCG00000006977	Amphiprion_ocellaris
ENSAPEP00000030806	ENSAPEG00000021889	Amphiprion_percula
ENSAPOP00000031337	ENSAPOG00000018498	Acanthochromis_polyacanthus
ENSACIP00000017314	ENSACIG00000013500	Amphilophus_citrinellus
ENSPRNP00000019277	ENSPRNG00000010058	Parambassis_ranga
ENSATEP00000033116	ENSATEG00000022825	Anabas_testudineus
ENSLCRP00005040200	ENSLCRG00005015517	Larimichthys_crocea
ENSPLAP00000027104	ENSPLAG00000015417	Poecilia_latipinna
ENSPREP00000010218	ENSPREG00000006969	Poecilia_reticulata
ENSPFOP00000018159	ENSPFOG00000018073	Poecilia_formosa
ENSXMAP00000019661	ENSXMAG00000019614	Xiphophorus_maculatus
ENSGAFP00000024097	ENSGAFG00000016263	Gambusia_affinis
ENSFHEP00000022783	ENSFHEG00000003373	Fundulus_heteroclitus
ENSCVAP00000028634	ENSCVAG00000015813	Cyprinodon_variegatus
ENSKMAP00000017753	ENSKMAG00000013228	Kryptolebias_marmoratus
ENSORLP00020007607	ENSORLG00020008471	Oryzias_latipes_ASM223471v1
ENSORLP00000020661	ENSORLG00000016504	Oryzias_latipes_ASM223467v1
ENSOMEP00000002336	ENSOMEG00000003274	Oryzias_melastigma
ENSSPAP00000004600	ENSSPAG00000003572	Stegastes_partitus
ENSGWIP00000001972	ENSGWIG00000001089	Gouania_willdenowi
ENSMALP00000011197	ENSMALG00000007963	Monopterus_albus
ENSTRUP00000032399	ENSTRUG00000012801	Takifugu_rubripes
ENSCSEP00000007179	ENSCSEG00000004639	Cynoglossus_semilaevis
ENSMAMP00000024185	ENSMAMG00000016256	Mastacembelus_armatus
ENSPMGP00000029248	ENSPMGG00000023530	Periophthalmus_magnuspinnatus
ENSORLP00015026161	ENSORLG00015007657	Oryzias_latipes_ASM223469v1
ENSPMEP00000013137	ENSPMEG00000015392	Poecilia_mexicana
ENSACLP00000024384	ENSACLG00000016598	Astatotilapia_calliptera
ENSHCOP00000027034	ENSHCOG00000018503	Hippocampus_comes
ENSAMXP00000014620	ENSAMXG00000014210	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005018872	ENSAMXG00005009812	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000022039	ENSPNAG00000004551	Pygocentrus_nattereri
ENSDCDP00000031286	ENSDCDG00000021754	Denticeps_clupeoides
ENSIPUP00000035957	ENSIPUG00000024104	Ictalurus_punctatus
ENSGMOP00000002397	ENSGMOG00000002268	Gadus_morhua
ENSPKIP00000021951	ENSPKIG00000006153	Paramormyrops_kingsleyae
