ENSVVUP00000002962	ENSVVUG00000000900	Vulpes_vulpes
ENSCLAP00000023609	ENSCLAG00000016193	Chinchilla_lanigera
ENSACAP00000007702	ENSACAG00000007803	Anolis_carolinensis
ENSTBEP00000010684	ENSTBEG00000012335	Tupaia_belangeri
ENSPNAP00000022808	ENSPNAG00000007372	Pygocentrus_nattereri
ENSNVIP00000015743	ENSNVIG00000012230	Neovison_vison
ENSDNVP00000018560	ENSDNVG00000012767	Dromaius_novaehollandiae
ENSPSIP00000003745	ENSPSIG00000003553	Pelodiscus_sinensis
ENSBBBP00000007135	ENSBBBG00000001331	Bison_bison_bison
ENSSPAP00000015013	ENSSPAG00000011308	Stegastes_partitus
ENSDNOP00000007187	ENSDNOG00000009285	Dasypus_novemcinctus
ENSNLEP00000000896	ENSNLEG00000000750	Nomascus_leucogenys
ENSPMAP00000006287	ENSPMAG00000005682	Petromyzon_marinus
ENSAPEP00000016373	ENSAPEG00000011445	Amphiprion_percula
ENSLCRP00005010941	ENSLCRG00005004919	Larimichthys_crocea
ENSAMXP00000013997	ENSAMXG00000013599	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMALP00000028866	ENSMALG00000019946	Monopterus_albus
ENSBSLP00000030526	ENSBSLG00000014769	Betta_splendens
ENSODEP00000008648	ENSODEG00000006464	Octodon_degus
ENSSMRP00000010933	ENSSMRG00000008632	Salvator_merianae
MGP_PahariEiJ_P0075002	MGP_PahariEiJ_G0027800	Mus_pahari_strain_PAHARI_EIJ
ENSFHEP00000019691	ENSFHEG00000021600	Fundulus_heteroclitus
ENSDORP00000017191	ENSDORG00000011285	Dipodomys_ordii
ENSSFOP00015023271	ENSSFOG00015014965	Scleropages_formosus
ENSVURP00010016036	ENSVURG00010012283	Vombatus_ursinus
ENSMAMP00000011660	ENSMAMG00000007885	Mastacembelus_armatus
ENSPANP00000001716	ENSPANG00000023519	Papio_anubis
ENSPVAP00000007606	ENSPVAG00000008055	Pteropus_vampyrus
ENSOCUP00000012250	ENSOCUG00000014252	Oryctolagus_cuniculus
ENSVPAP00000005600	ENSVPAG00000006040	Vicugna_pacos
MGP_CAROLIEiJ_P0019709	MGP_CAROLIEiJ_G0014566	Mus_caroli_strain_CAROLI_EIJ
ENSPCAP00000012059	ENSPCAG00000012927	Procavia_capensis
ENSAOCP00000028199	ENSAOCG00000017822	Amphiprion_ocellaris
ENSNSUP00000022560	ENSNSUG00000016328	Notechis_scutatus
ENSCGRP00015006367	ENSCGRG00015004927	Cricetulus_griseus_CriGri-PICR
ENSPTEP00000036825	ENSPTEG00000034547	Piliocolobus_tephrosceles
ENSPNYP00000024218	ENSPNYG00000018290	Pundamilia_nyererei
ENSSMAP00000009422	ENSSMAG00000005790	Scophthalmus_maximus
ENSHGLP00000007962	ENSHGLG00000005765	Heterocephalus_glaber_HetGla_female_1.0
ENSDARP00000016454	ENSDARG00000018530	Danio_rerio
ENSECRP00000006751	ENSECRG00000004487	Erpetoichthys_calabaricus
ENSPSMP00000011008	ENSPSMG00000007941	Prolemur_simus
ENSACLP00000008110	ENSACLG00000005513	Astatotilapia_calliptera
ENSCPGP00000027285	ENSCPGG00000018793	Calidris_pygmaea
ENSABRP00000003320	ENSABRG00000000789	Anser_brachyrhynchus
ENSSDUP00000019895	ENSSDUG00000014467	Seriola_dumerili
ENSLAFP00000015687	ENSLAFG00000018712	Loxodonta_africana
ENSBIXP00000011919	ENSBIXG00000017085	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNPEP00000010119	ENSNPEG00000007587	Nothoprocta_perdicaria
ENSSLDP00000008298	ENSSLDG00000006571	Seriola_lalandi_dorsalis
ENSAPLP00000015228	ENSAPLG00000015379	Anas_platyrhynchos_platyrhynchos
ENSPNAP00000025616	ENSPNAG00000001437	Pygocentrus_nattereri
ENSSDAP00000017595	ENSSDAG00000016023	Spermophilus_dauricus
ENSLCOP00000000329	ENSLCOG00000000039	Lepidothrix_coronata
ENSSSCP00000016592	ENSSSCG00000015650	Sus_scrofa_strain_reference
ENSOARP00000006622	ENSOARG00000006187	Ovis_aries
ENSCPOP00000016007	ENSCPOG00000020575	Cavia_porcellus
ENSMUNP00000014585	ENSMUNG00000011331	Melopsittacus_undulatus
ENSMNEP00000043175	ENSMNEG00000044274	Macaca_nemestrina
ENSXMAP00000035690	ENSXMAG00000027042	Xiphophorus_maculatus
ENSAMXP00005025424	ENSAMXG00005012081	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000037967	ENSEEEG00000017964	Electrophorus_electricus
ENSCMIP00000004887	ENSCMIG00000002896	Callorhinchus_milii
ENSAPOP00000002079	ENSAPOG00000003470	Acanthochromis_polyacanthus
ENSSBOP00000025247	ENSSBOG00000029058	Saimiri_boliviensis_boliviensis
ENSCCAP00000019738	ENSCCAG00000027697	Cebus_capucinus_imitator
ENSFALP00000000581	ENSFALG00000000560	Ficedula_albicollis
ENSMUGP00000024391	ENSMUGG00000020379	Meriones_unguiculatus
ENSMICP00000007596	ENSMICG00000008345	Microcebus_murinus
ENSAOCP00000006881	ENSAOCG00000000665	Amphiprion_ocellaris
ENSPPRP00000008761	ENSPPRG00000003468	Panthera_pardus
ENSCJAP00000072717	ENSCJAG00000018551	Callithrix_jacchus
ENSLCRP00005060743	ENSLCRG00005022427	Larimichthys_crocea
